"time","bytesinpersec_oneminuterate"
"2021-08-02 00:50:05.166+00",210107.96311916967
"2021-08-02 00:50:15.166+00",209780.1528890856
"2021-08-02 00:50:25.166+00",209711.5559555696
"2021-08-02 00:50:35.166+00",209473.041922779
"2021-08-02 00:50:45.166+00",209417.82260755837
"2021-08-02 00:50:55.174+00",209487.17666162844
"2021-08-02 00:51:05.166+00",209615.28252621763
"2021-08-02 00:51:15.166+00",209343.61926935092
"2021-08-02 00:51:25.166+00",209103.69698244528
"2021-08-02 00:51:35.166+00",209382.00048025188
"2021-08-02 00:51:45.166+00",209225.39794102637
"2021-08-02 00:51:55.166+00",209527.71013008713
"2021-08-02 00:52:05.166+00",209579.57241109194
"2021-08-02 00:52:15.166+00",209599.1536620578
"2021-08-02 00:52:25.166+00",209690.26960085324
"2021-08-02 00:52:35.166+00",209566.56909111264
"2021-08-02 00:52:45.166+00",209439.90583570919
"2021-08-02 00:52:55.166+00",209773.2011429358
"2021-08-02 00:53:05.166+00",209727.91945892904
"2021-08-02 00:53:15.166+00",209802.8788333
"2021-08-02 00:53:25.166+00",209926.00537362977
"2021-08-02 00:53:35.166+00",209967.26295303393
"2021-08-02 00:53:45.166+00",209829.5950671711
"2021-08-02 00:53:55.166+00",209706.3579678162
"2021-08-02 00:54:05.166+00",209056.93635311947
"2021-08-02 00:54:15.166+00",209322.78721262817
"2021-08-02 00:54:25.166+00",209984.47060221672
"2021-08-02 00:54:35.166+00",209771.25028935244
"2021-08-02 00:54:45.166+00",209708.1733191816
"2021-08-02 00:54:55.166+00",209719.4045904441
"2021-08-02 00:55:05.166+00",209536.8266973078
"2021-08-02 00:55:15.166+00",209381.95791748576
"2021-08-02 00:55:25.166+00",209295.6012740479
"2021-08-02 00:55:35.166+00",209445.31200216914
"2021-08-02 00:55:45.166+00",209337.14630690907
"2021-08-02 00:55:55.166+00",209449.302695639
"2021-08-02 00:56:05.166+00",209281.069312879
"2021-08-02 00:56:15.166+00",209427.8113374613
"2021-08-02 00:56:25.166+00",209219.1177505215
"2021-08-02 00:56:35.166+00",209923.78810358958
"2021-08-02 00:56:45.166+00",209578.92069601634
"2021-08-02 00:56:55.166+00",209750.19387322944
"2021-08-02 00:57:05.166+00",209475.9813848638
"2021-08-02 00:57:15.166+00",209555.7524447622
"2021-08-02 00:57:25.166+00",208956.84772273645
"2021-08-02 00:57:35.173+00",209091.01163042054
"2021-08-02 00:57:45.166+00",208642.23548212953
"2021-08-02 00:57:55.166+00",209013.11765072696
"2021-08-02 00:58:05.166+00",209007.21019634628
"2021-08-02 00:58:15.166+00",209115.54043902789
"2021-08-02 00:58:25.166+00",209255.76740421835
"2021-08-02 00:58:35.166+00",209422.6520120668
"2021-08-02 00:58:45.166+00",209682.79520040075
"2021-08-02 00:58:55.166+00",209958.5381470673
"2021-08-02 00:59:05.166+00",210494.79157475338
"2021-08-02 00:59:15.166+00",210305.18722465754
"2021-08-02 00:59:25.166+00",210128.88236185475
"2021-08-02 00:59:35.166+00",210450.77125873923
"2021-08-02 00:59:45.166+00",210553.88968789985
"2021-08-02 00:59:55.166+00",210652.093663273
"2021-08-02 01:00:05.166+00",210424.42905893768
"2021-08-02 01:00:15.166+00",210281.23363629426
"2021-08-02 01:00:25.166+00",209712.54329365992
"2021-08-02 01:00:35.166+00",209429.89515501514
"2021-08-02 01:00:45.169+00",209384.7491296575
"2021-08-02 01:00:55.166+00",209776.39901802916
"2021-08-02 01:01:05.166+00",209938.3694821781
"2021-08-02 01:01:15.166+00",210012.29945821248
"2021-08-02 01:01:25.171+00",210218.1693678534
"2021-08-02 01:01:35.166+00",210312.1629490861
"2021-08-02 01:01:45.166+00",210211.40777341902
"2021-08-02 01:01:55.166+00",210664.77636917023
"2021-08-02 01:02:05.166+00",210624.0775077162
"2021-08-02 01:02:15.166+00",210455.96882444466
"2021-08-02 01:02:25.166+00",210305.81989864184
"2021-08-02 01:02:35.166+00",210133.3328547017
"2021-08-02 01:02:45.168+00",210359.3682715811
"2021-08-02 01:02:55.166+00",210415.36605278015
"2021-08-02 01:03:05.166+00",210461.35630845604
"2021-08-02 01:03:15.166+00",210579.0923804926
"2021-08-02 01:03:25.166+00",210753.8868576053
"2021-08-02 01:03:35.166+00",210684.28388421444
"2021-08-02 01:03:45.166+00",210634.98625889624
"2021-08-02 01:03:55.166+00",210368.9098725276
"2021-08-02 01:04:05.166+00",210129.89293822274
"2021-08-02 01:04:15.166+00",210248.12026576322
"2021-08-02 01:04:25.166+00",210023.59879124907
"2021-08-02 01:04:35.166+00",209979.1731400004
"2021-08-02 01:04:45.166+00",210256.7720367638
"2021-08-02 01:04:55.166+00",210564.71414474264
"2021-08-02 01:05:05.166+00",209670.91856009213
"2021-08-02 01:05:15.166+00",209734.32397888153
"2021-08-02 01:05:25.166+00",209230.10174098378
"2021-08-02 01:05:35.166+00",209172.60732610748
"2021-08-02 01:05:45.166+00",208868.64984663654
"2021-08-02 01:05:55.166+00",209296.12157388165
"2021-08-02 01:06:05.166+00",209301.58481651987
"2021-08-02 01:06:15.176+00",209329.96409942512
"2021-08-02 01:06:25.166+00",209467.12014769597
"2021-08-02 01:06:35.166+00",209284.35698399643
"2021-08-02 01:06:45.166+00",209775.11034353878
"2021-08-02 01:06:55.166+00",209908.0611212118
"2021-08-02 01:07:05.166+00",209510.2685188645
"2021-08-02 01:07:15.166+00",209777.24782853146
"2021-08-02 01:07:25.168+00",209518.67101398803
"2021-08-02 01:07:35.166+00",209804.3625856342
"2021-08-02 01:07:45.166+00",209698.53471447297
"2021-08-02 01:07:55.166+00",209793.61735223274
"2021-08-02 01:08:05.166+00",210117.64117467034
"2021-08-02 01:08:15.166+00",210611.0236514923
"2021-08-02 01:08:25.166+00",210855.69349590412
"2021-08-02 01:08:35.166+00",210868.16256681696
"2021-08-02 01:08:45.166+00",210443.3453435204
"2021-08-02 01:08:55.166+00",210181.45842030758
"2021-08-02 01:09:05.166+00",209751.08296046464
"2021-08-02 01:09:15.166+00",210471.91466449955
"2021-08-02 01:09:25.166+00",210211.61320997303
"2021-08-02 01:09:35.166+00",210021.93403577642
"2021-08-02 01:09:45.166+00",209834.31476542325
"2021-08-02 01:09:55.166+00",209843.90328189754
"2021-08-02 01:10:05.166+00",210403.95731690974
"2021-08-02 01:10:15.166+00",209938.2814629513
"2021-08-02 01:10:25.166+00",209629.37347544334
"2021-08-02 01:10:35.172+00",209933.18590754393
"2021-08-02 01:10:45.166+00",209889.9347276381
"2021-08-02 01:10:55.166+00",209948.81256084924
"2021-08-02 01:11:05.166+00",209785.8824947573
"2021-08-02 01:11:15.166+00",209846.82297856646
"2021-08-02 01:11:25.166+00",209946.45203872715
"2021-08-02 01:11:35.166+00",209953.94485987475
"2021-08-02 01:11:45.166+00",209992.0938966604
"2021-08-02 01:11:55.166+00",210286.34798224946
"2021-08-02 01:12:05.166+00",210354.73220937882
"2021-08-02 01:12:15.166+00",210269.31243967992
"2021-08-02 01:12:25.166+00",210668.90497893497
"2021-08-02 01:12:35.166+00",210493.11196491268
"2021-08-02 01:12:45.166+00",210473.11727104214
"2021-08-02 01:12:55.171+00",210146.5216435346
"2021-08-02 01:13:05.166+00",209863.5859244547
"2021-08-02 01:13:15.166+00",209464.78535025645
"2021-08-02 01:13:25.166+00",208830.4691865504
"2021-08-02 01:13:35.174+00",209090.1072998229
"2021-08-02 01:13:45.166+00",209234.25447666805
"2021-08-02 01:13:55.166+00",209499.21616110852
"2021-08-02 01:14:05.166+00",209973.13633308976
"2021-08-02 01:14:15.166+00",210028.46001134705
"2021-08-02 01:14:25.166+00",210286.59023311205
"2021-08-02 01:14:35.166+00",210011.94312486434
"2021-08-02 01:14:45.166+00",209687.79653601447
"2021-08-02 01:14:55.166+00",231242.51544742743
"2021-08-02 01:15:05.166+00",385152.4160909212
"2021-08-02 01:15:15.168+00",521683.6729725917
"2021-08-02 01:15:25.166+00",636886.9957009038
"2021-08-02 01:15:35.166+00",733829.6653629388
"2021-08-02 01:15:45.166+00",818571.1880468292
"2021-08-02 01:15:55.166+00",889045.7307799725
"2021-08-02 01:16:05.166+00",948535.8280317071
"2021-08-02 01:16:15.166+00",999240.020550772
"2021-08-02 01:16:25.166+00",993397.0282759712
"2021-08-02 01:16:35.166+00",952645.9585352279
"2021-08-02 01:16:45.166+00",918459.0404798776
"2021-08-02 01:16:55.166+00",890989.8979343732
"2021-08-02 01:17:05.166+00",867547.0448481301
"2021-08-02 01:17:15.166+00",847529.7986842998
"2021-08-02 01:17:25.166+00",830392.6594983063
"2021-08-02 01:17:35.166+00",815869.8147839851
"2021-08-02 01:17:45.166+00",805156.6879650876
"2021-08-02 01:17:55.166+00",795646.064612614
"2021-08-02 01:18:05.166+00",787028.5590608671
"2021-08-02 01:18:15.166+00",780304.4587016564
"2021-08-02 01:18:25.166+00",774180.855871575
"2021-08-02 01:18:35.166+00",767910.9033327756
"2021-08-02 01:18:45.166+00",764052.9188504482
"2021-08-02 01:18:55.166+00",822116.5681040363
"2021-08-02 01:19:05.166+00",922488.8401603269
"2021-08-02 01:19:15.166+00",1006440.979590167
"2021-08-02 01:19:25.166+00",1079282.1052074714
"2021-08-02 01:19:35.166+00",1139619.613269126
"2021-08-02 01:19:45.173+00",1190519.1314858433
"2021-08-02 01:19:55.166+00",1233794.6566123692
"2021-08-02 01:20:05.166+00",1273113.5441833553
"2021-08-02 01:20:15.166+00",1305735.337659249
"2021-08-02 01:20:25.166+00",1334136.2094523627
"2021-08-02 01:20:35.166+00",1355073.6799676465
"2021-08-02 01:20:45.166+00",1374597.1256155951
"2021-08-02 01:20:55.166+00",1390540.2274306503
"2021-08-02 01:21:05.166+00",1404589.294995256
"2021-08-02 01:21:15.166+00",1417211.1147256566
"2021-08-02 01:21:25.166+00",1427785.144331326
"2021-08-02 01:21:35.166+00",1436608.3938965963
"2021-08-02 01:21:45.166+00",1444568.9581083404
"2021-08-02 01:21:55.166+00",1452289.2498858091
"2021-08-02 01:22:05.166+00",1458076.9267055022
"2021-08-02 01:22:15.166+00",1461000.737158771
"2021-08-02 01:22:25.166+00",1464553.9105756616
"2021-08-02 01:22:35.166+00",1467741.8665414134
"2021-08-02 01:22:45.174+00",1472702.8993313052
"2021-08-02 01:22:55.17+00",1475273.0833623856
"2021-08-02 01:23:05.166+00",1477545.0374190656
"2021-08-02 01:23:15.166+00",1478691.2430862675
"2021-08-02 01:23:25.166+00",1481810.858905027
"2021-08-02 01:23:35.166+00",1482332.0772681423
"2021-08-02 01:23:45.166+00",1482576.8970905296
"2021-08-02 01:23:55.166+00",1483268.76964265
"2021-08-02 01:24:05.166+00",1482606.7103812809
"2021-08-02 01:24:15.166+00",1483715.7994873102
"2021-08-02 01:24:25.166+00",1485543.5602500772
"2021-08-02 01:24:35.166+00",1487748.266400282
