"time","bytesoutpersec_oneminuterate"
"2021-08-02 00:50:05.166+00",210053.27309145362
"2021-08-02 00:50:15.166+00",209723.683786662
"2021-08-02 00:50:25.166+00",209709.24787630897
"2021-08-02 00:50:35.166+00",209452.4415032136
"2021-08-02 00:50:45.166+00",209413.16298042465
"2021-08-02 00:50:55.174+00",209489.95827546745
"2021-08-02 00:51:05.166+00",209607.01786412965
"2021-08-02 00:51:15.166+00",209333.41229504498
"2021-08-02 00:51:25.166+00",209136.29630697626
"2021-08-02 00:51:35.166+00",209291.19864259698
"2021-08-02 00:51:45.166+00",209192.1627902693
"2021-08-02 00:51:55.166+00",209616.09748198336
"2021-08-02 00:52:05.166+00",209516.25274334964
"2021-08-02 00:52:15.166+00",209635.1627517955
"2021-08-02 00:52:25.166+00",209734.06752617547
"2021-08-02 00:52:35.166+00",209483.8619718341
"2021-08-02 00:52:45.166+00",209398.57984742345
"2021-08-02 00:52:55.166+00",209879.05186711389
"2021-08-02 00:53:05.166+00",209741.51492498638
"2021-08-02 00:53:15.166+00",209765.08650606344
"2021-08-02 00:53:25.166+00",209880.15490234076
"2021-08-02 00:53:35.166+00",209928.75881253998
"2021-08-02 00:53:45.166+00",209767.01741893333
"2021-08-02 00:53:55.166+00",209746.87306639866
"2021-08-02 00:54:05.166+00",209041.5148700364
"2021-08-02 00:54:15.166+00",209344.02326029917
"2021-08-02 00:54:25.166+00",209975.28550482087
"2021-08-02 00:54:35.166+00",209836.93082784535
"2021-08-02 00:54:45.166+00",209708.46733886254
"2021-08-02 00:54:55.166+00",209660.76484748625
"2021-08-02 00:55:05.166+00",209550.13686021307
"2021-08-02 00:55:15.166+00",209364.10417465697
"2021-08-02 00:55:25.166+00",209259.56449616663
"2021-08-02 00:55:35.166+00",209416.20066414893
"2021-08-02 00:55:45.166+00",209288.18649436277
"2021-08-02 00:55:55.166+00",209442.28695398185
"2021-08-02 00:56:05.166+00",209289.59511847683
"2021-08-02 00:56:15.166+00",209488.41642707665
"2021-08-02 00:56:25.166+00",209226.6026229333
"2021-08-02 00:56:35.166+00",209871.34414284048
"2021-08-02 00:56:45.166+00",209534.30895575098
"2021-08-02 00:56:55.166+00",209758.28936921075
"2021-08-02 00:57:05.166+00",209480.74437029762
"2021-08-02 00:57:15.166+00",209447.18115344347
"2021-08-02 00:57:25.166+00",208886.6081474616
"2021-08-02 00:57:35.173+00",208932.09249625175
"2021-08-02 00:57:45.166+00",208615.08687964588
"2021-08-02 00:57:55.166+00",209029.8627316578
"2021-08-02 00:58:05.166+00",208991.65200903476
"2021-08-02 00:58:15.166+00",208970.9379509651
"2021-08-02 00:58:25.166+00",209340.68397187712
"2021-08-02 00:58:35.166+00",209409.6321741099
"2021-08-02 00:58:45.166+00",209685.93716928054
"2021-08-02 00:58:55.166+00",210037.0733351025
"2021-08-02 00:59:05.166+00",210396.4608671352
"2021-08-02 00:59:15.166+00",210274.26253744637
"2021-08-02 00:59:25.166+00",210121.48667034227
"2021-08-02 00:59:35.166+00",210458.91220695945
"2021-08-02 00:59:45.166+00",210474.83440417013
"2021-08-02 00:59:55.166+00",210529.3197376987
"2021-08-02 01:00:05.166+00",210324.39780516128
"2021-08-02 01:00:15.166+00",210286.38851809094
"2021-08-02 01:00:25.166+00",209585.41974469277
"2021-08-02 01:00:35.166+00",209501.5091918109
"2021-08-02 01:00:45.169+00",209365.30346258715
"2021-08-02 01:00:55.166+00",209704.65793700813
"2021-08-02 01:01:05.166+00",210054.13087492462
"2021-08-02 01:01:15.166+00",210134.81161132947
"2021-08-02 01:01:25.171+00",210172.83788543585
"2021-08-02 01:01:35.166+00",210409.36282613646
"2021-08-02 01:01:45.166+00",210185.34723367746
"2021-08-02 01:01:55.166+00",210583.58452789212
"2021-08-02 01:02:05.166+00",210621.8744761477
"2021-08-02 01:02:15.166+00",210540.02666772826
"2021-08-02 01:02:25.166+00",210279.07181012994
"2021-08-02 01:02:35.166+00",210190.87022785458
"2021-08-02 01:02:45.168+00",210339.9770845113
"2021-08-02 01:02:55.166+00",210423.27802988884
"2021-08-02 01:03:05.166+00",210472.48160282883
