"time","requests_per_sec_out"
"2021-08-02 00:50:05.166+00",472.5079114650174
"2021-08-02 00:50:15.166+00",466.2512755385548
"2021-08-02 00:50:25.166+00",460.2219180244799
"2021-08-02 00:50:35.166+00",462.9507434084188
"2021-08-02 00:50:45.166+00",463.8143493585138
"2021-08-02 00:50:55.174+00",461.14000502348483
"2021-08-02 00:51:05.166+00",438.83282573236085
"2021-08-02 00:51:15.166+00",444.7505995478229
"2021-08-02 00:51:25.166+00",454.5335594650558
"2021-08-02 00:51:35.166+00",451.80532705641707
"2021-08-02 00:51:45.166+00",423.21755070780677
"2021-08-02 00:51:55.166+00",427.0292394192616
"2021-08-02 00:52:05.166+00",434.10726162696665
"2021-08-02 00:52:15.166+00",427.61919610471284
"2021-08-02 00:52:25.166+00",421.7542306410184
"2021-08-02 00:52:35.166+00",430.5395456683468
"2021-08-02 00:52:45.166+00",436.84141538569264
"2021-08-02 00:52:55.166+00",430.6026770533763
"2021-08-02 00:53:05.166+00",424.58157946235764
"2021-08-02 00:53:15.166+00",432.37312016592995
"2021-08-02 00:53:25.166+00",436.2992434960141
"2021-08-02 00:53:35.166+00",421.820952591491
"2021-08-02 00:53:45.166+00",444.50429194131976
"2021-08-02 00:53:55.166+00",467.60841754966896
"2021-08-02 00:54:05.166+00",486.5177443453864
"2021-08-02 00:54:15.166+00",504.1702967032091
"2021-08-02 00:54:25.166+00",527.2073837252453
"2021-08-02 00:54:35.166+00",552.2376135779313
"2021-08-02 00:54:45.166+00",575.8559310252867
"2021-08-02 00:54:55.166+00",599.4982865713741
"2021-08-02 00:55:05.166+00",615.6924013076184
"2021-08-02 00:55:15.166+00",625.0643268652527
"2021-08-02 00:55:25.166+00",634.568331495551
"2021-08-02 00:55:35.166+00",644.1798145460589
"2021-08-02 00:55:45.166+00",653.5374948466643
"2021-08-02 00:55:55.166+00",652.9710817555554
"2021-08-02 00:56:05.166+00",658.2823700646904
"2021-08-02 00:56:15.166+00",650.9000483817492
"2021-08-02 00:56:25.166+00",661.4891526373135
"2021-08-02 00:56:35.166+00",664.0286552017674
"2021-08-02 00:56:45.166+00",666.0279492516145
"2021-08-02 00:56:55.166+00",659.7578043318383
"2021-08-02 00:57:05.166+00",654.5494642970409
"2021-08-02 00:57:15.166+00",635.2539286158833
"2021-08-02 00:57:25.166+00",618.8310742389842
"2021-08-02 00:57:35.173+00",598.2818204123568
"2021-08-02 00:57:45.166+00",553.24983443108
"2021-08-02 00:57:55.166+00",538.4649356196679
"2021-08-02 00:58:05.166+00",516.4054361645832
"2021-08-02 00:58:15.166+00",505.3418561925658
"2021-08-02 00:58:25.166+00",465.5908631673637
"2021-08-02 00:58:35.166+00",447.2722881311814
"2021-08-02 00:58:45.166+00",453.2057395923935
"2021-08-02 00:58:55.166+00",448.5734810884481
"2021-08-02 00:59:05.166+00",444.80599268290297
"2021-08-02 00:59:15.166+00",452.50223393351695
"2021-08-02 00:59:25.166+00",455.7751953734327
"2021-08-02 00:59:35.166+00",447.2694382350518
"2021-08-02 00:59:45.166+00",440.72257561080346
"2021-08-02 00:59:55.166+00",444.5374085471448
"2021-08-02 01:00:05.166+00",442.866831411009
"2021-08-02 01:00:15.166+00",430.41497636474054
"2021-08-02 01:00:25.166+00",415.2154690024711
"2021-08-02 01:00:35.166+00",424.7327011796751
"2021-08-02 01:00:45.169+00",431.59275359045773
"2021-08-02 01:00:55.166+00",424.2132596055283
"2021-08-02 01:01:05.166+00",417.6218449799123
"2021-08-02 01:01:15.166+00",425.51332625817383
"2021-08-02 01:01:25.171+00",433.8609875591159
"2021-08-02 01:01:35.166+00",424.69348277150925
"2021-08-02 01:01:45.166+00",414.6587210720668
"2021-08-02 01:01:55.166+00",422.3348009515742
"2021-08-02 01:02:05.166+00",440.0157935834264
"2021-08-02 01:02:15.166+00",448.592998397747
"2021-08-02 01:02:25.166+00",467.4414292822973
"2021-08-02 01:02:35.166+00",494.71111119812724
"2021-08-02 01:02:45.168+00",522.443365259071
"2021-08-02 01:02:55.166+00",549.2493716436786
"2021-08-02 01:03:05.166+00",571.5381506882356
"2021-08-02 01:03:15.166+00",589.8793436788617
"2021-08-02 01:03:25.166+00",616.5314937838717
"2021-08-02 01:03:35.166+00",631.3158139498842
"2021-08-02 01:03:45.166+00",641.3978409754277
"2021-08-02 01:03:55.166+00",653.2121983492852
"2021-08-02 01:04:05.166+00",642.1250186857459
"2021-08-02 01:04:15.166+00",638.8013740145054
"2021-08-02 01:04:25.166+00",649.370439028768
"2021-08-02 01:04:35.166+00",657.356861976505
"2021-08-02 01:04:45.166+00",655.9911429051209
"2021-08-02 01:04:55.166+00",665.1007889318624
"2021-08-02 01:05:05.166+00",652.583751858544
"2021-08-02 01:05:15.166+00",658.2052281860589
"2021-08-02 01:05:25.166+00",671.2197652832916
"2021-08-02 01:05:35.166+00",660.9705980077323
"2021-08-02 01:05:45.166+00",666.3050105172508
"2021-08-02 01:05:55.166+00",668.0935948947251
"2021-08-02 01:06:05.166+00",671.1837849467626
"2021-08-02 01:06:15.176+00",670.4803032601244
"2021-08-02 01:06:25.166+00",662.4950670576094
"2021-08-02 01:06:35.166+00",668.370060390881
"2021-08-02 01:06:45.166+00",668.9238063288368
"2021-08-02 01:06:55.166+00",669.4530882161739
"2021-08-02 01:07:05.166+00",670.2210622945222
"2021-08-02 01:07:15.166+00",666.2887998038999
"2021-08-02 01:07:25.168+00",668.4027584415117
"2021-08-02 01:07:35.166+00",644.3944473896156
"2021-08-02 01:07:45.166+00",611.9752766836223
"2021-08-02 01:07:55.166+00",600.1284823693775
"2021-08-02 01:08:05.166+00",581.2397814617958
"2021-08-02 01:08:15.166+00",553.2146977642502
"2021-08-02 01:08:25.166+00",512.8631772252671
"2021-08-02 01:08:35.166+00",499.2558080011667
"2021-08-02 01:08:45.166+00",491.1218262327457
"2021-08-02 01:08:55.166+00",473.1176719001196
"2021-08-02 01:09:05.166+00",459.45425644409954
"2021-08-02 01:09:15.166+00",465.7755947556807
"2021-08-02 01:09:25.166+00",472.1550911905006
"2021-08-02 01:09:35.166+00",460.98993940672614
"2021-08-02 01:09:45.166+00",448.9759218772404
"2021-08-02 01:09:55.166+00",453.1376283561813
"2021-08-02 01:10:05.166+00",460.23022065592136
"2021-08-02 01:10:15.166+00",453.5308436391168
"2021-08-02 01:10:25.166+00",417.3488389287834
"2021-08-02 01:10:35.172+00",423.91522641910666
"2021-08-02 01:10:45.166+00",440.38736206340707
