"time","requests_per_sec_in"
"2021-08-02 00:50:05.166+00",1066.8690925194664
"2021-08-02 00:50:15.166+00",1065.116030937578
"2021-08-02 00:50:25.166+00",1064.699106064874
"2021-08-02 00:50:35.166+00",1063.4960826603078
"2021-08-02 00:50:45.166+00",1063.1896741273042
"2021-08-02 00:50:55.174+00",1063.5366177495032
"2021-08-02 00:51:05.166+00",1064.1405765732677
"2021-08-02 00:51:15.166+00",1062.723248897856
"2021-08-02 00:51:25.166+00",1061.480683399698
"2021-08-02 00:51:35.166+00",1062.8218150025616
"2021-08-02 00:51:45.166+00",1061.9837225873318
"2021-08-02 00:51:55.166+00",1063.4452488587733
"2021-08-02 00:52:05.166+00",1063.6922512145145
"2021-08-02 00:52:15.166+00",1063.764472960165
"2021-08-02 00:52:25.166+00",1064.215787053409
"2021-08-02 00:52:35.166+00",1063.572404678132
"2021-08-02 00:52:45.166+00",1062.9127033779794
"2021-08-02 00:52:55.166+00",1064.5680579909567
"2021-08-02 00:53:05.166+00",1064.2973302134144
"2021-08-02 00:53:15.166+00",1064.6181839495034
"2021-08-02 00:53:25.166+00",1065.203858386874
"2021-08-02 00:53:35.166+00",1065.334418072368
"2021-08-02 00:53:45.166+00",1064.5839357844188
"2021-08-02 00:53:55.166+00",1063.9851323819007
"2021-08-02 00:54:05.166+00",1060.6874644756629
"2021-08-02 00:54:15.166+00",1062.0160478473035
"2021-08-02 00:54:25.166+00",1065.3602648508624
"2021-08-02 00:54:35.166+00",1064.2661299021488
"2021-08-02 00:54:45.166+00",1063.9278357698392
"2021-08-02 00:54:55.166+00",1063.9357444841446
"2021-08-02 00:55:05.166+00",1063.0020797047657
"2021-08-02 00:55:15.166+00",1062.197720673434
"2021-08-02 00:55:25.166+00",1061.7125568394413
"2021-08-02 00:55:35.166+00",1062.4552149643755
"2021-08-02 00:55:45.166+00",1061.9183479153037
"2021-08-02 00:55:55.166+00",1062.4662613407102
"2021-08-02 00:56:05.166+00",1061.6225353994969
"2021-08-02 00:56:15.166+00",1062.364913578247
"2021-08-02 00:56:25.166+00",1061.2611326670276
"2021-08-02 00:56:35.166+00",1064.8133716679704
"2021-08-02 00:56:45.166+00",1063.0196478367193
"2021-08-02 00:56:55.166+00",1063.8270109210266
"2021-08-02 00:57:05.166+00",1062.4201120974458
"2021-08-02 00:57:15.166+00",1062.8180987849053
"2021-08-02 00:57:25.166+00",1059.816031343917
"2021-08-02 00:57:35.173+00",1060.474355868173
"2021-08-02 00:57:45.166+00",1058.1985773986632
"2021-08-02 00:57:55.166+00",1060.0454812442272
"2021-08-02 00:58:05.166+00",1059.8594091844263
"2021-08-02 00:58:15.166+00",1060.457374094121
"2021-08-02 00:58:25.166+00",1061.1483395360385
"2021-08-02 00:58:35.166+00",1062.0396352938023
"2021-08-02 00:58:45.166+00",1063.3467311426386
"2021-08-02 00:58:55.166+00",1064.7084091089648
"2021-08-02 00:59:05.166+00",1067.3643516755221
"2021-08-02 00:59:15.166+00",1066.39813091671
"2021-08-02 00:59:25.166+00",1065.4440296352334
"2021-08-02 00:59:35.166+00",1067.0287460262107
"2021-08-02 00:59:45.166+00",1067.5098289821376
"2021-08-02 00:59:55.166+00",1067.9822466919436
"2021-08-02 01:00:05.166+00",1066.7420956543626
"2021-08-02 01:00:15.166+00",1066.0576045113753
"2021-08-02 01:00:25.166+00",1063.2074211314832
"2021-08-02 01:00:35.166+00",1061.786206734437
"2021-08-02 01:00:45.169+00",1061.5465840179436
"2021-08-02 01:00:55.166+00",1063.5274897435309
"2021-08-02 01:01:05.166+00",1064.3298576044226
"2021-08-02 01:01:15.166+00",1064.6847766008646
"2021-08-02 01:01:25.171+00",1065.713794879367
"2021-08-02 01:01:35.166+00",1066.1415016496048
"2021-08-02 01:01:45.166+00",1065.6247020986916
"2021-08-02 01:01:55.166+00",1067.8635197588553
"2021-08-02 01:02:05.166+00",1067.5531246604537
"2021-08-02 01:02:15.166+00",1066.8522278255275
"2021-08-02 01:02:25.166+00",1066.0542167555984
"2021-08-02 01:02:35.166+00",1065.154874841582
"2021-08-02 01:02:45.168+00",1066.2862593777845
"2021-08-02 01:02:55.166+00",1066.5812966042631
"2021-08-02 01:03:05.166+00",1066.7441323560217
"2021-08-02 01:03:15.166+00",1067.3450463156487
"2021-08-02 01:03:25.166+00",1068.2195424347487
"2021-08-02 01:03:35.166+00",1067.849394788727
"2021-08-02 01:03:45.166+00",1067.5994056275858
"2021-08-02 01:03:55.166+00",1066.2536503701565
"2021-08-02 01:04:05.166+00",1065.0250103557082
"2021-08-02 01:04:15.166+00",1065.5872883142436
"2021-08-02 01:04:25.166+00",1064.4371779254543
"2021-08-02 01:04:35.166+00",1064.1769266523834
"2021-08-02 01:04:45.166+00",1065.58194240736
"2021-08-02 01:04:55.166+00",1067.1083901167908
"2021-08-02 01:05:05.166+00",1062.5821487021856
"2021-08-02 01:05:15.166+00",1062.9008935627264
"2021-08-02 01:05:25.166+00",1060.3357048550763
"2021-08-02 01:05:35.166+00",1060.0551603132471
"2021-08-02 01:05:45.166+00",1058.5153096714114
"2021-08-02 01:05:55.166+00",1060.6666902355375
"2021-08-02 01:06:05.166+00",1060.6577839127028
"2021-08-02 01:06:15.176+00",1060.7730062253095
"2021-08-02 01:06:25.166+00",1061.4545396642154
"2021-08-02 01:06:35.166+00",1060.4822158996553
"2021-08-02 01:06:45.166+00",1063.007120822801
"2021-08-02 01:06:55.166+00",1063.6732416824982
"2021-08-02 01:07:05.166+00",1061.6304777097623
"2021-08-02 01:07:15.166+00",1062.959543217058
"2021-08-02 01:07:25.168+00",1061.6365290967776
"2021-08-02 01:07:35.166+00",1063.0304857966032
"2021-08-02 01:07:45.166+00",1062.4839456559143
"2021-08-02 01:07:55.166+00",1062.9495489086898
"2021-08-02 01:08:05.166+00",1064.6159218559555
"2021-08-02 01:08:15.166+00",1067.1036434306982
"2021-08-02 01:08:25.166+00",1068.3504356192554
"2021-08-02 01:08:35.166+00",1068.2780890721235
"2021-08-02 01:08:45.166+00",1066.2619727297747
"2021-08-02 01:08:55.166+00",1064.9085390254227
"2021-08-02 01:09:05.166+00",1062.7023363294509
"2021-08-02 01:09:15.166+00",1066.3032287176454
"2021-08-02 01:09:25.166+00",1064.9831151741041
"2021-08-02 01:09:35.166+00",1064.0338407298077
"2021-08-02 01:09:45.166+00",1063.0826124937125
"2021-08-02 01:09:55.166+00",1063.1299699171504
"2021-08-02 01:10:05.166+00",1065.965457076688
"2021-08-02 01:10:15.166+00",1063.4581746514039
"2021-08-02 01:10:25.166+00",1062.0465448936548
"2021-08-02 01:10:35.172+00",1063.573303573833
"2021-08-02 01:10:45.166+00",1063.3010690679332
"2021-08-02 01:10:55.166+00",1063.603448713756
"2021-08-02 01:11:05.166+00",1062.775216922693
"2021-08-02 01:11:15.166+00",1062.937654169588
"2021-08-02 01:11:25.166+00",1063.5184572156422
"2021-08-02 01:11:35.166+00",1063.6128756112876
"2021-08-02 01:11:45.166+00",1063.7951386557713
"2021-08-02 01:11:55.166+00",1065.305460617541
"2021-08-02 01:12:05.166+00",1065.6442448749085
"2021-08-02 01:12:15.166+00",1065.2140119593444
"2021-08-02 01:12:25.166+00",1067.1820446173974
"2021-08-02 01:12:35.166+00",1066.259855708728
"2021-08-02 01:12:45.166+00",1066.1944092820077
"2021-08-02 01:12:55.171+00",1064.5449416629674
"2021-08-02 01:13:05.166+00",1063.0745043663433
"2021-08-02 01:13:15.166+00",1061.06673410852
"2021-08-02 01:13:25.166+00",1057.7577108891617
"2021-08-02 01:13:35.174+00",1059.0019652188191
"2021-08-02 01:13:45.166+00",1059.8185068277114
"2021-08-02 01:13:55.166+00",1061.1487264046366
"2021-08-02 01:14:05.166+00",1063.5271899268605
"2021-08-02 01:14:15.166+00",1063.8134219197698
"2021-08-02 01:14:25.166+00",1065.129061417486
"2021-08-02 01:14:35.166+00",1063.7282495788515
"2021-08-02 01:14:45.166+00",1062.0211207216576
"2021-08-02 01:14:55.166+00",1174.7316088417099
"2021-08-02 01:15:05.166+00",1973.3739644010266
"2021-08-02 01:15:15.168+00",2678.0216409969057
"2021-08-02 01:15:25.166+00",3268.597973225714
"2021-08-02 01:15:35.166+00",3763.4823176614987
"2021-08-02 01:15:45.166+00",4195.732969978304
"2021-08-02 01:15:55.166+00",4554.997165013136
"2021-08-02 01:16:05.166+00",4857.7905643856075
"2021-08-02 01:16:15.166+00",5115.995669532462
"2021-08-02 01:16:25.166+00",5088.308722295979
"2021-08-02 01:16:35.166+00",4885.037040517618
"2021-08-02 01:16:45.166+00",4713.5392321764
"2021-08-02 01:16:55.166+00",4574.485154854251
"2021-08-02 01:17:05.166+00",4454.081123940445
"2021-08-02 01:17:15.166+00",4350.525716566257
"2021-08-02 01:17:25.166+00",4260.9021858415035
"2021-08-02 01:17:35.166+00",4184.978654811037
"2021-08-02 01:17:45.166+00",4128.587654810744
"2021-08-02 01:17:55.166+00",4078.4512893436327
"2021-08-02 01:18:05.166+00",4033.1561902583435
"2021-08-02 01:18:15.166+00",3997.4371533197645
"2021-08-02 01:18:25.166+00",3964.942480932129
"2021-08-02 01:18:35.166+00",3932.0446289395436
"2021-08-02 01:18:45.166+00",3911.343478585003
"2021-08-02 01:18:55.166+00",4211.896384105563
"2021-08-02 01:19:05.166+00",4729.873406304542
"2021-08-02 01:19:15.166+00",5162.350456603742
"2021-08-02 01:19:25.166+00",5535.863000225051
"2021-08-02 01:19:35.166+00",5843.589004004266
"2021-08-02 01:19:45.173+00",6102.515298569589
"2021-08-02 01:19:55.166+00",6321.789406413999
"2021-08-02 01:20:05.166+00",6521.245145558996
"2021-08-02 01:20:15.166+00",6686.469694685038
"2021-08-02 01:20:25.166+00",6830.066382710159
"2021-08-02 01:20:35.166+00",6935.803415383722
"2021-08-02 01:20:45.166+00",7033.996926777304
"2021-08-02 01:20:55.166+00",7113.193072699095
"2021-08-02 01:21:05.166+00",7181.916552068124
"2021-08-02 01:21:15.166+00",7242.862559818373
"2021-08-02 01:21:25.166+00",7293.5825236822375
"2021-08-02 01:21:35.166+00",7335.669706774367
"2021-08-02 01:21:45.166+00",7373.6362214468545
"2021-08-02 01:21:55.166+00",7410.773905774874
"2021-08-02 01:22:05.166+00",7438.0593256354105
"2021-08-02 01:22:15.166+00",7451.380612126263
"2021-08-02 01:22:25.166+00",7467.909719859795
"2021-08-02 01:22:35.166+00",7482.716312824131
"2021-08-02 01:22:45.174+00",7506.836519551779
"2021-08-02 01:22:55.17+00",7518.737396338131
"2021-08-02 01:23:05.166+00",7529.000713830521
"2021-08-02 01:23:15.166+00",7533.76795490322
"2021-08-02 01:23:25.166+00",7547.334851097046
"2021-08-02 01:23:35.166+00",7547.04354306612
"2021-08-02 01:23:45.166+00",7545.035899980859
"2021-08-02 01:23:55.166+00",7545.50241520321
"2021-08-02 01:24:05.166+00",7539.21915143213
"2021-08-02 01:24:15.166+00",7542.441426961693
"2021-08-02 01:24:25.166+00",7549.61019524362
"2021-08-02 01:24:35.166+00",7558.904743227879
"2021-08-02 01:24:45.181+00",7558.685227099202
"2021-08-02 01:24:55.166+00",7564.2730652111395
"2021-08-02 01:25:05.166+00",7561.51760932094
"2021-08-02 01:25:15.166+00",7569.420519992893
"2021-08-02 01:25:25.166+00",7572.565657603923
"2021-08-02 01:25:35.166+00",7576.112274065732
"2021-08-02 01:25:45.166+00",7572.182852453802
"2021-08-02 01:25:55.166+00",7576.061887946985
"2021-08-02 01:26:05.166+00",7571.476228326751
"2021-08-02 01:26:15.166+00",7573.387961595335
"2021-08-02 01:26:25.166+00",7571.127159900393
"2021-08-02 01:26:35.166+00",7569.5979385833125
"2021-08-02 01:26:45.166+00",7561.860951738922
"2021-08-02 01:26:55.166+00",7566.948436778706
"2021-08-02 01:27:05.166+00",7569.098496439887
"2021-08-02 01:27:15.166+00",7577.115959500099
"2021-08-02 01:27:25.166+00",7575.711378805171
"2021-08-02 01:27:35.17+00",7574.029801076363
"2021-08-02 01:27:45.166+00",7573.473101907756
"2021-08-02 01:27:55.166+00",7573.228893932152
"2021-08-02 01:28:05.166+00",7572.79140168941
