"time","current_consumer_offset","kafka_partition"
"2021-08-02 00:50:04.576+00",261999,"0"
"2021-08-02 00:50:04.576+00",260781,"1"
"2021-08-02 00:50:04.576+00",260925,"3"
"2021-08-02 00:50:04.576+00",260837,"4"
"2021-08-02 00:50:04.576+00",261002,"2"
"2021-08-02 00:50:14.584+00",263054,"3"
"2021-08-02 00:50:14.584+00",262863,"1"
"2021-08-02 00:50:14.584+00",264137,"0"
"2021-08-02 00:50:14.584+00",263185,"2"
"2021-08-02 00:50:14.584+00",263013,"4"
"2021-08-02 00:50:24.576+00",265134,"4"
"2021-08-02 00:50:24.576+00",265303,"2"
"2021-08-02 00:50:24.576+00",264955,"1"
"2021-08-02 00:50:24.576+00",265120,"3"
"2021-08-02 00:50:24.576+00",266205,"0"
"2021-08-02 00:50:34.576+00",267247,"3"
"2021-08-02 00:50:34.576+00",267063,"1"
"2021-08-02 00:50:34.576+00",267212,"4"
"2021-08-02 00:50:34.576+00",268372,"0"
"2021-08-02 00:50:34.576+00",267445,"2"
"2021-08-02 00:50:44.576+00",269353,"3"
"2021-08-02 00:50:44.576+00",269238,"1"
"2021-08-02 00:50:44.576+00",269551,"2"
"2021-08-02 00:50:44.576+00",270402,"0"
"2021-08-02 00:50:44.576+00",269310,"4"
"2021-08-02 00:50:54.576+00",272533,"0"
"2021-08-02 00:50:54.576+00",271688,"2"
"2021-08-02 00:50:54.576+00",271409,"1"
"2021-08-02 00:50:54.576+00",271477,"3"
"2021-08-02 00:50:54.576+00",271463,"4"
"2021-08-02 00:51:04.681+00",273802,"2"
"2021-08-02 00:51:04.681+00",274708,"0"
"2021-08-02 00:51:04.681+00",273630,"4"
"2021-08-02 00:51:04.681+00",273587,"1"
"2021-08-02 00:51:04.681+00",273631,"3"
"2021-08-02 00:51:14.576+00",275704,"1"
"2021-08-02 00:51:14.576+00",275727,"3"
"2021-08-02 00:51:14.576+00",275668,"4"
"2021-08-02 00:51:14.576+00",276784,"0"
"2021-08-02 00:51:14.576+00",275904,"2"
"2021-08-02 00:51:24.576+00",277810,"1"
"2021-08-02 00:51:24.576+00",277840,"3"
"2021-08-02 00:51:24.576+00",277793,"4"
"2021-08-02 00:51:24.576+00",278907,"0"
"2021-08-02 00:51:24.576+00",278020,"2"
"2021-08-02 00:51:34.579+00",280165,"2"
