"time","last_batch_records_per_sec"
"2021-08-02 00:50:00.373+00",1062
"2021-08-02 00:50:10.373+00",1060
"2021-08-02 00:50:20.373+00",929.5
"2021-08-02 00:50:30.382+00",1272
"2021-08-02 00:50:40.373+00",1066.5
"2021-08-02 00:50:50.373+00",1083
"2021-08-02 00:51:00.375+00",1474.5
"2021-08-02 00:51:10.373+00",1354
"2021-08-02 00:51:20.373+00",1040
"2021-08-02 00:51:30.373+00",1062.5
"2021-08-02 00:51:40.373+00",1361.5
"2021-08-02 00:51:50.373+00",836
"2021-08-02 00:52:00.373+00",1065.5
"2021-08-02 00:52:10.373+00",1073
"2021-08-02 00:52:20.373+00",853.5
"2021-08-02 00:52:30.373+00",1050
"2021-08-02 00:52:40.373+00",1069.5
"2021-08-02 00:52:50.373+00",1052
"2021-08-02 00:53:00.373+00",467
"2021-08-02 00:53:10.373+00",1048
"2021-08-02 00:53:20.373+00",1077.5
"2021-08-02 00:53:30.373+00",1072.5
"2021-08-02 00:53:40.373+00",1056.5
"2021-08-02 00:53:50.373+00",1064.5
"2021-08-02 00:54:00.373+00",1040.5
"2021-08-02 00:54:10.373+00",1032
"2021-08-02 00:54:20.373+00",1069.5
"2021-08-02 00:54:30.38+00",1104.5
"2021-08-02 00:54:40.373+00",1087.5
"2021-08-02 00:54:50.373+00",1034.5
"2021-08-02 00:55:00.373+00",1023
"2021-08-02 00:55:10.385+00",1059.5
"2021-08-02 00:55:20.373+00",1039.5
"2021-08-02 00:55:30.373+00",1054
"2021-08-02 00:55:40.373+00",1063.5
"2021-08-02 00:55:50.378+00",1077.5
"2021-08-02 00:56:00.373+00",1076.5
"2021-08-02 00:56:10.373+00",1087
"2021-08-02 00:56:20.373+00",1080.5
"2021-08-02 00:56:30.373+00",1066
"2021-08-02 00:56:40.373+00",1097.5
"2021-08-02 00:56:50.373+00",1008
"2021-08-02 00:57:00.373+00",1062
"2021-08-02 00:57:10.373+00",1051
"2021-08-02 00:57:20.373+00",1056
"2021-08-02 00:57:30.373+00",1006
"2021-08-02 00:57:40.373+00",598.5
"2021-08-02 00:57:50.391+00",865
"2021-08-02 00:58:00.373+00",1058
"2021-08-02 00:58:10.373+00",1039
"2021-08-02 00:58:20.373+00",500
"2021-08-02 00:58:30.373+00",966
"2021-08-02 00:58:40.373+00",867.5
"2021-08-02 00:58:50.373+00",1089
"2021-08-02 00:59:00.373+00",830
"2021-08-02 00:59:10.373+00",1051
"2021-08-02 00:59:20.373+00",1073
"2021-08-02 00:59:30.373+00",1061.5
"2021-08-02 00:59:40.373+00",872
"2021-08-02 00:59:50.373+00",1058
"2021-08-02 01:00:00.373+00",1094
"2021-08-02 01:00:10.373+00",1063
"2021-08-02 01:00:20.373+00",739.5
"2021-08-02 01:00:30.373+00",947
"2021-08-02 01:00:40.373+00",1055
"2021-08-02 01:00:50.373+00",1035.5
"2021-08-02 01:01:00.373+00",780
"2021-08-02 01:01:10.373+00",1070.5
"2021-08-02 01:01:20.373+00",1053.5
"2021-08-02 01:01:30.373+00",1061.5
"2021-08-02 01:01:40.373+00",860
"2021-08-02 01:01:50.373+00",1032
"2021-08-02 01:02:00.373+00",1089.5
"2021-08-02 01:02:10.373+00",1060
"2021-08-02 01:02:20.373+00",1067.5
"2021-08-02 01:02:30.373+00",1084.5
"2021-08-02 01:02:40.373+00",1072.5
"2021-08-02 01:02:50.373+00",1089.5
"2021-08-02 01:03:00.373+00",1074
"2021-08-02 01:03:10.373+00",1062
"2021-08-02 01:03:20.373+00",1083.5
"2021-08-02 01:03:30.373+00",1093
"2021-08-02 01:03:40.373+00",1068
"2021-08-02 01:03:50.373+00",1075.5
"2021-08-02 01:04:00.373+00",1065
"2021-08-02 01:04:10.373+00",1039
"2021-08-02 01:04:20.373+00",1042
"2021-08-02 01:04:30.373+00",1061.5
"2021-08-02 01:04:40.373+00",1038.5
"2021-08-02 01:04:50.373+00",1100
"2021-08-02 01:05:00.373+00",1070.5
"2021-08-02 01:05:10.375+00",1020
"2021-08-02 01:05:20.373+00",1072.5
"2021-08-02 01:05:30.373+00",1059
"2021-08-02 01:05:40.373+00",1048.5
"2021-08-02 01:05:50.375+00",1064
"2021-08-02 01:06:00.373+00",1088.5
"2021-08-02 01:06:10.373+00",1046.5
"2021-08-02 01:06:20.373+00",1082.5
"2021-08-02 01:06:30.373+00",1084
"2021-08-02 01:06:40.373+00",1020.5
"2021-08-02 01:06:50.373+00",1078.5
"2021-08-02 01:07:00.373+00",1053.5
"2021-08-02 01:07:10.373+00",1046.5
"2021-08-02 01:07:20.373+00",1055.5
"2021-08-02 01:07:30.373+00",1035
"2021-08-02 01:07:40.373+00",1201
"2021-08-02 01:07:50.373+00",1042.5
"2021-08-02 01:08:00.373+00",1037
"2021-08-02 01:08:10.373+00",1105
"2021-08-02 01:08:20.373+00",814
"2021-08-02 01:08:30.375+00",1040
"2021-08-02 01:08:40.373+00",1092
"2021-08-02 01:08:50.373+00",1083.5
"2021-08-02 01:09:00.373+00",1350.5
"2021-08-02 01:09:10.373+00",1042
"2021-08-02 01:09:20.373+00",1102.5
"2021-08-02 01:09:30.373+00",1071
"2021-08-02 01:09:40.373+00",1329
"2021-08-02 01:09:50.373+00",1030.5
"2021-08-02 01:10:00.373+00",1089
"2021-08-02 01:10:10.373+00",1070
"2021-08-02 01:10:20.373+00",1399
