"time","completed_tasks","executor"
"2021-08-02 00:50:07.411+00",23787,"2"
"2021-08-02 00:50:07.411+00",25829,"0"
"2021-08-02 00:50:07.411+00",23373,"5"
"2021-08-02 00:50:07.411+00",23452,"3"
"2021-08-02 00:50:07.411+00",24933,"1"
"2021-08-02 00:50:07.411+00",82,"4"
"2021-08-02 00:50:37.415+00",84,"4"
"2021-08-02 00:50:37.415+00",26320,"5"
"2021-08-02 00:50:37.415+00",26472,"3"
"2021-08-02 00:50:37.415+00",28000,"1"
"2021-08-02 00:50:37.415+00",28936,"0"
"2021-08-02 00:50:37.415+00",26770,"2"
"2021-08-02 00:51:07.411+00",28943,"3"
"2021-08-02 00:51:07.411+00",31511,"0"
"2021-08-02 00:51:07.411+00",30505,"1"
"2021-08-02 00:51:07.411+00",29305,"2"
"2021-08-02 00:51:07.411+00",87,"4"
"2021-08-02 00:51:07.411+00",28771,"5"
"2021-08-02 00:51:37.411+00",34041,"0"
"2021-08-02 00:51:37.411+00",33018,"1"
"2021-08-02 00:51:37.411+00",31349,"3"
"2021-08-02 00:51:37.411+00",89,"4"
"2021-08-02 00:51:37.411+00",31143,"5"
"2021-08-02 00:51:37.411+00",31782,"2"
"2021-08-02 00:52:07.411+00",36622,"0"
"2021-08-02 00:52:07.411+00",35565,"1"
"2021-08-02 00:52:07.411+00",33796,"3"
"2021-08-02 00:52:07.411+00",91,"4"
"2021-08-02 00:52:07.411+00",34303,"2"
"2021-08-02 00:52:07.411+00",33593,"5"
"2021-08-02 00:52:37.411+00",36411,"5"
"2021-08-02 00:52:37.411+00",38458,"1"
"2021-08-02 00:52:37.411+00",39547,"0"
"2021-08-02 00:52:37.411+00",37185,"2"
"2021-08-02 00:52:37.411+00",93,"4"
"2021-08-02 00:52:37.411+00",36615,"3"
"2021-08-02 00:53:07.411+00",41009,"1"
"2021-08-02 00:53:07.411+00",96,"4"
"2021-08-02 00:53:07.411+00",39757,"2"
"2021-08-02 00:53:07.411+00",42146,"0"
"2021-08-02 00:53:07.411+00",38909,"5"
"2021-08-02 00:53:07.411+00",39078,"3"
"2021-08-02 00:53:37.411+00",98,"4"
"2021-08-02 00:53:37.411+00",43473,"0"
"2021-08-02 00:53:37.411+00",40147,"5"
"2021-08-02 00:53:37.411+00",40341,"3"
"2021-08-02 00:53:37.411+00",42316,"1"
"2021-08-02 00:53:37.411+00",41011,"2"
"2021-08-02 00:54:07.411+00",42618,"1"
"2021-08-02 00:54:07.411+00",43768,"0"
"2021-08-02 00:54:07.411+00",40591,"3"
"2021-08-02 00:54:07.411+00",40409,"5"
"2021-08-02 00:54:07.411+00",100,"4"
"2021-08-02 00:54:07.411+00",41277,"2"
"2021-08-02 00:54:37.411+00",102,"4"
"2021-08-02 00:54:37.411+00",42942,"1"
"2021-08-02 00:54:37.411+00",40880,"3"
"2021-08-02 00:54:37.411+00",40690,"5"
"2021-08-02 00:54:37.411+00",44101,"0"
"2021-08-02 00:54:37.411+00",41561,"2"
"2021-08-02 00:55:07.411+00",41187,"3"
"2021-08-02 00:55:07.411+00",41872,"2"
"2021-08-02 00:55:07.411+00",44422,"0"
"2021-08-02 00:55:07.411+00",40981,"5"
"2021-08-02 00:55:07.411+00",104,"4"
"2021-08-02 00:55:07.411+00",43280,"1"
"2021-08-02 00:55:37.411+00",41277,"5"
"2021-08-02 00:55:37.411+00",44764,"0"
"2021-08-02 00:55:37.411+00",42188,"2"
"2021-08-02 00:55:37.411+00",106,"4"
"2021-08-02 00:55:37.411+00",43618,"1"
"2021-08-02 00:55:37.411+00",41481,"3"
"2021-08-02 00:56:07.411+00",42462,"2"
"2021-08-02 00:56:07.411+00",108,"4"
"2021-08-02 00:56:07.411+00",43936,"1"
"2021-08-02 00:56:07.411+00",41763,"3"
"2021-08-02 00:56:07.411+00",41574,"5"
"2021-08-02 00:56:07.411+00",45095,"0"
"2021-08-02 00:56:37.411+00",42073,"3"
"2021-08-02 00:56:37.411+00",44269,"1"
"2021-08-02 00:56:37.411+00",41889,"5"
"2021-08-02 00:56:37.411+00",45448,"0"
"2021-08-02 00:56:37.411+00",42776,"2"
"2021-08-02 00:56:37.411+00",110,"4"
"2021-08-02 00:57:07.411+00",45754,"2"
"2021-08-02 00:57:07.411+00",113,"4"
"2021-08-02 00:57:07.411+00",44834,"5"
"2021-08-02 00:57:07.411+00",47346,"1"
"2021-08-02 00:57:07.411+00",45032,"3"
"2021-08-02 00:57:07.411+00",48471,"0"
"2021-08-02 00:57:37.411+00",115,"4"
"2021-08-02 00:57:37.411+00",48646,"2"
"2021-08-02 00:57:37.411+00",51441,"0"
"2021-08-02 00:57:37.411+00",50311,"1"
"2021-08-02 00:57:37.411+00",47910,"3"
"2021-08-02 00:57:37.411+00",47707,"5"
"2021-08-02 00:58:07.411+00",49963,"3"
"2021-08-02 00:58:07.411+00",49771,"5"
"2021-08-02 00:58:07.411+00",53564,"0"
"2021-08-02 00:58:07.411+00",50745,"2"
"2021-08-02 00:58:07.411+00",117,"4"
"2021-08-02 00:58:07.411+00",52418,"1"
"2021-08-02 00:58:37.411+00",53251,"2"
"2021-08-02 00:58:37.411+00",55004,"1"
"2021-08-02 00:58:37.411+00",119,"4"
"2021-08-02 00:58:37.411+00",56133,"0"
"2021-08-02 00:58:37.411+00",52410,"3"
"2021-08-02 00:58:37.411+00",52168,"5"
"2021-08-02 00:59:07.411+00",58905,"0"
"2021-08-02 00:59:07.411+00",122,"4"
"2021-08-02 00:59:07.411+00",54784,"5"
"2021-08-02 00:59:07.411+00",55055,"3"
"2021-08-02 00:59:07.411+00",57739,"1"
"2021-08-02 00:59:07.411+00",55988,"2"
"2021-08-02 00:59:37.411+00",125,"4"
"2021-08-02 00:59:37.411+00",61657,"0"
"2021-08-02 00:59:37.411+00",58633,"2"
"2021-08-02 00:59:37.411+00",60438,"1"
"2021-08-02 00:59:37.411+00",57595,"3"
"2021-08-02 00:59:37.411+00",57330,"5"
"2021-08-02 01:00:07.411+00",127,"4"
"2021-08-02 01:00:07.411+00",61045,"2"
"2021-08-02 01:00:07.411+00",64140,"0"
"2021-08-02 01:00:07.411+00",62893,"1"
"2021-08-02 01:00:07.411+00",59933,"3"
"2021-08-02 01:00:07.411+00",59686,"5"
"2021-08-02 01:00:37.411+00",62320,"5"
"2021-08-02 01:00:37.411+00",62653,"3"
"2021-08-02 01:00:37.411+00",66943,"0"
"2021-08-02 01:00:37.411+00",63764,"2"
"2021-08-02 01:00:37.411+00",129,"4"
"2021-08-02 01:00:37.411+00",65662,"1"
"2021-08-02 01:01:07.411+00",68205,"1"
"2021-08-02 01:01:07.411+00",65057,"3"
"2021-08-02 01:01:07.411+00",131,"4"
"2021-08-02 01:01:07.411+00",66272,"2"
"2021-08-02 01:01:07.411+00",69490,"0"
"2021-08-02 01:01:07.411+00",64706,"5"
"2021-08-02 01:01:37.411+00",70866,"1"
"2021-08-02 01:01:37.411+00",72152,"0"
"2021-08-02 01:01:37.411+00",68861,"2"
"2021-08-02 01:01:37.411+00",133,"4"
"2021-08-02 01:01:37.411+00",67588,"3"
"2021-08-02 01:01:37.411+00",67190,"5"
"2021-08-02 01:02:07.411+00",71552,"1"
"2021-08-02 01:02:07.411+00",67836,"5"
"2021-08-02 01:02:07.411+00",72897,"0"
"2021-08-02 01:02:07.411+00",69554,"2"
"2021-08-02 01:02:07.411+00",135,"4"
"2021-08-02 01:02:07.411+00",68230,"3"
"2021-08-02 01:02:37.411+00",68510,"3"
"2021-08-02 01:02:37.411+00",71852,"1"
"2021-08-02 01:02:37.411+00",68124,"5"
"2021-08-02 01:02:37.411+00",73221,"0"
"2021-08-02 01:02:37.411+00",69832,"2"
"2021-08-02 01:02:37.411+00",137,"4"
"2021-08-02 01:03:07.411+00",68430,"5"
"2021-08-02 01:03:07.411+00",68820,"3"
"2021-08-02 01:03:07.411+00",73576,"0"
"2021-08-02 01:03:07.411+00",70155,"2"
"2021-08-02 01:03:07.411+00",72206,"1"
"2021-08-02 01:03:07.411+00",139,"4"
"2021-08-02 01:03:37.413+00",70467,"2"
"2021-08-02 01:03:37.413+00",69114,"3"
"2021-08-02 01:03:37.413+00",72559,"1"
"2021-08-02 01:03:37.413+00",141,"4"
"2021-08-02 01:03:37.413+00",68727,"5"
"2021-08-02 01:03:37.413+00",73922,"0"
"2021-08-02 01:04:07.411+00",72884,"1"
"2021-08-02 01:04:07.411+00",69014,"5"
"2021-08-02 01:04:07.411+00",69413,"3"
"2021-08-02 01:04:07.411+00",143,"4"
"2021-08-02 01:04:07.411+00",70756,"2"
"2021-08-02 01:04:07.411+00",74251,"0"
"2021-08-02 01:04:37.411+00",74582,"0"
"2021-08-02 01:04:37.411+00",73220,"1"
"2021-08-02 01:04:37.411+00",145,"4"
"2021-08-02 01:04:37.411+00",71059,"2"
"2021-08-02 01:04:37.411+00",69710,"3"
