"time","rdd_blocks","executor"
"2021-08-02 00:50:07.411+00",6895,"1"
"2021-08-02 00:50:07.411+00",6767,"3"
"2021-08-02 00:50:07.411+00",6756,"5"
"2021-08-02 00:50:07.411+00",0,"4"
"2021-08-02 00:50:07.411+00",6873,"2"
"2021-08-02 00:50:07.411+00",7098,"0"
"2021-08-02 00:50:37.415+00",6637,"3"
"2021-08-02 00:50:37.415+00",0,"4"
"2021-08-02 00:50:37.415+00",6730,"1"
"2021-08-02 00:50:37.415+00",6733,"2"
"2021-08-02 00:50:37.415+00",6941,"0"
"2021-08-02 00:50:37.415+00",6571,"5"
"2021-08-02 00:51:07.411+00",6853,"5"
"2021-08-02 00:51:07.411+00",6945,"3"
"2021-08-02 00:51:07.411+00",7034,"1"
"2021-08-02 00:51:07.411+00",0,"4"
"2021-08-02 00:51:07.411+00",7027,"2"
"2021-08-02 00:51:07.411+00",7206,"0"
"2021-08-02 00:51:37.411+00",7198,"1"
"2021-08-02 00:51:37.411+00",7226,"2"
"2021-08-02 00:51:37.411+00",7310,"0"
"2021-08-02 00:51:37.411+00",6969,"5"
"2021-08-02 00:51:37.411+00",7051,"3"
"2021-08-02 00:51:37.411+00",0,"4"
"2021-08-02 00:52:07.411+00",6812,"3"
"2021-08-02 00:52:07.411+00",6979,"1"
"2021-08-02 00:52:07.411+00",0,"4"
"2021-08-02 00:52:07.411+00",6995,"2"
"2021-08-02 00:52:07.411+00",7113,"0"
"2021-08-02 00:52:07.411+00",6740,"5"
"2021-08-02 00:52:37.411+00",0,"4"
"2021-08-02 00:52:37.411+00",6994,"0"
"2021-08-02 00:52:37.411+00",6687,"5"
"2021-08-02 00:52:37.411+00",6726,"3"
"2021-08-02 00:52:37.411+00",6946,"1"
"2021-08-02 00:52:37.411+00",6926,"2"
"2021-08-02 00:53:07.411+00",6884,"3"
"2021-08-02 00:53:07.411+00",7108,"2"
"2021-08-02 00:53:07.411+00",7162,"0"
"2021-08-02 00:53:07.411+00",6905,"5"
"2021-08-02 00:53:07.411+00",7061,"1"
"2021-08-02 00:53:07.411+00",0,"4"
"2021-08-02 00:53:37.411+00",0,"4"
"2021-08-02 00:53:37.411+00",5730,"2"
"2021-08-02 00:53:37.411+00",5812,"0"
"2021-08-02 00:53:37.411+00",5596,"5"
"2021-08-02 00:53:37.411+00",5569,"3"
"2021-08-02 00:53:37.411+00",5720,"1"
"2021-08-02 00:54:07.411+00",3174,"1"
"2021-08-02 00:54:07.411+00",3018,"3"
"2021-08-02 00:54:07.411+00",3003,"5"
"2021-08-02 00:54:07.411+00",3201,"0"
"2021-08-02 00:54:07.411+00",3071,"2"
"2021-08-02 00:54:07.411+00",0,"4"
"2021-08-02 00:54:37.411+00",947,"1"
"2021-08-02 00:54:37.411+00",854,"3"
"2021-08-02 00:54:37.411+00",858,"5"
"2021-08-02 00:54:37.411+00",852,"2"
"2021-08-02 00:54:37.411+00",0,"4"
"2021-08-02 00:54:37.411+00",976,"0"
"2021-08-02 00:55:07.411+00",846,"3"
"2021-08-02 00:55:07.411+00",0,"4"
"2021-08-02 00:55:07.411+00",861,"2"
"2021-08-02 00:55:07.411+00",933,"0"
"2021-08-02 00:55:07.411+00",948,"1"
"2021-08-02 00:55:07.411+00",834,"5"
"2021-08-02 00:55:37.411+00",0,"4"
"2021-08-02 00:55:37.411+00",911,"2"
"2021-08-02 00:55:37.411+00",984,"1"
"2021-08-02 00:55:37.411+00",890,"3"
"2021-08-02 00:55:37.411+00",868,"5"
"2021-08-02 00:55:37.411+00",980,"0"
"2021-08-02 00:56:07.411+00",901,"2"
"2021-08-02 00:56:07.411+00",0,"4"
"2021-08-02 00:56:07.411+00",884,"5"
"2021-08-02 00:56:07.411+00",976,"0"
"2021-08-02 00:56:07.411+00",976,"1"
"2021-08-02 00:56:07.411+00",883,"3"
"2021-08-02 00:56:37.411+00",886,"3"
"2021-08-02 00:56:37.411+00",0,"4"
"2021-08-02 00:56:37.411+00",904,"2"
"2021-08-02 00:56:37.411+00",1011,"0"
"2021-08-02 00:56:37.411+00",908,"5"
"2021-08-02 00:56:37.411+00",974,"1"
"2021-08-02 00:57:07.411+00",3551,"3"
"2021-08-02 00:57:07.411+00",0,"4"
"2021-08-02 00:57:07.411+00",3680,"0"
"2021-08-02 00:57:07.411+00",3701,"1"
"2021-08-02 00:57:07.411+00",3566,"2"
"2021-08-02 00:57:07.411+00",3557,"5"
"2021-08-02 00:57:37.411+00",6133,"5"
"2021-08-02 00:57:37.411+00",6147,"3"
"2021-08-02 00:57:37.411+00",0,"4"
"2021-08-02 00:57:37.411+00",6336,"1"
"2021-08-02 00:57:37.411+00",6183,"2"
"2021-08-02 00:57:37.411+00",6309,"0"
"2021-08-02 00:58:07.411+00",7967,"2"
"2021-08-02 00:58:07.411+00",7890,"3"
"2021-08-02 00:58:07.411+00",8102,"1"
"2021-08-02 00:58:07.411+00",0,"4"
"2021-08-02 00:58:07.411+00",7882,"5"
"2021-08-02 00:58:07.411+00",8071,"0"
"2021-08-02 00:58:37.411+00",0,"4"
"2021-08-02 00:58:37.411+00",6555,"3"
"2021-08-02 00:58:37.411+00",6492,"5"
"2021-08-02 00:58:37.411+00",6545,"1"
"2021-08-02 00:58:37.411+00",6555,"0"
"2021-08-02 00:58:37.411+00",6645,"2"
"2021-08-02 00:59:07.411+00",0,"4"
"2021-08-02 00:59:07.411+00",6332,"5"
"2021-08-02 00:59:07.411+00",6398,"3"
"2021-08-02 00:59:07.411+00",6642,"1"
"2021-08-02 00:59:07.411+00",6671,"0"
"2021-08-02 00:59:07.411+00",6623,"2"
"2021-08-02 00:59:37.411+00",0,"4"
"2021-08-02 00:59:37.411+00",6754,"1"
"2021-08-02 00:59:37.411+00",6451,"3"
"2021-08-02 00:59:37.411+00",6407,"5"
"2021-08-02 00:59:37.411+00",6830,"0"
"2021-08-02 00:59:37.411+00",6686,"2"
"2021-08-02 01:00:07.411+00",6959,"3"
"2021-08-02 01:00:07.411+00",0,"4"
"2021-08-02 01:00:07.411+00",7194,"2"
"2021-08-02 01:00:07.411+00",6967,"5"
"2021-08-02 01:00:07.411+00",7254,"1"
"2021-08-02 01:00:07.411+00",7389,"0"
"2021-08-02 01:00:37.411+00",6889,"1"
"2021-08-02 01:00:37.411+00",6960,"0"
"2021-08-02 01:00:37.411+00",6790,"2"
"2021-08-02 01:00:37.411+00",0,"4"
"2021-08-02 01:00:37.411+00",6674,"3"
"2021-08-02 01:00:37.411+00",6589,"5"
"2021-08-02 01:01:07.411+00",0,"4"
"2021-08-02 01:01:07.411+00",6779,"1"
"2021-08-02 01:01:07.411+00",6539,"3"
"2021-08-02 01:01:07.411+00",6453,"5"
"2021-08-02 01:01:07.411+00",6846,"0"
"2021-08-02 01:01:07.411+00",6710,"2"
"2021-08-02 01:01:37.411+00",6980,"0"
"2021-08-02 01:01:37.411+00",0,"4"
"2021-08-02 01:01:37.411+00",6992,"1"
"2021-08-02 01:01:37.411+00",6711,"3"
"2021-08-02 01:01:37.411+00",6611,"5"
"2021-08-02 01:01:37.411+00",6861,"2"
"2021-08-02 01:02:07.411+00",4898,"0"
"2021-08-02 01:02:07.411+00",4779,"2"
"2021-08-02 01:02:07.411+00",4854,"1"
"2021-08-02 01:02:07.411+00",4628,"3"
"2021-08-02 01:02:07.411+00",0,"4"
"2021-08-02 01:02:07.411+00",4581,"5"
"2021-08-02 01:02:37.411+00",2495,"5"
"2021-08-02 01:02:37.411+00",2719,"0"
"2021-08-02 01:02:37.411+00",2591,"2"
"2021-08-02 01:02:37.411+00",0,"4"
"2021-08-02 01:02:37.411+00",2618,"1"
"2021-08-02 01:02:37.411+00",2502,"3"
"2021-08-02 01:03:07.411+00",967,"0"
"2021-08-02 01:03:07.411+00",839,"5"
"2021-08-02 01:03:07.411+00",838,"3"
"2021-08-02 01:03:07.411+00",912,"1"
"2021-08-02 01:03:07.411+00",0,"4"
"2021-08-02 01:03:07.411+00",859,"2"
"2021-08-02 01:03:37.413+00",1009,"0"
"2021-08-02 01:03:37.413+00",991,"1"
"2021-08-02 01:03:37.413+00",884,"3"
"2021-08-02 01:03:37.413+00",891,"5"
"2021-08-02 01:03:37.413+00",913,"2"
"2021-08-02 01:03:37.413+00",0,"4"
"2021-08-02 01:04:07.411+00",890,"5"
"2021-08-02 01:04:07.411+00",903,"3"
"2021-08-02 01:04:07.411+00",924,"2"
"2021-08-02 01:04:07.411+00",1012,"0"
"2021-08-02 01:04:07.411+00",1014,"1"
"2021-08-02 01:04:07.411+00",0,"4"
"2021-08-02 01:04:37.411+00",999,"1"
"2021-08-02 01:04:37.411+00",0,"4"
"2021-08-02 01:04:37.411+00",904,"2"
"2021-08-02 01:04:37.411+00",890,"3"
"2021-08-02 01:04:37.411+00",897,"5"
"2021-08-02 01:04:37.411+00",991,"0"
"2021-08-02 01:05:07.411+00",965,"1"
"2021-08-02 01:05:07.411+00",862,"2"
"2021-08-02 01:05:07.411+00",952,"0"
"2021-08-02 01:05:07.411+00",885,"5"
"2021-08-02 01:05:07.411+00",894,"3"
"2021-08-02 01:05:07.411+00",0,"4"
"2021-08-02 01:05:37.411+00",912,"3"
"2021-08-02 01:05:37.411+00",957,"1"
"2021-08-02 01:05:37.411+00",888,"5"
"2021-08-02 01:05:37.411+00",0,"4"
"2021-08-02 01:05:37.411+00",974,"0"
"2021-08-02 01:05:37.411+00",884,"2"
"2021-08-02 01:06:07.411+00",0,"4"
"2021-08-02 01:06:07.411+00",988,"1"
"2021-08-02 01:06:07.411+00",919,"3"
"2021-08-02 01:06:07.411+00",892,"5"
"2021-08-02 01:06:07.411+00",983,"0"
"2021-08-02 01:06:07.411+00",884,"2"
"2021-08-02 01:06:37.411+00",974,"1"
"2021-08-02 01:06:37.411+00",928,"2"
"2021-08-02 01:06:37.411+00",1030,"0"
"2021-08-02 01:06:37.411+00",903,"5"
"2021-08-02 01:06:37.411+00",907,"3"
"2021-08-02 01:06:37.411+00",0,"4"
"2021-08-02 01:07:07.411+00",0,"4"
"2021-08-02 01:07:07.411+00",1002,"0"
"2021-08-02 01:07:07.411+00",890,"5"
"2021-08-02 01:07:07.411+00",859,"3"
"2021-08-02 01:07:07.411+00",980,"1"
"2021-08-02 01:07:07.411+00",895,"2"
"2021-08-02 01:07:37.411+00",3944,"2"
"2021-08-02 01:07:37.411+00",3951,"0"
"2021-08-02 01:07:37.411+00",3827,"3"
"2021-08-02 01:07:37.411+00",3929,"1"
"2021-08-02 01:07:37.411+00",3764,"5"
"2021-08-02 01:07:37.411+00",0,"4"
"2021-08-02 01:08:07.411+00",6306,"1"
"2021-08-02 01:08:07.411+00",0,"4"
"2021-08-02 01:08:07.411+00",6306,"0"
"2021-08-02 01:08:07.411+00",6143,"5"
"2021-08-02 01:08:07.411+00",6215,"2"
"2021-08-02 01:08:07.411+00",6145,"3"
"2021-08-02 01:08:37.411+00",7679,"3"
"2021-08-02 01:08:37.411+00",0,"4"
"2021-08-02 01:08:37.411+00",7754,"2"
"2021-08-02 01:08:37.411+00",7575,"0"
"2021-08-02 01:08:37.411+00",7650,"5"
"2021-08-02 01:08:37.411+00",7516,"1"
"2021-08-02 01:09:07.411+00",6613,"5"
"2021-08-02 01:09:07.411+00",6575,"3"
"2021-08-02 01:09:07.411+00",6630,"2"
"2021-08-02 01:09:07.411+00",6833,"0"
"2021-08-02 01:09:07.411+00",6723,"1"
"2021-08-02 01:09:07.411+00",0,"4"
"2021-08-02 01:09:37.411+00",6750,"5"
"2021-08-02 01:09:37.411+00",6921,"1"
"2021-08-02 01:09:37.411+00",6940,"2"
"2021-08-02 01:09:37.411+00",0,"4"
"2021-08-02 01:09:37.411+00",6941,"0"
"2021-08-02 01:09:37.411+00",6851,"3"
"2021-08-02 01:10:07.411+00",7080,"3"
"2021-08-02 01:10:07.411+00",7159,"0"
"2021-08-02 01:10:07.411+00",7069,"2"
"2021-08-02 01:10:07.411+00",0,"4"
"2021-08-02 01:10:07.411+00",7211,"1"
"2021-08-02 01:10:07.411+00",6896,"5"
"2021-08-02 01:10:37.411+00",6861,"1"
"2021-08-02 01:10:37.411+00",6756,"0"
"2021-08-02 01:10:37.411+00",6739,"2"
"2021-08-02 01:10:37.411+00",0,"4"
"2021-08-02 01:10:37.411+00",6622,"5"
"2021-08-02 01:10:37.411+00",6781,"3"
"2021-08-02 01:11:07.411+00",6583,"0"
"2021-08-02 01:11:07.411+00",6587,"3"
"2021-08-02 01:11:07.411+00",6578,"2"
"2021-08-02 01:11:07.411+00",0,"4"
"2021-08-02 01:11:07.411+00",6669,"1"
"2021-08-02 01:11:07.411+00",6467,"5"
"2021-08-02 01:11:37.411+00",6533,"3"
"2021-08-02 01:11:37.411+00",6712,"1"
"2021-08-02 01:11:37.411+00",6636,"2"
"2021-08-02 01:11:37.411+00",0,"4"
"2021-08-02 01:11:37.411+00",6594,"0"
"2021-08-02 01:11:37.411+00",6496,"5"
"2021-08-02 01:12:07.411+00",6816,"3"
"2021-08-02 01:12:07.411+00",6825,"5"
"2021-08-02 01:12:07.411+00",7075,"1"
"2021-08-02 01:12:07.411+00",0,"4"
"2021-08-02 01:12:07.411+00",6931,"2"
"2021-08-02 01:12:07.411+00",6931,"0"
"2021-08-02 01:12:37.411+00",4761,"5"
"2021-08-02 01:12:37.411+00",4729,"3"
"2021-08-02 01:12:37.411+00",0,"4"
"2021-08-02 01:12:37.411+00",4853,"2"
"2021-08-02 01:12:37.411+00",4943,"1"
"2021-08-02 01:12:37.411+00",4834,"0"
"2021-08-02 01:13:07.411+00",2687,"1"
"2021-08-02 01:13:07.411+00",0,"4"
"2021-08-02 01:13:07.411+00",2584,"2"
"2021-08-02 01:13:07.411+00",2643,"0"
"2021-08-02 01:13:07.411+00",2560,"5"
"2021-08-02 01:13:07.411+00",2525,"3"
"2021-08-02 01:13:37.414+00",824,"5"
"2021-08-02 01:13:37.414+00",918,"0"
"2021-08-02 01:13:37.414+00",831,"2"
"2021-08-02 01:13:37.414+00",0,"4"
"2021-08-02 01:13:37.414+00",923,"1"
"2021-08-02 01:13:37.414+00",820,"3"
"2021-08-02 01:14:07.411+00",993,"1"
"2021-08-02 01:14:07.411+00",977,"0"
"2021-08-02 01:14:07.411+00",904,"2"
"2021-08-02 01:14:07.411+00",0,"4"
