"time","shuffle_read_bytes_total","executor"
"2021-08-02 00:50:07.411+00",368,"4"
"2021-08-02 00:50:07.411+00",5859905,"1"
"2021-08-02 00:50:07.411+00",322,"3"
"2021-08-02 00:50:07.411+00",276,"5"
"2021-08-02 00:50:07.411+00",100893825,"0"
"2021-08-02 00:50:07.411+00",460,"2"
"2021-08-02 00:50:37.415+00",460,"2"
"2021-08-02 00:50:37.415+00",119539335,"0"
"2021-08-02 00:50:37.415+00",276,"5"
"2021-08-02 00:50:37.415+00",322,"3"
"2021-08-02 00:50:37.415+00",5859905,"1"
"2021-08-02 00:50:37.415+00",368,"4"
"2021-08-02 00:51:07.411+00",134573753,"0"
"2021-08-02 00:51:07.411+00",5859905,"1"
"2021-08-02 00:51:07.411+00",322,"3"
"2021-08-02 00:51:07.411+00",276,"5"
"2021-08-02 00:51:07.411+00",368,"4"
"2021-08-02 00:51:07.411+00",460,"2"
"2021-08-02 00:51:37.411+00",322,"3"
"2021-08-02 00:51:37.411+00",149239681,"0"
"2021-08-02 00:51:37.411+00",460,"2"
"2021-08-02 00:51:37.411+00",368,"4"
"2021-08-02 00:51:37.411+00",5859905,"1"
"2021-08-02 00:51:37.411+00",276,"5"
"2021-08-02 00:52:07.411+00",6149585,"1"
"2021-08-02 00:52:07.411+00",276,"5"
"2021-08-02 00:52:07.411+00",163714234,"0"
"2021-08-02 00:52:07.411+00",460,"2"
"2021-08-02 00:52:07.411+00",368,"4"
"2021-08-02 00:52:07.411+00",322,"3"
"2021-08-02 00:52:37.411+00",6451823,"1"
"2021-08-02 00:52:37.411+00",368,"4"
"2021-08-02 00:52:37.411+00",460,"2"
"2021-08-02 00:52:37.411+00",181427480,"0"
"2021-08-02 00:52:37.411+00",276,"5"
"2021-08-02 00:52:37.411+00",322,"3"
"2021-08-02 00:53:07.411+00",6451823,"1"
"2021-08-02 00:53:07.411+00",196623229,"0"
"2021-08-02 00:53:07.411+00",460,"2"
"2021-08-02 00:53:07.411+00",276,"5"
"2021-08-02 00:53:07.411+00",322,"3"
"2021-08-02 00:53:07.411+00",368,"4"
"2021-08-02 00:53:37.411+00",368,"4"
"2021-08-02 00:53:37.411+00",203545447,"0"
"2021-08-02 00:53:37.411+00",460,"2"
"2021-08-02 00:53:37.411+00",6591476,"1"
"2021-08-02 00:53:37.411+00",322,"3"
"2021-08-02 00:53:37.411+00",276,"5"
