"time","shuffle_write_bytes_total","executor"
"2021-08-02 00:50:07.411+00",21540514,"2"
"2021-08-02 00:50:07.411+00",21189038,"3"
"2021-08-02 00:50:07.411+00",21138422,"5"
"2021-08-02 00:50:07.411+00",22027811,"0"
"2021-08-02 00:50:07.411+00",21397304,"1"
"2021-08-02 00:50:07.411+00",16108,"4"
"2021-08-02 00:50:37.415+00",24824655,"3"
"2021-08-02 00:50:37.415+00",24689817,"5"
"2021-08-02 00:50:37.415+00",25713092,"0"
"2021-08-02 00:50:37.415+00",25128772,"2"
"2021-08-02 00:50:37.415+00",16531,"4"
"2021-08-02 00:50:37.415+00",25027799,"1"
"2021-08-02 00:51:07.411+00",28771271,"0"
"2021-08-02 00:51:07.411+00",27651545,"5"
"2021-08-02 00:51:07.411+00",27806874,"3"
"2021-08-02 00:51:07.411+00",27998086,"1"
"2021-08-02 00:51:07.411+00",17468,"4"
"2021-08-02 00:51:07.411+00",28189840,"2"
"2021-08-02 00:51:37.411+00",30980173,"1"
"2021-08-02 00:51:37.411+00",17891,"4"
"2021-08-02 00:51:37.411+00",31185246,"2"
"2021-08-02 00:51:37.411+00",31782181,"0"
"2021-08-02 00:51:37.411+00",30524463,"5"
"2021-08-02 00:51:37.411+00",30721302,"3"
"2021-08-02 00:52:07.411+00",34279996,"2"
"2021-08-02 00:52:07.411+00",18314,"4"
"2021-08-02 00:52:07.411+00",34044688,"1"
"2021-08-02 00:52:07.411+00",33727699,"3"
"2021-08-02 00:52:07.411+00",34895246,"0"
"2021-08-02 00:52:07.411+00",33535585,"5"
"2021-08-02 00:52:37.411+00",37512907,"1"
"2021-08-02 00:52:37.411+00",37167988,"3"
"2021-08-02 00:52:37.411+00",38408147,"0"
"2021-08-02 00:52:37.411+00",37795273,"2"
"2021-08-02 00:52:37.411+00",18737,"4"
"2021-08-02 00:52:37.411+00",36977677,"5"
"2021-08-02 00:53:07.411+00",40897378,"2"
"2021-08-02 00:53:07.411+00",39992863,"5"
"2021-08-02 00:53:07.411+00",40142459,"3"
"2021-08-02 00:53:07.411+00",40532325,"1"
"2021-08-02 00:53:07.411+00",41491779,"0"
"2021-08-02 00:53:07.411+00",19674,"4"
"2021-08-02 00:53:37.411+00",42306643,"2"
"2021-08-02 00:53:37.411+00",42925630,"0"
"2021-08-02 00:53:37.411+00",41554439,"3"
"2021-08-02 00:53:37.411+00",41376316,"5"
"2021-08-02 00:53:37.411+00",41955224,"1"
"2021-08-02 00:53:37.411+00",20097,"4"
"2021-08-02 00:54:07.411+00",41447842,"5"
"2021-08-02 00:54:07.411+00",42379261,"2"
"2021-08-02 00:54:07.411+00",42997156,"0"
"2021-08-02 00:54:07.411+00",20520,"4"
"2021-08-02 00:54:07.411+00",42028934,"1"
"2021-08-02 00:54:07.411+00",41622689,"3"
"2021-08-02 00:54:37.411+00",42109196,"1"
"2021-08-02 00:54:37.411+00",41701586,"3"
"2021-08-02 00:54:37.411+00",41524555,"5"
"2021-08-02 00:54:37.411+00",43079602,"0"
"2021-08-02 00:54:37.411+00",42456793,"2"
"2021-08-02 00:54:37.411+00",20943,"4"
"2021-08-02 00:55:07.411+00",42541696,"2"
"2021-08-02 00:55:07.411+00",42192734,"1"
"2021-08-02 00:55:07.411+00",41785397,"3"
"2021-08-02 00:55:07.411+00",21366,"4"
"2021-08-02 00:55:07.411+00",41603998,"5"
"2021-08-02 00:55:07.411+00",43158226,"0"
