"time","on_heap_mem_used_mb"
"2021-08-02 00:50:00.373+00",136
"2021-08-02 00:50:10.373+00",135
"2021-08-02 00:50:20.373+00",138
"2021-08-02 00:50:30.382+00",133
"2021-08-02 00:50:40.373+00",135
"2021-08-02 00:50:50.373+00",135
"2021-08-02 00:51:00.375+00",135
"2021-08-02 00:51:10.373+00",133
"2021-08-02 00:51:20.373+00",137
"2021-08-02 00:51:30.373+00",137
"2021-08-02 00:51:40.373+00",139
"2021-08-02 00:51:50.373+00",139
"2021-08-02 00:52:00.373+00",135
"2021-08-02 00:52:10.373+00",135
"2021-08-02 00:52:20.373+00",136
"2021-08-02 00:52:30.373+00",134
"2021-08-02 00:52:40.373+00",135
"2021-08-02 00:52:50.373+00",134
"2021-08-02 00:53:00.373+00",138
"2021-08-02 00:53:10.373+00",134
"2021-08-02 00:53:20.373+00",136
"2021-08-02 00:53:30.373+00",132
"2021-08-02 00:53:40.373+00",117
"2021-08-02 00:53:50.373+00",103
"2021-08-02 00:54:00.373+00",86
"2021-08-02 00:54:10.373+00",71
"2021-08-02 00:54:20.373+00",56
"2021-08-02 00:54:30.38+00",40
"2021-08-02 00:54:40.373+00",25
"2021-08-02 00:54:50.373+00",12
"2021-08-02 00:55:00.373+00",12
"2021-08-02 00:55:10.385+00",12
"2021-08-02 00:55:20.373+00",12
"2021-08-02 00:55:30.373+00",12
"2021-08-02 00:55:40.373+00",12
"2021-08-02 00:55:50.378+00",12
"2021-08-02 00:56:00.373+00",12
"2021-08-02 00:56:10.373+00",12
"2021-08-02 00:56:20.373+00",12
"2021-08-02 00:56:30.373+00",12
"2021-08-02 00:56:40.373+00",12
"2021-08-02 00:56:50.373+00",12
"2021-08-02 00:57:00.373+00",26
"2021-08-02 00:57:10.373+00",43
"2021-08-02 00:57:20.373+00",59
"2021-08-02 00:57:30.373+00",75
"2021-08-02 00:57:40.373+00",91
"2021-08-02 00:57:50.391+00",107
"2021-08-02 00:58:00.373+00",121
"2021-08-02 00:58:10.373+00",137
"2021-08-02 00:58:20.373+00",142
"2021-08-02 00:58:30.373+00",137
"2021-08-02 00:58:40.373+00",134
"2021-08-02 00:58:50.373+00",133
"2021-08-02 00:59:00.373+00",132
"2021-08-02 00:59:10.373+00",133
"2021-08-02 00:59:20.373+00",134
"2021-08-02 00:59:30.373+00",135
"2021-08-02 00:59:40.373+00",135
"2021-08-02 00:59:50.373+00",137
"2021-08-02 01:00:00.373+00",138
"2021-08-02 01:00:10.373+00",137
"2021-08-02 01:00:20.373+00",141
"2021-08-02 01:00:30.373+00",135
"2021-08-02 01:00:40.373+00",135
"2021-08-02 01:00:50.373+00",134
"2021-08-02 01:01:00.373+00",134
"2021-08-02 01:01:10.373+00",133
"2021-08-02 01:01:20.373+00",134
"2021-08-02 01:01:30.373+00",134
"2021-08-02 01:01:40.373+00",139
"2021-08-02 01:01:50.373+00",136
"2021-08-02 01:02:00.373+00",123
"2021-08-02 01:02:10.373+00",108
"2021-08-02 01:02:20.373+00",92
"2021-08-02 01:02:30.373+00",77
"2021-08-02 01:02:40.373+00",62
"2021-08-02 01:02:50.373+00",46
"2021-08-02 01:03:00.373+00",30
"2021-08-02 01:03:10.373+00",15
"2021-08-02 01:03:20.373+00",12
"2021-08-02 01:03:30.373+00",12
"2021-08-02 01:03:40.373+00",13
"2021-08-02 01:03:50.373+00",13
"2021-08-02 01:04:00.373+00",12
"2021-08-02 01:04:10.373+00",12
"2021-08-02 01:04:20.373+00",12
"2021-08-02 01:04:30.373+00",12
"2021-08-02 01:04:40.373+00",12
"2021-08-02 01:04:50.373+00",12
"2021-08-02 01:05:00.373+00",12
"2021-08-02 01:05:10.375+00",12
"2021-08-02 01:05:20.373+00",12
"2021-08-02 01:05:30.373+00",12
"2021-08-02 01:05:40.373+00",12
"2021-08-02 01:05:50.375+00",12
"2021-08-02 01:06:00.373+00",12
"2021-08-02 01:06:10.373+00",12
"2021-08-02 01:06:20.373+00",12
"2021-08-02 01:06:30.373+00",12
"2021-08-02 01:06:40.373+00",12
"2021-08-02 01:06:50.373+00",12
"2021-08-02 01:07:00.373+00",12
"2021-08-02 01:07:10.373+00",12
"2021-08-02 01:07:20.373+00",13
"2021-08-02 01:07:30.373+00",16
"2021-08-02 01:07:40.373+00",19
"2021-08-02 01:07:50.373+00",21
"2021-08-02 01:08:00.373+00",23
"2021-08-02 01:08:10.373+00",26
"2021-08-02 01:08:20.373+00",29
"2021-08-02 01:08:30.375+00",29
"2021-08-02 01:08:40.373+00",31
"2021-08-02 01:08:50.373+00",30
"2021-08-02 01:09:00.373+00",30
"2021-08-02 01:09:10.373+00",29
"2021-08-02 01:09:20.373+00",29
"2021-08-02 01:09:30.373+00",28
"2021-08-02 01:09:40.373+00",29
"2021-08-02 01:09:50.373+00",29
"2021-08-02 01:10:00.373+00",29
"2021-08-02 01:10:10.373+00",29
"2021-08-02 01:10:20.373+00",31
"2021-08-02 01:10:30.373+00",29
"2021-08-02 01:10:40.377+00",29
"2021-08-02 01:10:50.373+00",29
"2021-08-02 01:11:00.373+00",30
"2021-08-02 01:11:10.373+00",28
"2021-08-02 01:11:20.373+00",28
"2021-08-02 01:11:30.373+00",28
"2021-08-02 01:11:40.373+00",29
"2021-08-02 01:11:50.373+00",29
"2021-08-02 01:12:00.376+00",29
"2021-08-02 01:12:10.377+00",29
"2021-08-02 01:12:20.373+00",28
"2021-08-02 01:12:30.379+00",27
"2021-08-02 01:12:40.373+00",25
"2021-08-02 01:12:50.373+00",23
"2021-08-02 01:13:00.373+00",20
"2021-08-02 01:13:10.373+00",18
"2021-08-02 01:13:20.373+00",16
"2021-08-02 01:13:30.373+00",13
"2021-08-02 01:13:40.38+00",12
"2021-08-02 01:13:50.373+00",12
"2021-08-02 01:14:00.373+00",12
"2021-08-02 01:14:10.373+00",12
"2021-08-02 01:14:20.373+00",12
"2021-08-02 01:14:30.373+00",12
"2021-08-02 01:14:40.373+00",12
"2021-08-02 01:14:50.373+00",12
"2021-08-02 01:15:00.373+00",12
"2021-08-02 01:15:10.373+00",19
"2021-08-02 01:15:20.373+00",26
"2021-08-02 01:15:30.373+00",32
"2021-08-02 01:15:40.373+00",40
"2021-08-02 01:15:50.373+00",47
"2021-08-02 01:16:00.373+00",53
"2021-08-02 01:16:10.373+00",60
"2021-08-02 01:16:20.373+00",67
"2021-08-02 01:16:30.373+00",66
"2021-08-02 01:16:40.373+00",63
"2021-08-02 01:16:50.373+00",60
"2021-08-02 01:17:00.373+00",55
"2021-08-02 01:17:10.377+00",53
"2021-08-02 01:17:20.373+00",49
"2021-08-02 01:17:30.373+00",45
"2021-08-02 01:17:40.383+00",43
"2021-08-02 01:17:50.373+00",40
"2021-08-02 01:18:00.373+00",40
"2021-08-02 01:18:10.373+00",41
"2021-08-02 01:18:20.373+00",41
"2021-08-02 01:18:30.373+00",40
"2021-08-02 01:18:40.373+00",41
"2021-08-02 01:18:50.373+00",41
"2021-08-02 01:19:00.373+00",42
"2021-08-02 01:19:10.373+00",47
"2021-08-02 01:19:20.388+00",52
"2021-08-02 01:19:30.373+00",56
"2021-08-02 01:19:40.376+00",61
"2021-08-02 01:19:50.373+00",66
"2021-08-02 01:20:00.373+00",70
"2021-08-02 01:20:10.373+00",75
"2021-08-02 01:20:20.373+00",78
"2021-08-02 01:20:30.373+00",78
"2021-08-02 01:20:40.373+00",79
"2021-08-02 01:20:50.373+00",79
"2021-08-02 01:21:00.373+00",78
"2021-08-02 01:21:10.373+00",79
"2021-08-02 01:21:20.373+00",79
"2021-08-02 01:21:30.373+00",78
"2021-08-02 01:21:40.373+00",79
"2021-08-02 01:21:50.373+00",79
"2021-08-02 01:22:00.373+00",78
"2021-08-02 01:22:10.373+00",79
"2021-08-02 01:22:20.384+00",79
"2021-08-02 01:22:30.373+00",79
"2021-08-02 01:22:40.373+00",79
"2021-08-02 01:22:50.373+00",79
"2021-08-02 01:23:00.373+00",79
"2021-08-02 01:23:10.373+00",124
"2021-08-02 01:23:20.373+00",211
"2021-08-02 01:23:30.373+00",287
"2021-08-02 01:23:40.373+00",330
"2021-08-02 01:23:50.373+00",398
"2021-08-02 01:24:00.373+00",468
"2021-08-02 01:24:10.373+00",535
"2021-08-02 01:24:20.373+00",603
"2021-08-02 01:24:30.375+00",661
"2021-08-02 01:24:40.373+00",698
"2021-08-02 01:24:50.373+00",755
"2021-08-02 01:25:00.379+00",787
"2021-08-02 01:25:10.373+00",794
"2021-08-02 01:25:20.373+00",803
"2021-08-02 01:25:30.373+00",810
"2021-08-02 01:25:40.373+00",800
"2021-08-02 01:25:50.373+00",823
"2021-08-02 01:26:00.373+00",832
"2021-08-02 01:26:10.373+00",823
"2021-08-02 01:26:20.385+00",816
"2021-08-02 01:26:30.373+00",840
"2021-08-02 01:26:40.376+00",821
"2021-08-02 01:26:50.373+00",810
"2021-08-02 01:27:00.373+00",810
"2021-08-02 01:27:10.373+00",799
"2021-08-02 01:27:20.373+00",826
"2021-08-02 01:27:30.373+00",806
"2021-08-02 01:27:40.373+00",815
"2021-08-02 01:27:50.373+00",805
"2021-08-02 01:28:00.373+00",821
"2021-08-02 01:28:10.373+00",759
"2021-08-02 01:28:20.373+00",723
"2021-08-02 01:28:30.373+00",690
"2021-08-02 01:28:40.373+00",599
"2021-08-02 01:28:50.373+00",537
"2021-08-02 01:29:00.373+00",485
"2021-08-02 01:29:10.373+00",420
"2021-08-02 01:29:20.379+00",389
"2021-08-02 01:29:30.373+00",321
"2021-08-02 01:29:40.379+00",268
"2021-08-02 01:29:50.373+00",218
"2021-08-02 01:30:00.373+00",218
"2021-08-02 01:30:10.378+00",215
"2021-08-02 01:30:20.373+00",209
"2021-08-02 01:30:30.378+00",198
"2021-08-02 01:30:40.373+00",186
"2021-08-02 01:30:50.373+00",155
"2021-08-02 01:31:00.373+00",119
"2021-08-02 01:31:10.373+00",75
"2021-08-02 01:31:20.373+00",56
"2021-08-02 01:31:30.39+00",47
"2021-08-02 01:31:40.373+00",49
"2021-08-02 01:31:50.381+00",53
"2021-08-02 01:32:00.373+00",60
"2021-08-02 01:32:10.373+00",69
"2021-08-02 01:32:20.373+00",74
"2021-08-02 01:32:30.373+00",79
"2021-08-02 01:32:40.373+00",80
"2021-08-02 01:32:50.373+00",80
"2021-08-02 01:33:00.373+00",79
"2021-08-02 01:33:10.373+00",80
"2021-08-02 01:33:20.373+00",80
"2021-08-02 01:33:30.373+00",79
"2021-08-02 01:33:40.373+00",80
"2021-08-02 01:33:50.373+00",80
"2021-08-02 01:34:00.373+00",79
"2021-08-02 01:34:10.373+00",81
"2021-08-02 01:34:20.373+00",80
"2021-08-02 01:34:30.373+00",79
"2021-08-02 01:34:40.373+00",80
"2021-08-02 01:34:50.373+00",80
"2021-08-02 01:35:00.373+00",79
"2021-08-02 01:35:10.373+00",80
"2021-08-02 01:35:20.373+00",80
"2021-08-02 01:35:30.377+00",79
"2021-08-02 01:35:40.373+00",80
"2021-08-02 01:35:50.373+00",80
"2021-08-02 01:36:00.373+00",86
"2021-08-02 01:36:10.373+00",90
"2021-08-02 01:36:20.373+00",98
"2021-08-02 01:36:30.373+00",103
"2021-08-02 01:36:40.388+00",103
"2021-08-02 01:36:50.373+00",106
"2021-08-02 01:37:00.373+00",113
"2021-08-02 01:37:10.376+00",120
"2021-08-02 01:37:20.378+00",118
"2021-08-02 01:37:30.373+00",110
"2021-08-02 01:37:40.386+00",112
"2021-08-02 01:37:50.373+00",109
"2021-08-02 01:38:00.373+00",107
"2021-08-02 01:38:10.373+00",111
"2021-08-02 01:38:20.373+00",116
"2021-08-02 01:38:30.373+00",109
"2021-08-02 01:38:40.373+00",109
"2021-08-02 01:38:50.373+00",112
"2021-08-02 01:39:00.373+00",114
"2021-08-02 01:39:10.373+00",111
"2021-08-02 01:39:20.373+00",110
"2021-08-02 01:39:30.373+00",109
"2021-08-02 01:39:40.373+00",117
"2021-08-02 01:39:50.373+00",117
"2021-08-02 01:40:00.373+00",113
"2021-08-02 01:40:10.373+00",110
"2021-08-02 01:40:20.373+00",114
"2021-08-02 01:40:30.373+00",113
"2021-08-02 01:40:40.373+00",113
"2021-08-02 01:40:50.373+00",111
"2021-08-02 01:41:00.373+00",103
"2021-08-02 01:41:10.373+00",100
"2021-08-02 01:41:20.373+00",97
"2021-08-02 01:41:30.373+00",94
"2021-08-02 01:41:40.373+00",90
"2021-08-02 01:41:50.373+00",85
"2021-08-02 01:42:00.373+00",82
"2021-08-02 01:42:10.373+00",79
"2021-08-02 01:42:20.373+00",80
"2021-08-02 01:42:30.377+00",79
"2021-08-02 01:42:40.373+00",79
"2021-08-02 01:42:50.373+00",79
"2021-08-02 01:43:00.373+00",79
"2021-08-02 01:43:10.373+00",80
"2021-08-02 01:43:20.373+00",80
"2021-08-02 01:43:30.373+00",79
"2021-08-02 01:43:40.373+00",80
"2021-08-02 01:43:50.373+00",79
"2021-08-02 01:44:00.373+00",79
"2021-08-02 01:44:10.381+00",80
"2021-08-02 01:44:20.373+00",80
"2021-08-02 01:44:30.373+00",79
"2021-08-02 01:44:40.373+00",80
"2021-08-02 01:44:50.373+00",79
"2021-08-02 01:45:00.373+00",79
"2021-08-02 01:45:10.373+00",80
"2021-08-02 01:45:20.373+00",80
"2021-08-02 01:45:30.376+00",79
"2021-08-02 01:45:40.373+00",80
"2021-08-02 01:45:50.373+00",80
"2021-08-02 01:46:00.373+00",160
"2021-08-02 01:46:10.383+00",238
"2021-08-02 01:46:20.373+00",294
"2021-08-02 01:46:30.373+00",348
"2021-08-02 01:46:40.373+00",433
"2021-08-02 01:46:50.377+00",506
"2021-08-02 01:47:00.373+00",565
"2021-08-02 01:47:10.375+00",631
"2021-08-02 01:47:20.373+00",671
"2021-08-02 01:47:30.373+00",739
"2021-08-02 01:47:40.373+00",782
"2021-08-02 01:47:50.373+00",799
"2021-08-02 01:48:00.373+00",795
"2021-08-02 01:48:10.373+00",780
"2021-08-02 01:48:20.373+00",764
"2021-08-02 01:48:30.379+00",784
"2021-08-02 01:48:40.373+00",782
"2021-08-02 01:48:50.373+00",797
"2021-08-02 01:49:00.379+00",786
"2021-08-02 01:49:10.373+00",809
"2021-08-02 01:49:20.373+00",801
"2021-08-02 01:49:30.373+00",794
"2021-08-02 01:49:40.373+00",794
"2021-08-02 01:49:50.373+00",817
"2021-08-02 01:50:00.373+00",801
"2021-08-02 01:50:10.373+00",818
"2021-08-02 01:50:20.373+00",813
"2021-08-02 01:50:30.373+00",819
"2021-08-02 01:50:40.373+00",821
"2021-08-02 01:50:50.373+00",819
"2021-08-02 01:51:00.373+00",817
"2021-08-02 01:51:10.373+00",739
"2021-08-02 01:51:20.373+00",667
"2021-08-02 01:51:30.373+00",591
"2021-08-02 01:51:40.373+00",534
"2021-08-02 01:51:50.373+00",511
"2021-08-02 01:52:00.373+00",424
"2021-08-02 01:52:10.373+00",350
"2021-08-02 01:52:20.373+00",269
"2021-08-02 01:52:30.373+00",197
"2021-08-02 01:52:40.391+00",188
"2021-08-02 01:52:50.373+00",170
"2021-08-02 01:53:00.373+00",135
"2021-08-02 01:53:10.373+00",98
"2021-08-02 01:53:20.373+00",77
"2021-08-02 01:53:30.377+00",77
"2021-08-02 01:53:40.373+00",77
"2021-08-02 01:53:50.373+00",66
"2021-08-02 01:54:00.391+00",58
"2021-08-02 01:54:10.373+00",63
"2021-08-02 01:54:20.373+00",70
"2021-08-02 01:54:30.373+00",75
"2021-08-02 01:54:40.373+00",79
"2021-08-02 01:54:50.373+00",79
"2021-08-02 01:55:00.373+00",78
"2021-08-02 01:55:10.373+00",79
"2021-08-02 01:55:20.373+00",79
"2021-08-02 01:55:30.373+00",79
"2021-08-02 01:55:40.373+00",79
"2021-08-02 01:55:50.373+00",79
"2021-08-02 01:56:00.373+00",78
"2021-08-02 01:56:10.373+00",80
"2021-08-02 01:56:20.386+00",79
"2021-08-02 01:56:30.373+00",78
"2021-08-02 01:56:40.378+00",79
"2021-08-02 01:56:50.373+00",80
"2021-08-02 01:57:00.373+00",78
"2021-08-02 01:57:10.373+00",79
"2021-08-02 01:57:20.373+00",79
"2021-08-02 01:57:30.373+00",78
"2021-08-02 01:57:40.373+00",78
"2021-08-02 01:57:50.373+00",78
"2021-08-02 01:58:00.373+00",78
"2021-08-02 01:58:10.373+00",79
"2021-08-02 01:58:20.373+00",79
"2021-08-02 01:58:30.373+00",78
"2021-08-02 01:58:40.373+00",81
"2021-08-02 01:58:50.373+00",79
"2021-08-02 01:59:00.373+00",79
"2021-08-02 01:59:10.373+00",79
"2021-08-02 01:59:20.373+00",79
"2021-08-02 01:59:30.373+00",78
"2021-08-02 01:59:40.373+00",79
"2021-08-02 01:59:50.377+00",78
"2021-08-02 02:00:00.373+00",77
"2021-08-02 02:00:10.373+00",78
"2021-08-02 02:00:20.373+00",79
"2021-08-02 02:00:30.373+00",78
"2021-08-02 02:00:40.373+00",78
"2021-08-02 02:00:50.373+00",79
"2021-08-02 02:01:00.373+00",78
"2021-08-02 02:01:10.373+00",79
"2021-08-02 02:01:20.373+00",79
"2021-08-02 02:01:30.373+00",78
"2021-08-02 02:01:40.373+00",79
"2021-08-02 02:01:50.373+00",79
"2021-08-02 02:02:00.373+00",79
"2021-08-02 02:02:10.373+00",79
"2021-08-02 02:02:20.373+00",79
"2021-08-02 02:02:30.373+00",74
"2021-08-02 02:02:40.373+00",75
"2021-08-02 02:02:50.378+00",79
"2021-08-02 02:03:00.373+00",83
"2021-08-02 02:03:10.373+00",88
"2021-08-02 02:03:20.373+00",94
"2021-08-02 02:03:30.373+00",97
"2021-08-02 02:03:40.373+00",102
"2021-08-02 02:03:50.373+00",110
"2021-08-02 02:04:00.373+00",114
"2021-08-02 02:04:10.377+00",116
"2021-08-02 02:04:20.373+00",114
"2021-08-02 02:04:30.381+00",118
"2021-08-02 02:04:40.373+00",123
"2021-08-02 02:04:50.373+00",127
"2021-08-02 02:05:00.373+00",131
"2021-08-02 02:05:10.373+00",137
"2021-08-02 02:05:20.373+00",140
"2021-08-02 02:05:30.373+00",144
"2021-08-02 02:05:40.375+00",150
"2021-08-02 02:05:50.373+00",151
"2021-08-02 02:06:00.373+00",150
"2021-08-02 02:06:10.373+00",151
"2021-08-02 02:06:20.373+00",151
"2021-08-02 02:06:30.373+00",150
"2021-08-02 02:06:40.373+00",151
"2021-08-02 02:06:50.373+00",153
"2021-08-02 02:07:00.373+00",151
"2021-08-02 02:07:10.373+00",152
"2021-08-02 02:07:20.373+00",153
"2021-08-02 02:07:30.373+00",151
"2021-08-02 02:07:40.373+00",152
"2021-08-02 02:07:50.373+00",152
"2021-08-02 02:08:00.373+00",151
"2021-08-02 02:08:10.373+00",152
"2021-08-02 02:08:20.373+00",153
"2021-08-02 02:08:30.373+00",151
"2021-08-02 02:08:40.373+00",152
"2021-08-02 02:08:50.373+00",152
"2021-08-02 02:09:00.373+00",152
"2021-08-02 02:09:10.373+00",153
"2021-08-02 02:09:20.373+00",156
"2021-08-02 02:09:30.373+00",166
"2021-08-02 02:09:40.373+00",174
"2021-08-02 02:09:50.373+00",184
"2021-08-02 02:10:00.373+00",181
"2021-08-02 02:10:10.373+00",186
"2021-08-02 02:10:20.373+00",199
"2021-08-02 02:10:30.373+00",212
"2021-08-02 02:10:40.373+00",214
"2021-08-02 02:10:50.373+00",210
"2021-08-02 02:11:00.373+00",209
"2021-08-02 02:11:10.373+00",212
"2021-08-02 02:11:20.373+00",202
"2021-08-02 02:11:30.373+00",193
"2021-08-02 02:11:40.373+00",205
"2021-08-02 02:11:50.373+00",205
"2021-08-02 02:12:00.373+00",195
"2021-08-02 02:12:10.373+00",195
"2021-08-02 02:12:20.373+00",206
