"time","processing_delay"
"2021-08-02 00:50:00.373+00",609
"2021-08-02 00:50:10.373+00",515
"2021-08-02 00:50:20.373+00",1362
"2021-08-02 00:50:30.382+00",409
"2021-08-02 00:50:40.373+00",634
"2021-08-02 00:50:50.373+00",479
"2021-08-02 00:51:00.375+00",1436
"2021-08-02 00:51:10.373+00",357
"2021-08-02 00:51:20.373+00",461
"2021-08-02 00:51:30.373+00",428
"2021-08-02 00:51:40.373+00",4033
"2021-08-02 00:51:50.373+00",1385
"2021-08-02 00:52:00.373+00",453
"2021-08-02 00:52:10.373+00",479
"2021-08-02 00:52:20.373+00",1321
"2021-08-02 00:52:30.373+00",440
"2021-08-02 00:52:40.373+00",460
"2021-08-02 00:52:50.373+00",440
"2021-08-02 00:53:00.373+00",1423
"2021-08-02 00:53:10.373+00",476
"2021-08-02 00:53:20.373+00",439
"2021-08-02 00:53:30.373+00",55
"2021-08-02 00:53:40.373+00",20
"2021-08-02 00:53:50.373+00",17
"2021-08-02 00:54:00.373+00",16
"2021-08-02 00:54:10.373+00",18
"2021-08-02 00:54:20.373+00",15
"2021-08-02 00:54:30.38+00",18
"2021-08-02 00:54:40.373+00",34
"2021-08-02 00:54:50.373+00",19
"2021-08-02 00:55:00.373+00",15
"2021-08-02 00:55:10.385+00",16
"2021-08-02 00:55:20.373+00",31
"2021-08-02 00:55:30.373+00",18
"2021-08-02 00:55:40.373+00",13
"2021-08-02 00:55:50.378+00",16
"2021-08-02 00:56:00.373+00",39
"2021-08-02 00:56:10.373+00",19
"2021-08-02 00:56:20.373+00",19
"2021-08-02 00:56:30.373+00",17
"2021-08-02 00:56:40.373+00",45
"2021-08-02 00:56:50.373+00",33
"2021-08-02 00:57:00.373+00",1068
"2021-08-02 00:57:10.373+00",517
"2021-08-02 00:57:20.373+00",384
"2021-08-02 00:57:30.373+00",457
"2021-08-02 00:57:40.373+00",1721
"2021-08-02 00:57:50.391+00",355
"2021-08-02 00:58:00.373+00",490
"2021-08-02 00:58:10.373+00",439
"2021-08-02 00:58:20.373+00",2680
"2021-08-02 00:58:30.373+00",1077
"2021-08-02 00:58:40.373+00",393
"2021-08-02 00:58:50.373+00",557
"2021-08-02 00:59:00.373+00",1316
"2021-08-02 00:59:10.373+00",450
"2021-08-02 00:59:20.373+00",467
"2021-08-02 00:59:30.373+00",506
"2021-08-02 00:59:40.373+00",1298
"2021-08-02 00:59:50.373+00",439
"2021-08-02 01:00:00.373+00",443
"2021-08-02 01:00:10.373+00",463
"2021-08-02 01:00:20.373+00",2695
"2021-08-02 01:00:30.373+00",401
"2021-08-02 01:00:40.373+00",514
"2021-08-02 01:00:50.373+00",538
"2021-08-02 01:01:00.373+00",1416
"2021-08-02 01:01:10.373+00",491
"2021-08-02 01:01:20.373+00",484
"2021-08-02 01:01:30.373+00",447
"2021-08-02 01:01:40.373+00",1427
"2021-08-02 01:01:50.373+00",412
"2021-08-02 01:02:00.373+00",22
"2021-08-02 01:02:10.373+00",24
"2021-08-02 01:02:20.373+00",16
"2021-08-02 01:02:30.373+00",16
"2021-08-02 01:02:40.373+00",27
"2021-08-02 01:02:50.373+00",18
"2021-08-02 01:03:00.373+00",18
"2021-08-02 01:03:10.373+00",18
"2021-08-02 01:03:20.373+00",17
"2021-08-02 01:03:30.373+00",19
"2021-08-02 01:03:40.373+00",18
"2021-08-02 01:03:50.373+00",17
"2021-08-02 01:04:00.373+00",18
"2021-08-02 01:04:10.373+00",45
"2021-08-02 01:04:20.373+00",12
"2021-08-02 01:04:30.373+00",16
"2021-08-02 01:04:40.373+00",19
"2021-08-02 01:04:50.373+00",18
"2021-08-02 01:05:00.373+00",19
"2021-08-02 01:05:10.375+00",35
"2021-08-02 01:05:20.373+00",19
"2021-08-02 01:05:30.373+00",21
"2021-08-02 01:05:40.373+00",21
"2021-08-02 01:05:50.375+00",17
"2021-08-02 01:06:00.373+00",19
"2021-08-02 01:06:10.373+00",24
"2021-08-02 01:06:20.373+00",16
"2021-08-02 01:06:30.373+00",33
"2021-08-02 01:06:40.373+00",19
"2021-08-02 01:06:50.373+00",18
"2021-08-02 01:07:00.373+00",16
"2021-08-02 01:07:10.373+00",19
"2021-08-02 01:07:20.373+00",1374
"2021-08-02 01:07:30.373+00",476
"2021-08-02 01:07:40.373+00",1043
"2021-08-02 01:07:50.373+00",464
"2021-08-02 01:08:00.373+00",321
"2021-08-02 01:08:10.373+00",300
"2021-08-02 01:08:20.373+00",2826
"2021-08-02 01:08:30.375+00",239
"2021-08-02 01:08:40.373+00",313
"2021-08-02 01:08:50.373+00",306
"2021-08-02 01:09:00.373+00",2331
"2021-08-02 01:09:10.373+00",320
"2021-08-02 01:09:20.373+00",377
"2021-08-02 01:09:30.373+00",342
"2021-08-02 01:09:40.373+00",358
"2021-08-02 01:09:50.373+00",389
"2021-08-02 01:10:00.373+00",371
"2021-08-02 01:10:10.373+00",356
"2021-08-02 01:10:20.373+00",1533
"2021-08-02 01:10:30.373+00",209
"2021-08-02 01:10:40.377+00",380
"2021-08-02 01:10:50.373+00",356
"2021-08-02 01:11:00.373+00",3366
"2021-08-02 01:11:10.373+00",188
"2021-08-02 01:11:20.373+00",536
"2021-08-02 01:11:30.373+00",585
"2021-08-02 01:11:40.373+00",2395
"2021-08-02 01:11:50.373+00",367
"2021-08-02 01:12:00.376+00",341
"2021-08-02 01:12:10.377+00",338
"2021-08-02 01:12:20.373+00",24
"2021-08-02 01:12:30.379+00",18
"2021-08-02 01:12:40.373+00",30
"2021-08-02 01:12:50.373+00",20
"2021-08-02 01:13:00.373+00",20
"2021-08-02 01:13:10.373+00",21
