"time","scheduling_delay"
"2021-08-02 00:50:00.373+00",0
"2021-08-02 00:50:10.373+00",0
"2021-08-02 00:50:20.373+00",172
"2021-08-02 00:50:30.382+00",0
"2021-08-02 00:50:40.373+00",0
"2021-08-02 00:50:50.373+00",0
"2021-08-02 00:51:00.375+00",1592
"2021-08-02 00:51:10.373+00",0
"2021-08-02 00:51:20.373+00",0
"2021-08-02 00:51:30.373+00",0
"2021-08-02 00:51:40.373+00",2617
"2021-08-02 00:51:50.373+00",146
"2021-08-02 00:52:00.373+00",0
"2021-08-02 00:52:10.373+00",0
"2021-08-02 00:52:20.373+00",181
"2021-08-02 00:52:30.373+00",0
"2021-08-02 00:52:40.373+00",0
"2021-08-02 00:52:50.373+00",0
"2021-08-02 00:53:00.373+00",222
"2021-08-02 00:53:10.373+00",1
"2021-08-02 00:53:20.373+00",0
"2021-08-02 00:53:30.373+00",0
"2021-08-02 00:53:40.373+00",0
"2021-08-02 00:53:50.373+00",0
"2021-08-02 00:54:00.373+00",1
"2021-08-02 00:54:10.373+00",3
"2021-08-02 00:54:20.373+00",0
"2021-08-02 00:54:30.38+00",0
"2021-08-02 00:54:40.373+00",0
"2021-08-02 00:54:50.373+00",0
"2021-08-02 00:55:00.373+00",1
"2021-08-02 00:55:10.385+00",1
"2021-08-02 00:55:20.373+00",0
"2021-08-02 00:55:30.373+00",0
"2021-08-02 00:55:40.373+00",1
"2021-08-02 00:55:50.378+00",0
"2021-08-02 00:56:00.373+00",0
"2021-08-02 00:56:10.373+00",0
"2021-08-02 00:56:20.373+00",0
"2021-08-02 00:56:30.373+00",0
"2021-08-02 00:56:40.373+00",1
"2021-08-02 00:56:50.373+00",0
"2021-08-02 00:57:00.373+00",0
"2021-08-02 00:57:10.373+00",0
"2021-08-02 00:57:20.373+00",1
"2021-08-02 00:57:30.373+00",0
"2021-08-02 00:57:40.373+00",231
"2021-08-02 00:57:50.391+00",0
"2021-08-02 00:58:00.373+00",3
"2021-08-02 00:58:10.373+00",0
"2021-08-02 00:58:20.373+00",3383
"2021-08-02 00:58:30.373+00",1784
"2021-08-02 00:58:40.373+00",0
"2021-08-02 00:58:50.373+00",0
"2021-08-02 00:59:00.373+00",163
"2021-08-02 00:59:10.373+00",0
"2021-08-02 00:59:20.373+00",0
"2021-08-02 00:59:30.373+00",0
"2021-08-02 00:59:40.373+00",184
"2021-08-02 00:59:50.373+00",0
"2021-08-02 01:00:00.373+00",0
"2021-08-02 01:00:10.373+00",0
"2021-08-02 01:00:20.373+00",1560
"2021-08-02 01:00:30.373+00",1
"2021-08-02 01:00:40.373+00",1
"2021-08-02 01:00:50.373+00",1
"2021-08-02 01:01:00.373+00",181
"2021-08-02 01:01:10.373+00",0
"2021-08-02 01:01:20.373+00",0
"2021-08-02 01:01:30.373+00",0
"2021-08-02 01:01:40.373+00",163
"2021-08-02 01:01:50.373+00",0
"2021-08-02 01:02:00.373+00",0
"2021-08-02 01:02:10.373+00",0
"2021-08-02 01:02:20.373+00",0
"2021-08-02 01:02:30.373+00",0
"2021-08-02 01:02:40.373+00",0
"2021-08-02 01:02:50.373+00",0
"2021-08-02 01:03:00.373+00",0
"2021-08-02 01:03:10.373+00",0
"2021-08-02 01:03:20.373+00",0
"2021-08-02 01:03:30.373+00",0
"2021-08-02 01:03:40.373+00",1
"2021-08-02 01:03:50.373+00",0
"2021-08-02 01:04:00.373+00",0
"2021-08-02 01:04:10.373+00",0
"2021-08-02 01:04:20.373+00",4
"2021-08-02 01:04:30.373+00",0
"2021-08-02 01:04:40.373+00",0
"2021-08-02 01:04:50.373+00",0
"2021-08-02 01:05:00.373+00",1
"2021-08-02 01:05:10.375+00",0
"2021-08-02 01:05:20.373+00",0
"2021-08-02 01:05:30.373+00",0
"2021-08-02 01:05:40.373+00",0
"2021-08-02 01:05:50.375+00",0
"2021-08-02 01:06:00.373+00",0
"2021-08-02 01:06:10.373+00",0
"2021-08-02 01:06:20.373+00",0
"2021-08-02 01:06:30.373+00",0
"2021-08-02 01:06:40.373+00",0
"2021-08-02 01:06:50.373+00",0
"2021-08-02 01:07:00.373+00",0
"2021-08-02 01:07:10.373+00",0
"2021-08-02 01:07:20.373+00",1
"2021-08-02 01:07:30.373+00",0
"2021-08-02 01:07:40.373+00",2
"2021-08-02 01:07:50.373+00",0
"2021-08-02 01:08:00.373+00",5
"2021-08-02 01:08:10.373+00",0
"2021-08-02 01:08:20.373+00",1428
"2021-08-02 01:08:30.375+00",0
"2021-08-02 01:08:40.373+00",0
"2021-08-02 01:08:50.373+00",0
"2021-08-02 01:09:00.373+00",105
"2021-08-02 01:09:10.373+00",0
"2021-08-02 01:09:20.373+00",0
"2021-08-02 01:09:30.373+00",0
"2021-08-02 01:09:40.373+00",0
"2021-08-02 01:09:50.373+00",0
"2021-08-02 01:10:00.373+00",0
"2021-08-02 01:10:10.373+00",0
"2021-08-02 01:10:20.373+00",3611
"2021-08-02 01:10:30.373+00",0
"2021-08-02 01:10:40.377+00",0
"2021-08-02 01:10:50.373+00",0
"2021-08-02 01:11:00.373+00",2130
"2021-08-02 01:11:10.373+00",0
"2021-08-02 01:11:20.373+00",0
"2021-08-02 01:11:30.373+00",0
"2021-08-02 01:11:40.373+00",2317
"2021-08-02 01:11:50.373+00",1
"2021-08-02 01:12:00.376+00",1
"2021-08-02 01:12:10.377+00",0
"2021-08-02 01:12:20.373+00",0
"2021-08-02 01:12:30.379+00",0
"2021-08-02 01:12:40.373+00",0
"2021-08-02 01:12:50.373+00",0
"2021-08-02 01:13:00.373+00",0
"2021-08-02 01:13:10.373+00",0
"2021-08-02 01:13:20.373+00",0
"2021-08-02 01:13:30.373+00",0
"2021-08-02 01:13:40.38+00",0
"2021-08-02 01:13:50.373+00",0
"2021-08-02 01:14:00.373+00",0
"2021-08-02 01:14:10.373+00",0
"2021-08-02 01:14:20.373+00",0
"2021-08-02 01:14:30.373+00",2
"2021-08-02 01:14:40.373+00",3
