"time","skipped_stages"
"2021-08-02 00:50:00.373+00",12136
"2021-08-02 00:50:10.373+00",12384
"2021-08-02 00:50:20.373+00",12522
"2021-08-02 00:50:30.382+00",12622
"2021-08-02 00:50:40.373+00",12795
"2021-08-02 00:50:50.373+00",13045
"2021-08-02 00:51:00.375+00",13177
"2021-08-02 00:51:10.373+00",13273
"2021-08-02 00:51:20.373+00",13448
"2021-08-02 00:51:30.373+00",13698
"2021-08-02 00:51:40.373+00",13824
"2021-08-02 00:51:50.373+00",13896
"2021-08-02 00:52:00.373+00",14079
"2021-08-02 00:52:10.373+00",14327
"2021-08-02 00:52:20.373+00",14461
"2021-08-02 00:52:30.373+00",14559
"2021-08-02 00:52:40.373+00",14732
"2021-08-02 00:52:50.373+00",14982
"2021-08-02 00:53:00.373+00",15116
"2021-08-02 00:53:10.373+00",15212
"2021-08-02 00:53:20.373+00",15387
"2021-08-02 00:53:30.373+00",15637
"2021-08-02 00:53:40.373+00",15771
"2021-08-02 00:53:50.373+00",15846
"2021-08-02 00:54:00.373+00",15971
"2021-08-02 00:54:10.373+00",16146
"2021-08-02 00:54:20.373+00",16248
"2021-08-02 00:54:30.38+00",16318
"2021-08-02 00:54:40.373+00",16438
"2021-08-02 00:54:50.373+00",16613
"2021-08-02 00:55:00.373+00",16713
"2021-08-02 00:55:10.385+00",16783
"2021-08-02 00:55:20.373+00",16908
"2021-08-02 00:55:30.373+00",17083
"2021-08-02 00:55:40.373+00",17183
"2021-08-02 00:55:50.378+00",17258
"2021-08-02 00:56:00.373+00",17383
"2021-08-02 00:56:10.373+00",17558
"2021-08-02 00:56:20.373+00",17660
"2021-08-02 00:56:30.373+00",17730
"2021-08-02 00:56:40.373+00",17850
"2021-08-02 00:56:50.373+00",18025
"2021-08-02 00:57:00.373+00",18130
"2021-08-02 00:57:10.373+00",18228
"2021-08-02 00:57:20.373+00",18403
"2021-08-02 00:57:30.373+00",18653
"2021-08-02 00:57:40.373+00",18786
"2021-08-02 00:57:50.391+00",18888
"2021-08-02 00:58:00.373+00",19063
"2021-08-02 00:58:10.373+00",19311
"2021-08-02 00:58:20.373+00",19438
"2021-08-02 00:58:30.373+00",19518
"2021-08-02 00:58:40.373+00",19689
"2021-08-02 00:58:50.373+00",19939
"2021-08-02 00:59:00.373+00",20070
"2021-08-02 00:59:10.373+00",20166
"2021-08-02 00:59:20.373+00",20341
"2021-08-02 00:59:30.373+00",20591
