"time","succeeded_jobs"
"2021-08-02 00:50:00.373+00",1037
"2021-08-02 00:50:10.373+00",1047
"2021-08-02 00:50:20.373+00",1059
"2021-08-02 00:50:30.382+00",1069
"2021-08-02 00:50:40.373+00",1079
"2021-08-02 00:50:50.373+00",1089
"2021-08-02 00:51:00.375+00",1100
"2021-08-02 00:51:10.373+00",1111
"2021-08-02 00:51:20.373+00",1121
"2021-08-02 00:51:30.373+00",1131
"2021-08-02 00:51:40.373+00",1140
"2021-08-02 00:51:50.373+00",1152
"2021-08-02 00:52:00.373+00",1163
"2021-08-02 00:52:10.373+00",1173
"2021-08-02 00:52:20.373+00",1184
"2021-08-02 00:52:30.373+00",1195
"2021-08-02 00:52:40.373+00",1205
"2021-08-02 00:52:50.373+00",1215
"2021-08-02 00:53:00.373+00",1226
"2021-08-02 00:53:10.373+00",1237
"2021-08-02 00:53:20.373+00",1247
"2021-08-02 00:53:30.373+00",1257
"2021-08-02 00:53:40.373+00",1269
"2021-08-02 00:53:50.373+00",1279
"2021-08-02 00:54:00.373+00",1289
"2021-08-02 00:54:10.373+00",1299
"2021-08-02 00:54:20.373+00",1311
"2021-08-02 00:54:30.38+00",1321
"2021-08-02 00:54:40.373+00",1331
"2021-08-02 00:54:50.373+00",1341
"2021-08-02 00:55:00.373+00",1353
"2021-08-02 00:55:10.385+00",1363
"2021-08-02 00:55:20.373+00",1373
"2021-08-02 00:55:30.373+00",1383
"2021-08-02 00:55:40.373+00",1395
"2021-08-02 00:55:50.378+00",1405
"2021-08-02 00:56:00.373+00",1415
"2021-08-02 00:56:10.373+00",1425
"2021-08-02 00:56:20.373+00",1437
"2021-08-02 00:56:30.373+00",1447
"2021-08-02 00:56:40.373+00",1457
"2021-08-02 00:56:50.373+00",1467
"2021-08-02 00:57:00.373+00",1479
"2021-08-02 00:57:10.373+00",1489
"2021-08-02 00:57:20.373+00",1499
"2021-08-02 00:57:30.373+00",1509
"2021-08-02 00:57:40.373+00",1520
"2021-08-02 00:57:50.391+00",1531
"2021-08-02 00:58:00.373+00",1541
"2021-08-02 00:58:10.373+00",1551
"2021-08-02 00:58:20.373+00",1560
"2021-08-02 00:58:30.373+00",1572
"2021-08-02 00:58:40.373+00",1583
"2021-08-02 00:58:50.373+00",1593
"2021-08-02 00:59:00.373+00",1604
"2021-08-02 00:59:10.373+00",1615
"2021-08-02 00:59:20.373+00",1625
"2021-08-02 00:59:30.373+00",1635
"2021-08-02 00:59:40.373+00",1646
"2021-08-02 00:59:50.373+00",1657
