"time","total_received_records"
"2021-08-02 00:50:00.373+00",1048404
"2021-08-02 00:50:10.373+00",1059145
"2021-08-02 00:50:20.373+00",1069834
"2021-08-02 00:50:30.382+00",1080802
"2021-08-02 00:50:40.373+00",1090996
"2021-08-02 00:50:50.373+00",1101631
"2021-08-02 00:51:00.375+00",1112899
"2021-08-02 00:51:10.373+00",1123390
"2021-08-02 00:51:20.373+00",1133356
"2021-08-02 00:51:30.373+00",1144010
"2021-08-02 00:51:40.373+00",1150344
"2021-08-02 00:51:50.373+00",1165578
"2021-08-02 00:52:00.373+00",1175858
"2021-08-02 00:52:10.373+00",1186598
"2021-08-02 00:52:20.373+00",1197262
"2021-08-02 00:52:30.373+00",1207892
"2021-08-02 00:52:40.373+00",1218514
"2021-08-02 00:52:50.373+00",1229143
"2021-08-02 00:53:00.373+00",1239812
"2021-08-02 00:53:10.373+00",1250525
"2021-08-02 00:53:20.373+00",1261124
"2021-08-02 00:53:30.373+00",1271782
"2021-08-02 00:53:40.373+00",1282456
"2021-08-02 00:53:50.373+00",1293109
"2021-08-02 00:54:00.373+00",1303692
"2021-08-02 00:54:10.373+00",1314234
"2021-08-02 00:54:20.373+00",1324811
"2021-08-02 00:54:30.38+00",1335633
"2021-08-02 00:54:40.373+00",1346295
"2021-08-02 00:54:50.373+00",1356816
"2021-08-02 00:55:00.373+00",1367473
"2021-08-02 00:55:10.385+00",1378052
"2021-08-02 00:55:20.373+00",1388672
"2021-08-02 00:55:30.373+00",1399252
"2021-08-02 00:55:40.373+00",1409927
"2021-08-02 00:55:50.378+00",1420500
"2021-08-02 00:56:00.373+00",1431147
"2021-08-02 00:56:10.373+00",1441684
"2021-08-02 00:56:20.373+00",1452412
"2021-08-02 00:56:30.373+00",1462961
"2021-08-02 00:56:40.373+00",1473750
"2021-08-02 00:56:50.373+00",1484278
"2021-08-02 00:57:00.373+00",1494889
"2021-08-02 00:57:10.373+00",1505569
"2021-08-02 00:57:20.373+00",1516186
"2021-08-02 00:57:30.373+00",1526705
"2021-08-02 00:57:40.373+00",1537401
"2021-08-02 00:57:50.391+00",1547844
"2021-08-02 00:58:00.373+00",1558377
"2021-08-02 00:58:10.373+00",1569030
"2021-08-02 00:58:20.373+00",1575471
"2021-08-02 00:58:30.373+00",1590298
"2021-08-02 00:58:40.373+00",1600994
"2021-08-02 00:58:50.373+00",1611670
"2021-08-02 00:59:00.373+00",1622355
"2021-08-02 00:59:10.373+00",1633240
"2021-08-02 00:59:20.373+00",1643784
"2021-08-02 00:59:30.373+00",1654448
"2021-08-02 00:59:40.373+00",1665163
"2021-08-02 00:59:50.373+00",1675867
"2021-08-02 01:00:00.373+00",1686569
"2021-08-02 01:00:10.373+00",1697224
"2021-08-02 01:00:20.373+00",1706564
"2021-08-02 01:00:30.373+00",1718393
"2021-08-02 01:00:40.373+00",1728828
"2021-08-02 01:00:50.373+00",1739457
"2021-08-02 01:01:00.373+00",1750239
"2021-08-02 01:01:10.373+00",1760835
"2021-08-02 01:01:20.373+00",1771537
"2021-08-02 01:01:30.373+00",1782254
"2021-08-02 01:01:40.373+00",1793080
"2021-08-02 01:01:50.373+00",1803653
"2021-08-02 01:02:00.373+00",1814335
"2021-08-02 01:02:10.373+00",1825025
"2021-08-02 01:02:20.373+00",1835699
"2021-08-02 01:02:30.373+00",1846342
"2021-08-02 01:02:40.373+00",1856953
"2021-08-02 01:02:50.373+00",1867570
"2021-08-02 01:03:00.373+00",1878246
"2021-08-02 01:03:10.373+00",1889005
"2021-08-02 01:03:20.373+00",1899728
"2021-08-02 01:03:30.373+00",1910378
"2021-08-02 01:03:40.373+00",1921108
"2021-08-02 01:03:50.373+00",1931783
"2021-08-02 01:04:00.373+00",1942365
"2021-08-02 01:04:10.373+00",1952958
"2021-08-02 01:04:20.373+00",1963563
"2021-08-02 01:04:30.373+00",1974163
"2021-08-02 01:04:40.373+00",1984823
"2021-08-02 01:04:50.373+00",1995562
"2021-08-02 01:05:00.373+00",2006255
"2021-08-02 01:05:10.375+00",2016734
"2021-08-02 01:05:20.373+00",2027373
"2021-08-02 01:05:30.373+00",2037827
"2021-08-02 01:05:40.373+00",2048354
"2021-08-02 01:05:50.375+00",2058890
"2021-08-02 01:06:00.373+00",2069623
"2021-08-02 01:06:10.373+00",2080238
"2021-08-02 01:06:20.373+00",2090886
"2021-08-02 01:06:30.373+00",2101508
"2021-08-02 01:06:40.373+00",2111987
"2021-08-02 01:06:50.373+00",2122763
"2021-08-02 01:07:00.373+00",2133503
"2021-08-02 01:07:10.373+00",2144050
"2021-08-02 01:07:20.373+00",2154730
"2021-08-02 01:07:30.373+00",2165211
"2021-08-02 01:07:40.373+00",2176165
"2021-08-02 01:07:50.373+00",2186429
"2021-08-02 01:08:00.373+00",2197167
