"time","completed_stages"
"2021-08-03 02:10:06.056+00",70
"2021-08-03 02:10:16.056+00",70
"2021-08-03 02:10:26.056+00",70
"2021-08-03 02:10:36.056+00",70
"2021-08-03 02:10:46.056+00",70
"2021-08-03 02:10:56.056+00",70
"2021-08-03 02:11:06.056+00",70
"2021-08-03 02:11:16.056+00",70
"2021-08-03 02:11:26.056+00",70
"2021-08-03 02:11:36.056+00",70
"2021-08-03 02:11:46.056+00",70
"2021-08-03 02:11:56.056+00",70
"2021-08-03 02:12:06.056+00",70
"2021-08-03 02:12:16.056+00",70
"2021-08-03 02:12:26.056+00",70
"2021-08-03 02:12:36.056+00",70
"2021-08-03 02:12:46.056+00",70
"2021-08-03 02:12:56.056+00",70
"2021-08-03 02:13:06.056+00",70
"2021-08-03 02:13:16.056+00",70
"2021-08-03 02:13:26.056+00",70
"2021-08-03 02:13:36.056+00",70
"2021-08-03 02:13:46.056+00",70
"2021-08-03 02:13:56.056+00",70
"2021-08-03 02:14:06.056+00",70
"2021-08-03 02:14:16.056+00",70
"2021-08-03 02:14:26.056+00",70
"2021-08-03 02:14:36.056+00",70
"2021-08-03 02:14:46.056+00",70
"2021-08-03 02:14:56.056+00",70
"2021-08-03 02:15:06.056+00",70
"2021-08-03 02:15:16.056+00",74
"2021-08-03 02:15:26.056+00",85
"2021-08-03 02:15:36.056+00",96
"2021-08-03 02:15:46.056+00",107
"2021-08-03 02:15:56.056+00",118
"2021-08-03 02:16:06.056+00",129
"2021-08-03 02:16:16.056+00",140
"2021-08-03 02:16:26.056+00",151
"2021-08-03 02:16:36.056+00",162
"2021-08-03 02:16:46.056+00",173
"2021-08-03 02:16:56.056+00",184
"2021-08-03 02:17:06.056+00",195
"2021-08-03 02:17:16.056+00",207
"2021-08-03 02:17:26.056+00",218
"2021-08-03 02:17:36.056+00",229
"2021-08-03 02:17:46.056+00",240
"2021-08-03 02:17:56.056+00",251
"2021-08-03 02:18:06.056+00",262
"2021-08-03 02:18:16.059+00",273
"2021-08-03 02:18:26.056+00",284
"2021-08-03 02:18:36.056+00",295
"2021-08-03 02:18:46.056+00",306
"2021-08-03 02:18:56.056+00",317
"2021-08-03 02:19:06.056+00",328
"2021-08-03 02:19:16.056+00",340
"2021-08-03 02:19:26.056+00",351
"2021-08-03 02:19:36.056+00",362
"2021-08-03 02:19:46.056+00",373
"2021-08-03 02:19:56.056+00",384
"2021-08-03 02:20:06.056+00",395
"2021-08-03 02:20:16.056+00",406
"2021-08-03 02:20:26.056+00",406
"2021-08-03 02:20:36.056+00",406
"2021-08-03 02:20:46.056+00",406
"2021-08-03 02:20:56.056+00",406
"2021-08-03 02:21:06.056+00",406
"2021-08-03 02:21:16.056+00",406
"2021-08-03 02:21:26.056+00",406
"2021-08-03 02:21:36.056+00",406
"2021-08-03 02:21:46.056+00",406
"2021-08-03 02:21:56.056+00",406
"2021-08-03 02:22:06.056+00",406
"2021-08-03 02:22:16.056+00",406
"2021-08-03 02:22:26.056+00",406
"2021-08-03 02:22:36.056+00",406
"2021-08-03 02:22:46.056+00",406
"2021-08-03 02:22:56.056+00",406
"2021-08-03 02:23:06.056+00",406
"2021-08-03 02:23:16.056+00",406
"2021-08-03 02:23:26.056+00",406
"2021-08-03 02:23:36.056+00",406
"2021-08-03 02:23:46.056+00",406
"2021-08-03 02:23:56.056+00",406
"2021-08-03 02:24:06.056+00",406
"2021-08-03 02:24:16.056+00",406
"2021-08-03 02:24:26.056+00",406
"2021-08-03 02:24:36.056+00",406
"2021-08-03 02:24:46.056+00",406
"2021-08-03 02:24:56.056+00",406
"2021-08-03 02:25:06.056+00",406
"2021-08-03 02:25:16.056+00",406
"2021-08-03 02:25:26.056+00",406
"2021-08-03 02:25:36.056+00",406
"2021-08-03 02:25:46.056+00",406
"2021-08-03 02:25:56.056+00",406
"2021-08-03 02:26:06.056+00",406
"2021-08-03 02:26:16.065+00",406
"2021-08-03 02:26:26.056+00",406
"2021-08-03 02:26:36.056+00",406
"2021-08-03 02:26:46.056+00",406
"2021-08-03 02:26:56.056+00",406
"2021-08-03 02:27:06.056+00",406
"2021-08-03 02:27:16.056+00",406
"2021-08-03 02:27:26.056+00",406
"2021-08-03 02:27:36.056+00",406
"2021-08-03 02:27:46.056+00",406
"2021-08-03 02:27:56.056+00",406
"2021-08-03 02:28:06.056+00",406
"2021-08-03 02:28:16.056+00",406
"2021-08-03 02:28:26.056+00",406
"2021-08-03 02:28:36.056+00",406
"2021-08-03 02:28:46.056+00",406
"2021-08-03 02:28:56.056+00",406
"2021-08-03 02:29:06.056+00",406
"2021-08-03 02:29:16.056+00",406
"2021-08-03 02:29:26.056+00",406
"2021-08-03 02:29:36.056+00",406
"2021-08-03 02:29:46.056+00",406
"2021-08-03 02:29:56.056+00",406
"2021-08-03 02:30:06.056+00",406
"2021-08-03 02:30:16.056+00",406
"2021-08-03 02:30:26.056+00",406
"2021-08-03 02:30:36.056+00",406
"2021-08-03 02:30:46.056+00",406
"2021-08-03 02:30:56.056+00",406
"2021-08-03 02:31:06.056+00",442
"2021-08-03 02:31:16.056+00",488
"2021-08-03 02:31:26.056+00",534
"2021-08-03 02:31:36.056+00",580
"2021-08-03 02:31:46.056+00",626
"2021-08-03 02:31:56.056+00",672
"2021-08-03 02:32:06.056+00",718
"2021-08-03 02:32:16.056+00",764
"2021-08-03 02:32:26.056+00",809
"2021-08-03 02:32:36.056+00",855
"2021-08-03 02:32:46.056+00",901
"2021-08-03 02:32:56.056+00",947
"2021-08-03 02:33:06.056+00",994
"2021-08-03 02:33:16.056+00",1040
"2021-08-03 02:33:26.056+00",1085
"2021-08-03 02:33:36.056+00",1130
"2021-08-03 02:33:46.056+00",1175
"2021-08-03 02:33:56.056+00",1219
"2021-08-03 02:34:06.056+00",1263
"2021-08-03 02:34:16.056+00",1308
"2021-08-03 02:34:26.056+00",1352
"2021-08-03 02:34:36.056+00",1396
"2021-08-03 02:34:46.056+00",1441
"2021-08-03 02:34:56.056+00",1486
"2021-08-03 02:35:06.056+00",1530
"2021-08-03 02:35:16.056+00",1571
"2021-08-03 02:35:26.056+00",1616
"2021-08-03 02:35:36.056+00",1659
"2021-08-03 02:35:46.056+00",1702
"2021-08-03 02:35:56.056+00",1746
"2021-08-03 02:36:06.056+00",1772
"2021-08-03 02:36:16.056+00",1772
"2021-08-03 02:36:26.056+00",1772
"2021-08-03 02:36:36.056+00",1772
"2021-08-03 02:36:46.056+00",1772
"2021-08-03 02:36:56.056+00",1772
"2021-08-03 02:37:06.056+00",1772
"2021-08-03 02:37:16.056+00",1772
"2021-08-03 02:37:26.056+00",1772
"2021-08-03 02:37:36.056+00",1772
"2021-08-03 02:37:46.056+00",1772
"2021-08-03 02:37:56.056+00",1772
"2021-08-03 02:38:06.056+00",1772
"2021-08-03 02:38:16.056+00",1772
"2021-08-03 02:38:26.056+00",1772
"2021-08-03 02:38:36.056+00",1772
"2021-08-03 02:38:46.056+00",1772
"2021-08-03 02:38:56.056+00",1772
"2021-08-03 02:39:06.056+00",1772
"2021-08-03 02:39:16.056+00",1772
"2021-08-03 02:39:26.056+00",1772
"2021-08-03 02:39:36.056+00",1772
"2021-08-03 02:39:46.056+00",1772
"2021-08-03 02:39:56.056+00",1772
"2021-08-03 02:40:06.056+00",1772
"2021-08-03 02:40:16.056+00",1772
"2021-08-03 02:40:26.056+00",1772
"2021-08-03 02:40:36.056+00",1772
"2021-08-03 02:40:46.056+00",1772
"2021-08-03 02:40:56.056+00",1772
"2021-08-03 02:41:06.056+00",1772
"2021-08-03 02:41:16.056+00",1772
"2021-08-03 02:41:26.056+00",1772
"2021-08-03 02:41:36.056+00",1772
"2021-08-03 02:41:46.056+00",1772
"2021-08-03 02:41:56.056+00",1772
"2021-08-03 02:42:06.056+00",1772
"2021-08-03 02:42:16.056+00",1772
"2021-08-03 02:42:26.056+00",1772
"2021-08-03 02:42:36.056+00",1772
"2021-08-03 02:42:46.056+00",1772
"2021-08-03 02:42:56.056+00",1772
"2021-08-03 02:43:06.056+00",1772
"2021-08-03 02:43:16.056+00",1772
"2021-08-03 02:43:26.056+00",1772
"2021-08-03 02:43:36.056+00",1772
"2021-08-03 02:43:46.056+00",1772
"2021-08-03 02:43:56.056+00",1772
"2021-08-03 02:44:06.056+00",1772
"2021-08-03 02:44:16.056+00",1772
"2021-08-03 02:44:26.062+00",1772
"2021-08-03 02:44:36.056+00",1772
"2021-08-03 02:44:46.056+00",1772
"2021-08-03 02:44:56.056+00",1772
"2021-08-03 02:45:06.056+00",1772
"2021-08-03 02:45:16.056+00",1772
"2021-08-03 02:45:26.056+00",1772
"2021-08-03 02:45:36.056+00",1772
"2021-08-03 02:45:46.056+00",1772
"2021-08-03 02:45:56.056+00",1772
"2021-08-03 02:46:06.056+00",1772
"2021-08-03 02:46:16.056+00",1772
"2021-08-03 02:46:26.056+00",1772
"2021-08-03 02:46:36.056+00",1772
"2021-08-03 02:46:46.056+00",1772
"2021-08-03 02:46:56.056+00",1772
"2021-08-03 02:47:06.056+00",1772
"2021-08-03 02:47:16.056+00",1772
"2021-08-03 02:47:26.056+00",1772
"2021-08-03 02:47:36.056+00",1772
"2021-08-03 02:47:46.056+00",1772
"2021-08-03 02:47:56.056+00",1772
"2021-08-03 02:48:06.056+00",1772
"2021-08-03 02:48:16.056+00",1772
"2021-08-03 02:48:26.056+00",1772
"2021-08-03 02:48:36.056+00",1782
"2021-08-03 02:48:46.056+00",1794
"2021-08-03 02:48:56.056+00",1805
"2021-08-03 02:49:06.056+00",1815
"2021-08-03 02:49:16.056+00",1826
"2021-08-03 02:49:26.066+00",1837
"2021-08-03 02:49:36.056+00",1848
"2021-08-03 02:49:46.056+00",1859
"2021-08-03 02:49:56.056+00",1870
"2021-08-03 02:50:06.056+00",1881
"2021-08-03 02:50:16.056+00",1892
"2021-08-03 02:50:26.056+00",1904
"2021-08-03 02:50:36.056+00",1915
"2021-08-03 02:50:46.056+00",1926
"2021-08-03 02:50:56.056+00",1937
"2021-08-03 02:51:06.056+00",1948
"2021-08-03 02:51:16.056+00",1959
"2021-08-03 02:51:26.056+00",1970
"2021-08-03 02:51:36.056+00",1981
"2021-08-03 02:51:46.056+00",1992
"2021-08-03 02:51:56.056+00",2003
"2021-08-03 02:52:06.056+00",2014
"2021-08-03 02:52:16.056+00",2025
"2021-08-03 02:52:26.056+00",2037
"2021-08-03 02:52:36.056+00",2048
"2021-08-03 02:52:46.056+00",2059
"2021-08-03 02:52:56.06+00",2070
"2021-08-03 02:53:06.072+00",2081
"2021-08-03 02:53:16.056+00",2092
"2021-08-03 02:53:26.056+00",2103
"2021-08-03 02:53:36.056+00",2108
"2021-08-03 02:53:46.056+00",2108
"2021-08-03 02:53:56.056+00",2108
"2021-08-03 02:54:06.056+00",2108
"2021-08-03 02:54:16.056+00",2108
"2021-08-03 02:54:26.056+00",2108
"2021-08-03 02:54:36.056+00",2108
"2021-08-03 02:54:46.056+00",2108
"2021-08-03 02:54:56.056+00",2108
"2021-08-03 02:55:06.056+00",2108
"2021-08-03 02:55:16.056+00",2108
"2021-08-03 02:55:26.056+00",2108
"2021-08-03 02:55:36.056+00",2108
"2021-08-03 02:55:46.056+00",2108
"2021-08-03 02:55:56.056+00",2108
"2021-08-03 02:56:06.056+00",2108
