"time","cpu_usage_seconds_total","pod"
"2021-08-03 02:10:01.543+00",41.397909715,"sketchbench-spark-worker-0"
"2021-08-03 02:10:01.733+00",18.598158386,"sketchbench-spark-worker-3"
"2021-08-03 02:10:03.488+00",42.093708521,"sketchbench-spark-worker-4"
"2021-08-03 02:10:03.635+00",42.466772171,"sketchbench-spark-worker-1"
"2021-08-03 02:10:05.386+00",42.395609995,"sketchbench-spark-worker-2"
"2021-08-03 02:10:11.578+00",41.252785037,"sketchbench-spark-worker-5"
"2021-08-03 02:10:12.768+00",18.648913059,"sketchbench-spark-worker-3"
"2021-08-03 02:10:16.425+00",42.128047968,"sketchbench-spark-worker-4"
"2021-08-03 02:10:16.927+00",42.430706892,"sketchbench-spark-worker-2"
"2021-08-03 02:10:17.405+00",41.436850919,"sketchbench-spark-worker-0"
"2021-08-03 02:10:20.638+00",42.516625695,"sketchbench-spark-worker-1"
"2021-08-03 02:10:25.637+00",41.28685502,"sketchbench-spark-worker-5"
"2021-08-03 02:10:27.148+00",18.677843599,"sketchbench-spark-worker-3"
"2021-08-03 02:10:28.561+00",42.454061226,"sketchbench-spark-worker-2"
"2021-08-03 02:10:31.021+00",42.537716196,"sketchbench-spark-worker-1"
"2021-08-03 02:10:32.91+00",41.472087168,"sketchbench-spark-worker-0"
"2021-08-03 02:10:35.384+00",42.180582745,"sketchbench-spark-worker-4"
"2021-08-03 02:10:39.303+00",41.37051463,"sketchbench-spark-worker-5"
"2021-08-03 02:10:39.575+00",42.492653954,"sketchbench-spark-worker-2"
"2021-08-03 02:10:39.871+00",18.721358754,"sketchbench-spark-worker-3"
"2021-08-03 02:10:46.227+00",42.604422311,"sketchbench-spark-worker-1"
"2021-08-03 02:10:50.129+00",42.241547127,"sketchbench-spark-worker-4"
"2021-08-03 02:10:50.534+00",41.518010642,"sketchbench-spark-worker-0"
"2021-08-03 02:10:54.749+00",41.420375865,"sketchbench-spark-worker-5"
"2021-08-03 02:10:55.24+00",42.559026539,"sketchbench-spark-worker-2"
"2021-08-03 02:10:57.619+00",42.655955367,"sketchbench-spark-worker-1"
"2021-08-03 02:10:58.911+00",18.788490838,"sketchbench-spark-worker-3"
"2021-08-03 02:11:01.037+00",41.538134999,"sketchbench-spark-worker-0"
"2021-08-03 02:11:02.874+00",42.274360072,"sketchbench-spark-worker-4"
"2021-08-03 02:11:06.412+00",42.578272729,"sketchbench-spark-worker-2"
"2021-08-03 02:11:07.923+00",42.684856744,"sketchbench-spark-worker-1"
"2021-08-03 02:11:09.158+00",41.457816508,"sketchbench-spark-worker-5"
"2021-08-03 02:11:14.511+00",18.824535923,"sketchbench-spark-worker-3"
"2021-08-03 02:11:18.897+00",41.569902012,"sketchbench-spark-worker-0"
"2021-08-03 02:11:21.352+00",42.316165749,"sketchbench-spark-worker-4"
