"time","cpu_usage_seconds_total","pod"
"2021-08-03 02:10:07.466+00",111.359074045,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:24.858+00",111.457988238,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:43.11+00",111.595256572,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:56.678+00",111.82752236,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:13.601+00",111.924723624,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:31.758+00",112.043318532,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:45.091+00",112.129772259,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:01.796+00",112.314941221,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:18.682+00",112.394488303,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:34.424+00",112.479930147,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:53.035+00",112.609322666,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:09.989+00",112.682929665,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:29.864+00",112.793924425,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:48.484+00",112.908279855,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:03.425+00",113.000619974,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:20.811+00",113.116849368,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:35.229+00",113.221724342,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:52.577+00",115.863192353,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:09.13+00",118.299981531,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:21.598+00",121.423769857,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:33.695+00",123.303406639,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:52.749+00",126.437949558,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:05.764+00",127.654083981,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:24.95+00",130.773310896,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:37.66+00",132.251586563,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:51.102+00",134.288928331,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:06.795+00",136.161518667,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:19.634+00",137.727742867,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:33.154+00",139.124813042,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:51.107+00",140.917549363,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:09.329+00",143.078580089,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:26.245+00",144.593265594,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:39.87+00",145.827812239,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:53.202+00",147.31801111,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:12.999+00",149.475210999,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:29.385+00",151.860665492,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:43+00",152.707447393,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:53.881+00",153.810053193,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:03.888+00",154.609397993,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:22.078+00",157.691947302,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:41.461+00",157.790957637,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:55.798+00",158.423499827,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:14.298+00",158.550140248,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:32.479+00",158.643429255,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:47.746+00",158.712020214,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:07.025+00",158.809714738,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:20.68+00",158.892776313,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:40.002+00",158.99004611,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:54.869+00",159.082362061,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:10.801+00",159.159584836,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:23.566+00",159.252458722,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:35.125+00",159.306699929,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:50.421+00",159.399542229,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:24:10.212+00",159.498978644,"sketchbench-zeppelin-788ddb985b-qpdkm"
