"time","value_mem_bytes","pod"
"2021-08-03 02:10:01.543+00",982376448,"sketchbench-spark-worker-0"
"2021-08-03 02:10:01.733+00",695463936,"sketchbench-spark-worker-3"
"2021-08-03 02:10:03.488+00",989196288,"sketchbench-spark-worker-4"
"2021-08-03 02:10:03.635+00",987643904,"sketchbench-spark-worker-1"
"2021-08-03 02:10:05.386+00",967569408,"sketchbench-spark-worker-2"
"2021-08-03 02:10:11.578+00",983375872,"sketchbench-spark-worker-5"
"2021-08-03 02:10:12.768+00",699117568,"sketchbench-spark-worker-3"
"2021-08-03 02:10:16.425+00",992542720,"sketchbench-spark-worker-4"
"2021-08-03 02:10:16.927+00",972443648,"sketchbench-spark-worker-2"
"2021-08-03 02:10:17.405+00",982552576,"sketchbench-spark-worker-0"
"2021-08-03 02:10:20.638+00",992755712,"sketchbench-spark-worker-1"
"2021-08-03 02:10:25.637+00",986632192,"sketchbench-spark-worker-5"
"2021-08-03 02:10:27.148+00",702337024,"sketchbench-spark-worker-3"
"2021-08-03 02:10:28.561+00",975790080,"sketchbench-spark-worker-2"
"2021-08-03 02:10:31.021+00",994504704,"sketchbench-spark-worker-1"
"2021-08-03 02:10:32.91+00",982556672,"sketchbench-spark-worker-0"
"2021-08-03 02:10:35.384+00",997617664,"sketchbench-spark-worker-4"
"2021-08-03 02:10:39.303+00",989429760,"sketchbench-spark-worker-5"
"2021-08-03 02:10:39.575+00",977907712,"sketchbench-spark-worker-2"
"2021-08-03 02:10:39.871+00",705597440,"sketchbench-spark-worker-3"
"2021-08-03 02:10:46.227+00",999600128,"sketchbench-spark-worker-1"
"2021-08-03 02:10:50.129+00",999116800,"sketchbench-spark-worker-4"
"2021-08-03 02:10:50.534+00",983846912,"sketchbench-spark-worker-0"
"2021-08-03 02:10:54.749+00",990707712,"sketchbench-spark-worker-5"
"2021-08-03 02:10:55.24+00",979374080,"sketchbench-spark-worker-2"
"2021-08-03 02:10:57.619+00",999661568,"sketchbench-spark-worker-1"
"2021-08-03 02:10:58.911+00",709378048,"sketchbench-spark-worker-3"
"2021-08-03 02:11:01.037+00",983851008,"sketchbench-spark-worker-0"
"2021-08-03 02:11:02.874+00",999440384,"sketchbench-spark-worker-4"
"2021-08-03 02:11:06.412+00",979271680,"sketchbench-spark-worker-2"
"2021-08-03 02:11:07.923+00",1000189952,"sketchbench-spark-worker-1"
"2021-08-03 02:11:09.158+00",990711808,"sketchbench-spark-worker-5"
"2021-08-03 02:11:14.511+00",709423104,"sketchbench-spark-worker-3"
"2021-08-03 02:11:18.897+00",983875584,"sketchbench-spark-worker-0"
"2021-08-03 02:11:21.352+00",999145472,"sketchbench-spark-worker-4"
"2021-08-03 02:11:22.372+00",979308544,"sketchbench-spark-worker-2"
"2021-08-03 02:11:22.447+00",999972864,"sketchbench-spark-worker-1"
"2021-08-03 02:11:26.459+00",990773248,"sketchbench-spark-worker-5"
"2021-08-03 02:11:32.321+00",709427200,"sketchbench-spark-worker-3"
"2021-08-03 02:11:33.499+00",979320832,"sketchbench-spark-worker-2"
"2021-08-03 02:11:35.545+00",983920640,"sketchbench-spark-worker-0"
"2021-08-03 02:11:38.875+00",999428096,"sketchbench-spark-worker-4"
"2021-08-03 02:11:40.751+00",990924800,"sketchbench-spark-worker-5"
"2021-08-03 02:11:42.094+00",999976960,"sketchbench-spark-worker-1"
"2021-08-03 02:11:47.471+00",708165632,"sketchbench-spark-worker-3"
"2021-08-03 02:11:47.61+00",982663168,"sketchbench-spark-worker-0"
"2021-08-03 02:11:50.704+00",978063360,"sketchbench-spark-worker-2"
"2021-08-03 02:11:54.991+00",998621184,"sketchbench-spark-worker-1"
"2021-08-03 02:11:55.179+00",989544448,"sketchbench-spark-worker-5"
"2021-08-03 02:11:57.146+00",997928960,"sketchbench-spark-worker-4"
"2021-08-03 02:11:58.002+00",982667264,"sketchbench-spark-worker-0"
"2021-08-03 02:12:02.301+00",978071552,"sketchbench-spark-worker-2"
"2021-08-03 02:12:04.22+00",708190208,"sketchbench-spark-worker-3"
"2021-08-03 02:12:06.836+00",998756352,"sketchbench-spark-worker-1"
"2021-08-03 02:12:11.881+00",989650944,"sketchbench-spark-worker-5"
"2021-08-03 02:12:12.742+00",978087936,"sketchbench-spark-worker-2"
"2021-08-03 02:12:16.68+00",997965824,"sketchbench-spark-worker-4"
