"time","value_mem_bytes","pod"
"2021-08-03 02:10:07.466+00",1618370560,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:24.858+00",1618440192,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:43.11+00",1618591744,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:10:56.678+00",1626714112,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:13.601+00",1626853376,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:31.758+00",1628340224,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:11:45.091+00",1620713472,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:01.796+00",1620901888,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:18.682+00",1620832256,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:34.424+00",1620942848,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:12:53.035+00",1621102592,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:09.989+00",1621151744,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:29.864+00",1621241856,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:13:48.484+00",1621463040,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:03.425+00",1621544960,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:20.811+00",1621598208,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:35.229+00",1621856256,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:14:52.577+00",1624100864,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:09.13+00",1648451584,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:21.598+00",1653870592,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:33.695+00",1653264384,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:15:52.749+00",1706127360,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:05.764+00",1711370240,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:24.95+00",1757601792,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:37.66+00",1791868928,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:16:51.102+00",1796825088,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:06.795+00",1806319616,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:19.634+00",1835241472,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:33.154+00",1841958912,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:17:51.107+00",1854410752,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:09.329+00",1868316672,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:26.245+00",1897189376,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:39.87+00",1906925568,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:18:53.202+00",1917255680,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:12.999+00",1934786560,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:29.385+00",1946521600,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:43+00",1946882048,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:19:53.881+00",1978580992,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:03.888+00",1985888256,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:22.078+00",1989472256,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:41.461+00",1988710400,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:20:55.798+00",1990193152,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:14.298+00",1969840128,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:32.479+00",1969676288,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:21:47.746+00",1969721344,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:07.025+00",1969799168,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:20.68+00",1969803264,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:40.002+00",1969750016,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:22:54.869+00",1969860608,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:10.801+00",1970036736,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:23.566+00",1969901568,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:35.125+00",1969934336,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:23:50.421+00",1969991680,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:24:10.212+00",1970077696,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:24:22.781+00",1970229248,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:24:37.784+00",1970270208,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:24:53.373+00",1970294784,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:25:06.106+00",1970364416,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:25:18.244+00",1970417664,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:25:37.013+00",1970495488,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:25:50.196+00",1975730176,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:26:05.557+00",1975914496,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:26:22.622+00",1976000512,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:26:32.892+00",1976041472,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:26:45.266+00",1971023872,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:26:55.991+00",1971138560,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:27:15.045+00",1973477376,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:27:32.752+00",1976369152,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:27:50.737+00",1977634816,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:28:06.115+00",1977978880,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:28:23.851+00",1977741312,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:28:38.59+00",1979469824,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:28:54.345+00",1979404288,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:29:10.597+00",1979449344,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:29:24.404+00",1979543552,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:29:34.831+00",1979584512,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:29:46.924+00",1979670528,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:29:57.064+00",1979686912,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:30:13.422+00",1979748352,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:30:32.239+00",1980538880,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:30:50.808+00",1980190720,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:31:04.73+00",2027565056,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:31:14.916+00",2069127168,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:31:33.048+00",2112557056,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:31:43.573+00",2173181952,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:32:00.514+00",2241474560,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:32:14.185+00",2268442624,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:32:25.298+00",2289463296,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:32:39.431+00",2324975616,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:32:56.573+00",1762586624,"sketchbench-zeppelin-788ddb985b-qpdkm"
"2021-08-03 02:33:12.386+00",1790496768,"sketchbench-zeppelin-788ddb985b-qpdkm"
