"time","current_consumer_offset","consumergroup","kafka_partition"
"2021-08-03 02:15:17.394+00",393060,"stream-nexmark-v393774246","4"
"2021-08-03 02:15:17.394+00",391775,"stream-nexmark-v393774246","2"
"2021-08-03 02:15:17.394+00",392557,"stream-nexmark-v393774246","1"
"2021-08-03 02:15:17.394+00",392687,"stream-nexmark-v393774246","0"
"2021-08-03 02:15:17.394+00",392969,"stream-nexmark-v393774246","3"
"2021-08-03 02:15:27.394+00",395295,"stream-nexmark-v393774246","0"
"2021-08-03 02:15:27.394+00",395537,"stream-nexmark-v393774246","3"
"2021-08-03 02:15:27.394+00",395568,"stream-nexmark-v393774246","4"
"2021-08-03 02:15:27.394+00",395176,"stream-nexmark-v393774246","1"
"2021-08-03 02:15:27.394+00",394347,"stream-nexmark-v393774246","2"
"2021-08-03 02:15:37.394+00",396837,"stream-nexmark-v393774246","4"
"2021-08-03 02:15:37.394+00",396441,"stream-nexmark-v393774246","1"
"2021-08-03 02:15:37.394+00",395584,"stream-nexmark-v393774246","2"
"2021-08-03 02:15:37.394+00",396590,"stream-nexmark-v393774246","0"
"2021-08-03 02:15:37.394+00",396816,"stream-nexmark-v393774246","3"
"2021-08-03 02:15:47.394+00",399368,"stream-nexmark-v393774246","4"
"2021-08-03 02:15:47.394+00",399073,"stream-nexmark-v393774246","1"
"2021-08-03 02:15:47.394+00",398225,"stream-nexmark-v393774246","2"
"2021-08-03 02:15:47.394+00",399160,"stream-nexmark-v393774246","0"
"2021-08-03 02:15:47.394+00",399466,"stream-nexmark-v393774246","3"
"2021-08-03 02:15:57.394+00",401967,"stream-nexmark-v393774246","4"
"2021-08-03 02:15:57.394+00",401709,"stream-nexmark-v393774246","1"
"2021-08-03 02:15:57.394+00",401763,"stream-nexmark-v393774246","0"
"2021-08-03 02:15:57.394+00",402019,"stream-nexmark-v393774246","3"
"2021-08-03 02:15:57.394+00",400844,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:07.394+00",403234,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:07.394+00",403009,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:07.394+00",402080,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:07.394+00",403073,"stream-nexmark-v393774246","0"
"2021-08-03 02:16:07.394+00",403323,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:17.394+00",404631,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:17.394+00",405736,"stream-nexmark-v393774246","0"
"2021-08-03 02:16:17.394+00",405899,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:17.394+00",405871,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:17.394+00",405624,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:27.394+00",408466,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:27.394+00",408254,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:27.394+00",407157,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:27.394+00",408398,"stream-nexmark-v393774246","0"
"2021-08-03 02:16:27.394+00",408444,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:37.394+00",409769,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:37.394+00",409584,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:37.394+00",408443,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:37.394+00",409676,"stream-nexmark-v393774246","0"
"2021-08-03 02:16:37.394+00",409731,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:47.394+00",410975,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:47.394+00",412353,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:47.394+00",412309,"stream-nexmark-v393774246","0"
"2021-08-03 02:16:47.394+00",412357,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:47.394+00",412171,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:57.394+00",414978,"stream-nexmark-v393774246","4"
"2021-08-03 02:16:57.394+00",414724,"stream-nexmark-v393774246","1"
"2021-08-03 02:16:57.394+00",415080,"stream-nexmark-v393774246","3"
"2021-08-03 02:16:57.394+00",413516,"stream-nexmark-v393774246","2"
"2021-08-03 02:16:57.394+00",414839,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:07.394+00",416168,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:07.394+00",416041,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:07.394+00",416337,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:07.394+00",416247,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:07.394+00",414788,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:17.394+00",418758,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:17.394+00",418573,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:17.394+00",418881,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:17.394+00",418828,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:17.394+00",417365,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:27.394+00",421141,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:27.394+00",421399,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:27.394+00",421392,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:27.394+00",419876,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:27.394+00",421336,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:37.394+00",422412,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:37.394+00",422638,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:37.394+00",421224,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:37.394+00",422706,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:37.394+00",422713,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:47.394+00",425031,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:47.394+00",425280,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:47.394+00",425225,"stream-nexmark-v393774246","0"
"2021-08-03 02:17:47.394+00",423750,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:47.394+00",425331,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:57.394+00",427648,"stream-nexmark-v393774246","1"
"2021-08-03 02:17:57.394+00",427895,"stream-nexmark-v393774246","3"
"2021-08-03 02:17:57.394+00",427863,"stream-nexmark-v393774246","4"
"2021-08-03 02:17:57.394+00",426353,"stream-nexmark-v393774246","2"
"2021-08-03 02:17:57.394+00",427809,"stream-nexmark-v393774246","0"
"2021-08-03 02:18:07.394+00",428916,"stream-nexmark-v393774246","1"
"2021-08-03 02:18:07.394+00",429218,"stream-nexmark-v393774246","3"
"2021-08-03 02:18:07.394+00",429128,"stream-nexmark-v393774246","4"
"2021-08-03 02:18:07.394+00",427622,"stream-nexmark-v393774246","2"
"2021-08-03 02:18:07.394+00",429161,"stream-nexmark-v393774246","0"
"2021-08-03 02:18:17.394+00",430227,"stream-nexmark-v393774246","2"
"2021-08-03 02:18:17.394+00",431790,"stream-nexmark-v393774246","3"
"2021-08-03 02:18:17.394+00",431448,"stream-nexmark-v393774246","1"
"2021-08-03 02:18:17.394+00",431749,"stream-nexmark-v393774246","0"
"2021-08-03 02:18:17.394+00",431747,"stream-nexmark-v393774246","4"
"2021-08-03 02:18:27.394+00",434377,"stream-nexmark-v393774246","3"
"2021-08-03 02:18:27.394+00",434334,"stream-nexmark-v393774246","0"
"2021-08-03 02:18:27.394+00",432840,"stream-nexmark-v393774246","2"
"2021-08-03 02:18:27.394+00",433966,"stream-nexmark-v393774246","1"
"2021-08-03 02:18:27.394+00",434333,"stream-nexmark-v393774246","4"
"2021-08-03 02:18:37.394+00",435679,"stream-nexmark-v393774246","3"
"2021-08-03 02:18:37.394+00",435650,"stream-nexmark-v393774246","4"
"2021-08-03 02:18:37.394+00",434079,"stream-nexmark-v393774246","2"
"2021-08-03 02:18:37.394+00",435649,"stream-nexmark-v393774246","0"
"2021-08-03 02:18:37.394+00",435256,"stream-nexmark-v393774246","1"
"2021-08-03 02:18:47.394+00",438232,"stream-nexmark-v393774246","3"
