"time","bytesinpersec_oneminuterate"
"2021-08-03 02:10:02.026+00",212407.00318412698
"2021-08-03 02:10:12.026+00",212291.92100160223
"2021-08-03 02:10:22.026+00",212431.5166602061
"2021-08-03 02:10:32.026+00",212233.1096403011
"2021-08-03 02:10:42.026+00",212193.7349489943
"2021-08-03 02:10:52.026+00",211667.61768518283
"2021-08-03 02:11:02.026+00",212061.93678138175
"2021-08-03 02:11:12.026+00",211820.39458975435
"2021-08-03 02:11:22.026+00",212180.07746415047
"2021-08-03 02:11:32.026+00",212318.8479740816
"2021-08-03 02:11:42.031+00",211835.82104428794
"2021-08-03 02:11:52.026+00",211947.4281106764
"2021-08-03 02:12:02.026+00",211889.15743031597
"2021-08-03 02:12:12.026+00",211638.9199869825
"2021-08-03 02:12:22.026+00",211200.6705381346
"2021-08-03 02:12:32.026+00",211093.80681636863
"2021-08-03 02:12:42.026+00",210852.24377918133
"2021-08-03 02:12:52.026+00",210930.7089936576
"2021-08-03 02:13:02.026+00",211264.22405041126
"2021-08-03 02:13:12.03+00",210916.78087127162
"2021-08-03 02:13:22.026+00",211253.70454089378
"2021-08-03 02:13:32.026+00",211163.87484918887
"2021-08-03 02:13:42.026+00",211548.7898164593
"2021-08-03 02:13:52.026+00",212489.45895642848
"2021-08-03 02:14:02.026+00",211908.75886166547
"2021-08-03 02:14:12.026+00",211949.8154757002
"2021-08-03 02:14:22.026+00",211774.4166683521
"2021-08-03 02:14:32.026+00",211990.85581401267
"2021-08-03 02:14:42.026+00",212051.7773438675
"2021-08-03 02:14:52.026+00",212115.50338085985
"2021-08-03 02:15:02.026+00",212067.3240860359
"2021-08-03 02:15:12.026+00",211869.26953478824
"2021-08-03 02:15:22.026+00",211236.84010396042
"2021-08-03 02:15:32.026+00",211262.9353199564
"2021-08-03 02:15:42.026+00",211882.87370072995
"2021-08-03 02:15:52.026+00",211842.96602385584
"2021-08-03 02:16:02.026+00",212068.96225960788
"2021-08-03 02:16:12.026+00",212321.3365411144
"2021-08-03 02:16:22.026+00",212639.52247116072
"2021-08-03 02:16:32.026+00",212733.37586002552
"2021-08-03 02:16:42.026+00",212814.2344460408
"2021-08-03 02:16:52.026+00",212709.13332628214
"2021-08-03 02:17:02.026+00",212750.57180437076
"2021-08-03 02:17:12.026+00",212579.5390615872
"2021-08-03 02:17:22.026+00",212212.48502235746
"2021-08-03 02:17:32.026+00",212087.81365806755
"2021-08-03 02:17:42.026+00",212120.05723646475
"2021-08-03 02:17:52.026+00",212258.5899737556
"2021-08-03 02:18:02.026+00",212486.4827596178
"2021-08-03 02:18:12.026+00",212582.39887548483
"2021-08-03 02:18:22.026+00",212337.51127744876
"2021-08-03 02:18:32.026+00",212487.23443746535
"2021-08-03 02:18:42.031+00",212271.85239630006
"2021-08-03 02:18:52.026+00",212091.02436483518
"2021-08-03 02:19:02.026+00",212126.14089099993
"2021-08-03 02:19:12.026+00",212004.26996030146
"2021-08-03 02:19:22.026+00",212105.51395120312
"2021-08-03 02:19:32.026+00",212262.63590888205
"2021-08-03 02:19:42.026+00",212509.09809124653
"2021-08-03 02:19:52.026+00",211661.2221007484
"2021-08-03 02:20:02.026+00",211827.7543200351
"2021-08-03 02:20:12.026+00",211330.62638798147
"2021-08-03 02:20:22.026+00",211381.43519038233
"2021-08-03 02:20:32.028+00",211150.54305338356
"2021-08-03 02:20:42.026+00",211664.11712895505
"2021-08-03 02:20:52.026+00",211740.42291134803
"2021-08-03 02:21:02.026+00",211674.9218552126
"2021-08-03 02:21:12.026+00",211608.26642297985
"2021-08-03 02:21:22.026+00",211194.21370911098
"2021-08-03 02:21:32.026+00",211404.80958174175
"2021-08-03 02:21:42.026+00",211569.11933320045
"2021-08-03 02:21:52.026+00",211224.8981773362
"2021-08-03 02:22:02.026+00",211219.30076515552
"2021-08-03 02:22:12.026+00",210991.30351105772
"2021-08-03 02:22:22.026+00",211440.2416852449
"2021-08-03 02:22:32.026+00",211388.01979776548
"2021-08-03 02:22:42.026+00",211356.35700212186
"2021-08-03 02:22:52.026+00",211752.60853052963
"2021-08-03 02:23:02.026+00",212522.2591878081
"2021-08-03 02:23:12.026+00",212896.86912492942
"2021-08-03 02:23:22.026+00",212400.05856328201
"2021-08-03 02:23:32.026+00",212179.93482146025
"2021-08-03 02:23:42.026+00",212051.0323723437
"2021-08-03 02:23:52.026+00",211713.29618366234
"2021-08-03 02:24:02.026+00",212136.1121137117
