"time","bytesoutpersec_oneminuterate"
"2021-08-03 02:10:02.026+00",4595.697544499929
"2021-08-03 02:10:12.026+00",3890.1739845438597
"2021-08-03 02:10:22.026+00",3292.96118456128
"2021-08-03 02:10:32.026+00",2787.4314635052724
"2021-08-03 02:10:42.026+00",2359.5097932423123
"2021-08-03 02:10:52.026+00",1997.281919680049
"2021-08-03 02:11:02.026+00",1690.6626444636051
"2021-08-03 02:11:12.026+00",1431.1150314936792
"2021-08-03 02:11:22.026+00",1211.4127203756552
"2021-08-03 02:11:32.026+00",1025.4387290980158
"2021-08-03 02:11:42.031+00",868.0151441765277
"2021-08-03 02:11:52.026+00",734.7589564737223
"2021-08-03 02:12:02.026+00",621.9600288547041
"2021-08-03 02:12:12.026+00",526.4777980379461
"2021-08-03 02:12:22.026+00",445.65383459977295
"2021-08-03 02:12:32.026+00",377.2378266161323
"2021-08-03 02:12:42.026+00",319.3249261680101
"2021-08-03 02:12:52.026+00",270.3027143032652
"2021-08-03 02:13:02.026+00",228.8063078460428
"2021-08-03 02:13:12.03+00",193.68035813137118
"2021-08-03 02:13:22.026+00",163.94688362847498
"2021-08-03 02:13:32.026+00",138.77804084427228
"2021-08-03 02:13:42.026+00",117.4730753907997
"2021-08-03 02:13:52.026+00",99.4388114850093
"2021-08-03 02:14:02.026+00",84.17313666690329
"2021-08-03 02:14:12.026+00",71.2510219152537
"2021-08-03 02:14:22.026+00",60.3126879310429
"2021-08-03 02:14:32.026+00",51.053588112658524
"2021-08-03 02:14:42.026+00",43.21592932745814
"2021-08-03 02:14:52.026+00",36.58149439985765
"2021-08-03 02:15:02.026+00",30.965566478667842
"2021-08-03 02:15:12.026+00",8415.93536795311
"2021-08-03 02:15:22.026+00",39034.51835369116
"2021-08-03 02:15:32.026+00",65122.928472030304
"2021-08-03 02:15:42.026+00",87902.41486229614
"2021-08-03 02:15:52.026+00",106754.64619822205
"2021-08-03 02:16:02.026+00",122720.41411353783
"2021-08-03 02:16:12.026+00",136347.23199748262
"2021-08-03 02:16:22.026+00",148055.57865598696
"2021-08-03 02:16:32.026+00",157759.9026454102
"2021-08-03 02:16:42.026+00",166115.98985547817
"2021-08-03 02:16:52.026+00",172949.43144927395
"2021-08-03 02:17:02.026+00",178731.46874605247
"2021-08-03 02:17:12.026+00",183416.62682058342
"2021-08-03 02:17:22.026+00",187282.22200621487
"2021-08-03 02:17:32.026+00",190853.237716354
"2021-08-03 02:17:42.026+00",193847.54636687832
"2021-08-03 02:17:52.026+00",196413.6458375785
"2021-08-03 02:18:02.026+00",198816.68323200534
"2021-08-03 02:18:12.026+00",200689.934027974
"2021-08-03 02:18:22.026+00",202033.49727047875
"2021-08-03 02:18:32.026+00",203392.64834075628
"2021-08-03 02:18:42.031+00",204445.77094093384
"2021-08-03 02:18:52.026+00",205068.02468609187
"2021-08-03 02:19:02.026+00",206027.63012360246
"2021-08-03 02:19:12.026+00",206554.81770646232
"2021-08-03 02:19:22.026+00",207213.73235655978
"2021-08-03 02:19:32.026+00",207750.99233886006
"2021-08-03 02:19:42.026+00",208417.69852185115
"2021-08-03 02:19:52.026+00",208122.71753058114
"2021-08-03 02:20:02.026+00",208399.25723372155
"2021-08-03 02:20:12.026+00",208115.41226413797
"2021-08-03 02:20:22.026+00",176165.8931496688
"2021-08-03 02:20:32.028+00",149121.20910022728
"2021-08-03 02:20:42.026+00",126228.37829693434
"2021-08-03 02:20:52.026+00",106850.01539093396
"2021-08-03 02:21:02.026+00",90446.58533270644
"2021-08-03 02:21:12.026+00",76561.38156289548
"2021-08-03 02:21:22.026+00",64807.81032536823
"2021-08-03 02:21:32.026+00",54858.627070601455
"2021-08-03 02:21:42.026+00",46436.82526785365
"2021-08-03 02:21:52.026+00",39307.92395117682
"2021-08-03 02:22:02.026+00",33273.43926806124
