"time","requests_per_sec_in"
"2021-08-03 02:10:02.026+00",1077.5331755532827
"2021-08-03 02:10:12.026+00",1076.963882863053
"2021-08-03 02:10:22.026+00",1077.6020311233951
"2021-08-03 02:10:32.026+00",1076.5827717210268
"2021-08-03 02:10:42.026+00",1076.4632501241676
"2021-08-03 02:10:52.026+00",1073.7197072220852
"2021-08-03 02:11:02.026+00",1075.7028477923059
"2021-08-03 02:11:12.026+00",1074.5299536192201
"2021-08-03 02:11:22.026+00",1076.3041782898895
"2021-08-03 02:11:32.026+00",1076.9924956053064
"2021-08-03 02:11:42.031+00",1074.4599213261906
"2021-08-03 02:11:52.026+00",1074.9356589162235
"2021-08-03 02:12:02.026+00",1074.733150265535
"2021-08-03 02:12:12.026+00",1073.4334021445206
"2021-08-03 02:12:22.026+00",1071.185540129243
"2021-08-03 02:12:32.026+00",1070.6466191613922
"2021-08-03 02:12:42.026+00",1069.2353782674807
"2021-08-03 02:12:52.026+00",1069.7602643465452
"2021-08-03 02:13:02.026+00",1071.4141154777058
"2021-08-03 02:13:12.03+00",1069.6099778011019
"2021-08-03 02:13:22.026+00",1071.2837486056462
"2021-08-03 02:13:32.026+00",1070.8346475982264
"2021-08-03 02:13:42.026+00",1072.8122625878796
"2021-08-03 02:13:52.026+00",1077.5067784517491
"2021-08-03 02:14:02.026+00",1074.4174455915888
"2021-08-03 02:14:12.026+00",1074.713484282363
"2021-08-03 02:14:22.026+00",1073.584968306232
"2021-08-03 02:14:32.026+00",1074.835897168817
"2021-08-03 02:14:42.026+00",1075.07408879087
"2021-08-03 02:14:52.026+00",1075.3972674429097
"2021-08-03 02:15:02.026+00",1075.157154260703
"2021-08-03 02:15:12.026+00",1074.101854218217
"2021-08-03 02:15:22.026+00",1070.9614682292934
"2021-08-03 02:15:32.026+00",1071.04868874872
"2021-08-03 02:15:42.026+00",1074.0904564486189
"2021-08-03 02:15:52.026+00",1073.9997839591172
"2021-08-03 02:16:02.026+00",1075.0898412685885
"2021-08-03 02:16:12.026+00",1076.3739399012243
"2021-08-03 02:16:22.026+00",1077.9662110214595
"2021-08-03 02:16:32.026+00",1078.3967477565438
"2021-08-03 02:16:42.026+00",1078.7355821401823
"2021-08-03 02:16:52.026+00",1078.2490809060637
"2021-08-03 02:17:02.026+00",1078.505741361514
"2021-08-03 02:17:12.026+00",1077.5018413409043
"2021-08-03 02:17:22.026+00",1075.612005298453
"2021-08-03 02:17:32.026+00",1075.0753433151526
"2021-08-03 02:17:42.026+00",1075.2179076700593
"2021-08-03 02:17:52.026+00",1075.9053514638697
"2021-08-03 02:18:02.026+00",1076.9682899195586
"2021-08-03 02:18:12.026+00",1077.4873953890599
"2021-08-03 02:18:22.026+00",1076.188891237708
"2021-08-03 02:18:32.026+00",1076.8487895940261
"2021-08-03 02:18:42.031+00",1075.9041809759892
"2021-08-03 02:18:52.026+00",1074.9562541089965
"2021-08-03 02:19:02.026+00",1075.04548264635
"2021-08-03 02:19:12.026+00",1074.424409372509
"2021-08-03 02:19:22.026+00",1074.9548151147885
"2021-08-03 02:19:32.026+00",1075.7286772724283
"2021-08-03 02:19:42.026+00",1076.9664942362901
"2021-08-03 02:19:52.026+00",1072.6648066379626
"2021-08-03 02:20:02.026+00",1073.4800383388867
"2021-08-03 02:20:12.026+00",1070.9423620486175
"2021-08-03 02:20:22.026+00",1071.2505578469666
"2021-08-03 02:20:32.028+00",1070.0868986912674
"2021-08-03 02:20:42.026+00",1072.5855308937826
"2021-08-03 02:20:52.026+00",1073.0291105484553
"2021-08-03 02:21:02.026+00",1072.6690367462356
"2021-08-03 02:21:12.026+00",1072.2471532050436
"2021-08-03 02:21:22.026+00",1070.1801945256325
"2021-08-03 02:21:32.026+00",1071.2514523020407
"2021-08-03 02:21:42.026+00",1072.0648806442132
"2021-08-03 02:21:52.026+00",1070.2267653487033
"2021-08-03 02:22:02.026+00",1070.2611202882601
"2021-08-03 02:22:12.026+00",1069.0657486053512
"2021-08-03 02:22:22.026+00",1071.332822025003
"2021-08-03 02:22:32.026+00",1071.0308954251834
"2021-08-03 02:22:42.026+00",1070.839985979997
"2021-08-03 02:22:52.026+00",1072.9440977115014
"2021-08-03 02:23:02.026+00",1076.7912137557446
"2021-08-03 02:23:12.026+00",1078.7313945321107
"2021-08-03 02:23:22.026+00",1076.2402713984495
"2021-08-03 02:23:32.026+00",1075.0814144823823
"2021-08-03 02:23:42.026+00",1074.4343144810646
"2021-08-03 02:23:52.026+00",1072.5989471475257
"2021-08-03 02:24:02.026+00",1074.702353538591
"2021-08-03 02:24:12.032+00",1072.6468184775952
"2021-08-03 02:24:22.026+00",1071.843244945798
"2021-08-03 02:24:32.026+00",1070.638550854878
"2021-08-03 02:24:42.026+00",1072.6954866966964
"2021-08-03 02:24:52.026+00",1074.9446140850036
"2021-08-03 02:25:02.026+00",1073.870133755081
"2021-08-03 02:25:12.026+00",1071.2840601455387
"2021-08-03 02:25:22.026+00",1072.5690285302246
"2021-08-03 02:25:32.026+00",1070.9855127980204
"2021-08-03 02:25:42.026+00",1071.983057356232
"2021-08-03 02:25:52.026+00",1071.8014186755593
"2021-08-03 02:26:02.026+00",1073.6094934474265
"2021-08-03 02:26:12.026+00",1073.4276320810122
"2021-08-03 02:26:22.026+00",1073.1009395279082
"2021-08-03 02:26:32.026+00",1072.4355701497168
