"time","current_consumer_offset","kafka_partition"
"2021-08-03 02:10:07.394+00",326868,"2"
"2021-08-03 02:10:07.394+00",327400,"4"
"2021-08-03 02:10:07.394+00",327278,"1"
"2021-08-03 02:10:07.394+00",327140,"0"
"2021-08-03 02:10:07.394+00",327504,"3"
"2021-08-03 02:10:17.398+00",329619,"4"
"2021-08-03 02:10:17.398+00",329020,"2"
"2021-08-03 02:10:17.398+00",329712,"3"
"2021-08-03 02:10:17.398+00",329339,"0"
"2021-08-03 02:10:17.398+00",329440,"1"
"2021-08-03 02:10:27.394+00",331455,"0"
"2021-08-03 02:10:27.394+00",331867,"3"
"2021-08-03 02:10:27.394+00",331062,"2"
"2021-08-03 02:10:27.394+00",331754,"4"
"2021-08-03 02:10:27.394+00",331558,"1"
"2021-08-03 02:10:37.394+00",333679,"1"
"2021-08-03 02:10:37.394+00",333885,"4"
"2021-08-03 02:10:37.394+00",333628,"0"
"2021-08-03 02:10:37.394+00",334054,"3"
"2021-08-03 02:10:37.394+00",333225,"2"
"2021-08-03 02:10:47.394+00",336086,"4"
"2021-08-03 02:10:47.394+00",335744,"0"
"2021-08-03 02:10:47.394+00",336147,"3"
"2021-08-03 02:10:47.394+00",335295,"2"
"2021-08-03 02:10:47.394+00",335853,"1"
"2021-08-03 02:10:57.394+00",337876,"0"
"2021-08-03 02:10:57.394+00",338341,"3"
"2021-08-03 02:10:57.394+00",337427,"2"
"2021-08-03 02:10:57.394+00",338288,"4"
"2021-08-03 02:10:57.394+00",337994,"1"
"2021-08-03 02:11:07.397+00",339558,"2"
"2021-08-03 02:11:07.397+00",340435,"3"
"2021-08-03 02:11:07.397+00",340095,"0"
"2021-08-03 02:11:07.397+00",340476,"4"
"2021-08-03 02:11:07.397+00",340102,"1"
"2021-08-03 02:11:17.394+00",342274,"1"
"2021-08-03 02:11:17.394+00",342552,"3"
"2021-08-03 02:11:17.394+00",342647,"4"
"2021-08-03 02:11:17.394+00",342245,"0"
"2021-08-03 02:11:17.394+00",341717,"2"
"2021-08-03 02:11:27.394+00",344833,"4"
"2021-08-03 02:11:27.394+00",343843,"2"
"2021-08-03 02:11:27.394+00",344446,"0"
"2021-08-03 02:11:27.394+00",344702,"3"
"2021-08-03 02:11:27.394+00",344477,"1"
"2021-08-03 02:11:37.394+00",346582,"0"
"2021-08-03 02:11:37.394+00",346864,"3"
"2021-08-03 02:11:37.394+00",346612,"1"
"2021-08-03 02:11:37.394+00",346933,"4"
"2021-08-03 02:11:37.394+00",345938,"2"
"2021-08-03 02:11:47.394+00",348750,"1"
"2021-08-03 02:11:47.394+00",349044,"3"
"2021-08-03 02:11:47.394+00",349105,"4"
"2021-08-03 02:11:47.394+00",348727,"0"
"2021-08-03 02:11:47.394+00",348080,"2"
"2021-08-03 02:11:57.394+00",351266,"4"
"2021-08-03 02:11:57.394+00",350880,"0"
"2021-08-03 02:11:57.394+00",351132,"3"
"2021-08-03 02:11:57.394+00",350237,"2"
"2021-08-03 02:11:57.394+00",350891,"1"
"2021-08-03 02:12:07.394+00",353005,"0"
"2021-08-03 02:12:07.394+00",352416,"2"
"2021-08-03 02:12:07.394+00",353272,"3"
"2021-08-03 02:12:07.394+00",353043,"1"
"2021-08-03 02:12:07.394+00",353398,"4"
"2021-08-03 02:12:17.394+00",355368,"3"
"2021-08-03 02:12:17.394+00",355181,"1"
"2021-08-03 02:12:17.394+00",355087,"0"
"2021-08-03 02:12:17.394+00",354489,"2"
"2021-08-03 02:12:17.394+00",355529,"4"
"2021-08-03 02:12:27.394+00",356627,"2"
"2021-08-03 02:12:27.394+00",357676,"4"
"2021-08-03 02:12:27.394+00",357279,"0"
"2021-08-03 02:12:27.394+00",357483,"3"
"2021-08-03 02:12:27.394+00",357268,"1"
"2021-08-03 02:12:37.394+00",358715,"2"
"2021-08-03 02:12:37.394+00",359424,"1"
"2021-08-03 02:12:37.394+00",359400,"0"
"2021-08-03 02:12:37.394+00",359799,"4"
"2021-08-03 02:12:37.394+00",359629,"3"
"2021-08-03 02:12:47.403+00",361778,"3"
"2021-08-03 02:12:47.403+00",360870,"2"
"2021-08-03 02:12:47.403+00",361548,"0"
"2021-08-03 02:12:47.403+00",361994,"4"
"2021-08-03 02:12:47.403+00",361601,"1"
"2021-08-03 02:12:57.394+00",363946,"3"
"2021-08-03 02:12:57.394+00",363776,"1"
"2021-08-03 02:12:57.394+00",362992,"2"
"2021-08-03 02:12:57.394+00",363700,"0"
"2021-08-03 02:12:57.394+00",364051,"4"
"2021-08-03 02:13:07.394+00",365883,"1"
"2021-08-03 02:13:07.394+00",366142,"4"
"2021-08-03 02:13:07.394+00",365895,"0"
"2021-08-03 02:13:07.394+00",366071,"3"
"2021-08-03 02:13:07.394+00",365104,"2"
"2021-08-03 02:13:17.394+00",368029,"1"
"2021-08-03 02:13:17.394+00",368190,"3"
"2021-08-03 02:13:17.394+00",367274,"2"
"2021-08-03 02:13:17.394+00",368350,"4"
"2021-08-03 02:13:17.394+00",368007,"0"
"2021-08-03 02:13:27.394+00",370343,"3"
"2021-08-03 02:13:27.394+00",370549,"4"
"2021-08-03 02:13:27.394+00",370111,"0"
"2021-08-03 02:13:27.394+00",369402,"2"
"2021-08-03 02:13:27.394+00",370143,"1"
"2021-08-03 02:13:37.394+00",372298,"1"
"2021-08-03 02:13:37.394+00",371558,"2"
"2021-08-03 02:13:37.394+00",372332,"0"
"2021-08-03 02:13:37.394+00",372629,"4"
"2021-08-03 02:13:37.394+00",372552,"3"
"2021-08-03 02:13:47.394+00",374877,"4"
"2021-08-03 02:13:47.394+00",374457,"1"
"2021-08-03 02:13:47.394+00",374787,"3"
"2021-08-03 02:13:47.394+00",373738,"2"
"2021-08-03 02:13:47.394+00",374560,"0"
"2021-08-03 02:13:57.394+00",376592,"1"
"2021-08-03 02:13:57.394+00",375833,"2"
"2021-08-03 02:13:57.394+00",377000,"4"
"2021-08-03 02:13:57.394+00",376904,"3"
"2021-08-03 02:13:57.394+00",376695,"0"
"2021-08-03 02:14:07.394+00",379089,"4"
"2021-08-03 02:14:07.394+00",378847,"0"
"2021-08-03 02:14:07.394+00",379121,"3"
"2021-08-03 02:14:07.394+00",378720,"1"
"2021-08-03 02:14:07.394+00",378000,"2"
"2021-08-03 02:14:17.394+00",381276,"3"
"2021-08-03 02:14:17.394+00",380985,"0"
"2021-08-03 02:14:17.394+00",380135,"2"
"2021-08-03 02:14:17.394+00",380805,"1"
"2021-08-03 02:14:17.394+00",381251,"4"
"2021-08-03 02:14:27.394+00",383441,"3"
"2021-08-03 02:14:27.394+00",383477,"4"
"2021-08-03 02:14:27.394+00",382942,"1"
"2021-08-03 02:14:27.394+00",383186,"0"
"2021-08-03 02:14:27.394+00",382231,"2"
"2021-08-03 02:14:37.394+00",385344,"0"
"2021-08-03 02:14:37.394+00",385606,"4"
"2021-08-03 02:14:37.394+00",385523,"3"
"2021-08-03 02:14:37.394+00",384431,"2"
"2021-08-03 02:14:37.394+00",385090,"1"
"2021-08-03 02:14:47.394+00",386615,"2"
"2021-08-03 02:14:47.394+00",387680,"3"
"2021-08-03 02:14:47.394+00",387458,"0"
"2021-08-03 02:14:47.394+00",387793,"4"
"2021-08-03 02:14:47.394+00",387251,"1"
"2021-08-03 02:14:57.394+00",388718,"2"
"2021-08-03 02:14:57.394+00",389382,"1"
"2021-08-03 02:14:57.394+00",389936,"4"
"2021-08-03 02:14:57.394+00",389632,"0"
"2021-08-03 02:14:57.394+00",389837,"3"
"2021-08-03 02:15:07.394+00",391592,"1"
"2021-08-03 02:15:07.394+00",390821,"2"
"2021-08-03 02:15:07.394+00",391743,"0"
"2021-08-03 02:15:07.394+00",392085,"4"
"2021-08-03 02:15:07.394+00",392001,"3"
"2021-08-03 02:15:17.394+00",394179,"4"
"2021-08-03 02:15:17.394+00",394096,"3"
"2021-08-03 02:15:17.394+00",393730,"1"
"2021-08-03 02:15:17.394+00",392911,"2"
"2021-08-03 02:15:17.394+00",393820,"0"
"2021-08-03 02:15:27.394+00",396025,"0"
"2021-08-03 02:15:27.394+00",396237,"3"
"2021-08-03 02:15:27.394+00",396306,"4"
"2021-08-03 02:15:27.394+00",395899,"1"
"2021-08-03 02:15:27.394+00",395043,"2"
"2021-08-03 02:15:37.394+00",397206,"2"
"2021-08-03 02:15:37.394+00",398462,"3"
"2021-08-03 02:15:37.394+00",398078,"1"
"2021-08-03 02:15:37.394+00",398382,"4"
"2021-08-03 02:15:37.394+00",398190,"0"
"2021-08-03 02:15:47.394+00",400621,"3"
"2021-08-03 02:15:47.394+00",399390,"2"
"2021-08-03 02:15:47.394+00",400230,"1"
"2021-08-03 02:15:47.394+00",400332,"0"
"2021-08-03 02:15:47.394+00",400514,"4"
"2021-08-03 02:15:57.394+00",402446,"1"
"2021-08-03 02:15:57.394+00",402490,"0"
"2021-08-03 02:15:57.394+00",402780,"3"
"2021-08-03 02:15:57.394+00",401558,"2"
"2021-08-03 02:15:57.394+00",402656,"4"
"2021-08-03 02:16:07.394+00",404620,"1"
"2021-08-03 02:16:07.394+00",404864,"4"
"2021-08-03 02:16:07.394+00",404703,"0"
"2021-08-03 02:16:07.394+00",403629,"2"
"2021-08-03 02:16:07.394+00",404937,"3"
"2021-08-03 02:16:17.394+00",406941,"0"
"2021-08-03 02:16:17.394+00",405766,"2"
"2021-08-03 02:16:17.394+00",407050,"3"
"2021-08-03 02:16:17.394+00",407043,"4"
"2021-08-03 02:16:17.394+00",406788,"1"
"2021-08-03 02:16:27.394+00",408998,"1"
"2021-08-03 02:16:27.394+00",407871,"2"
"2021-08-03 02:16:27.394+00",409175,"3"
"2021-08-03 02:16:27.394+00",409231,"4"
"2021-08-03 02:16:27.394+00",409119,"0"
"2021-08-03 02:16:37.394+00",411350,"4"
"2021-08-03 02:16:37.394+00",410024,"2"
"2021-08-03 02:16:37.394+00",411196,"1"
"2021-08-03 02:16:37.394+00",411336,"3"
"2021-08-03 02:16:37.394+00",411325,"0"
"2021-08-03 02:16:47.394+00",413549,"4"
"2021-08-03 02:16:47.394+00",413439,"0"
"2021-08-03 02:16:47.394+00",413563,"3"
"2021-08-03 02:16:47.394+00",413320,"1"
"2021-08-03 02:16:47.394+00",412129,"2"
"2021-08-03 02:16:57.394+00",415699,"4"
"2021-08-03 02:16:57.394+00",415801,"3"
"2021-08-03 02:16:57.394+00",415580,"0"
"2021-08-03 02:16:57.394+00",414229,"2"
"2021-08-03 02:16:57.394+00",415466,"1"
"2021-08-03 02:17:07.394+00",416365,"2"
"2021-08-03 02:17:07.394+00",417627,"1"
"2021-08-03 02:17:07.394+00",417762,"0"
"2021-08-03 02:17:07.394+00",417934,"3"
"2021-08-03 02:17:07.394+00",417852,"4"
"2021-08-03 02:17:17.394+00",419744,"1"
"2021-08-03 02:17:17.394+00",419999,"3"
"2021-08-03 02:17:17.394+00",419995,"4"
"2021-08-03 02:17:17.394+00",419934,"0"
"2021-08-03 02:17:17.394+00",418517,"2"
"2021-08-03 02:17:27.394+00",420641,"2"
"2021-08-03 02:17:27.394+00",422067,"0"
"2021-08-03 02:17:27.394+00",422132,"4"
"2021-08-03 02:17:27.394+00",422159,"3"
"2021-08-03 02:17:27.394+00",421851,"1"
"2021-08-03 02:17:37.394+00",424305,"3"
"2021-08-03 02:17:37.394+00",424006,"1"
"2021-08-03 02:17:37.394+00",422776,"2"
"2021-08-03 02:17:37.394+00",424237,"0"
"2021-08-03 02:17:37.394+00",424283,"4"
"2021-08-03 02:17:47.394+00",426203,"1"
"2021-08-03 02:17:47.394+00",426418,"4"
"2021-08-03 02:17:47.394+00",426403,"0"
"2021-08-03 02:17:47.394+00",424929,"2"
"2021-08-03 02:17:47.394+00",426509,"3"
"2021-08-03 02:17:57.394+00",427075,"2"
"2021-08-03 02:17:57.394+00",428594,"4"
"2021-08-03 02:17:57.394+00",428682,"3"
"2021-08-03 02:17:57.394+00",428362,"1"
"2021-08-03 02:17:57.394+00",428559,"0"
"2021-08-03 02:18:07.394+00",430779,"0"
"2021-08-03 02:18:07.394+00",430808,"3"
"2021-08-03 02:18:07.394+00",430458,"1"
"2021-08-03 02:18:07.394+00",429218,"2"
"2021-08-03 02:18:07.394+00",430765,"4"
"2021-08-03 02:18:17.394+00",431423,"2"
"2021-08-03 02:18:17.394+00",432984,"3"
"2021-08-03 02:18:17.394+00",432598,"1"
"2021-08-03 02:18:17.394+00",432867,"0"
"2021-08-03 02:18:17.394+00",432911,"4"
"2021-08-03 02:18:27.394+00",435125,"3"
"2021-08-03 02:18:27.394+00",435109,"4"
"2021-08-03 02:18:27.394+00",435090,"0"
"2021-08-03 02:18:27.394+00",433573,"2"
"2021-08-03 02:18:27.394+00",434756,"1"
"2021-08-03 02:18:37.394+00",437235,"4"
"2021-08-03 02:18:37.394+00",435674,"2"
"2021-08-03 02:18:37.394+00",437220,"3"
"2021-08-03 02:18:37.394+00",437243,"0"
"2021-08-03 02:18:37.394+00",436893,"1"
"2021-08-03 02:18:47.394+00",439356,"0"
