"time","last_batch_records_per_sec"
"2021-08-03 02:10:06.056+00",1065
"2021-08-03 02:10:16.056+00",1065
"2021-08-03 02:10:26.056+00",1065
"2021-08-03 02:10:36.056+00",1065
"2021-08-03 02:10:46.056+00",1065
"2021-08-03 02:10:56.056+00",1065
"2021-08-03 02:11:06.056+00",nan
"2021-08-03 02:15:16.056+00",1031.5
"2021-08-03 02:15:26.056+00",1074.5
"2021-08-03 02:15:36.056+00",1075
"2021-08-03 02:15:46.056+00",1094.5
"2021-08-03 02:15:56.056+00",1115
"2021-08-03 02:16:06.056+00",1070.5
"2021-08-03 02:16:16.056+00",1065
"2021-08-03 02:16:26.056+00",1081
"2021-08-03 02:16:36.056+00",1071.5
"2021-08-03 02:16:46.056+00",1080.5
"2021-08-03 02:16:56.056+00",1085
"2021-08-03 02:17:06.056+00",1069
"2021-08-03 02:17:16.056+00",1038.5
"2021-08-03 02:17:26.056+00",1055.5
"2021-08-03 02:17:36.056+00",1088
"2021-08-03 02:17:46.056+00",1090.5
"2021-08-03 02:17:56.056+00",1054.5
"2021-08-03 02:18:06.056+00",1062
"2021-08-03 02:18:16.059+00",1065
"2021-08-03 02:18:26.056+00",1054
"2021-08-03 02:18:36.056+00",1058
"2021-08-03 02:18:46.056+00",1074
"2021-08-03 02:18:56.056+00",1064
"2021-08-03 02:19:06.056+00",1098.5
"2021-08-03 02:19:16.056+00",1090.5
"2021-08-03 02:19:26.056+00",1072
"2021-08-03 02:19:36.056+00",1073.5
"2021-08-03 02:19:46.056+00",1064.5
"2021-08-03 02:19:56.056+00",1060
"2021-08-03 02:20:06.056+00",1048
"2021-08-03 02:20:16.056+00",1048
"2021-08-03 02:20:26.056+00",1048
"2021-08-03 02:20:36.056+00",1048
"2021-08-03 02:20:46.056+00",1048
"2021-08-03 02:20:56.056+00",1048
"2021-08-03 02:21:06.056+00",1048
"2021-08-03 02:21:16.056+00",1048
"2021-08-03 02:21:26.056+00",1048
"2021-08-03 02:21:36.056+00",1048
"2021-08-03 02:21:46.056+00",1048
"2021-08-03 02:21:56.056+00",1048
"2021-08-03 02:22:06.056+00",1048
"2021-08-03 02:22:16.056+00",1048
"2021-08-03 02:22:26.056+00",1048
"2021-08-03 02:22:36.056+00",1048
"2021-08-03 02:22:46.056+00",1048
"2021-08-03 02:22:56.056+00",1048
"2021-08-03 02:23:06.056+00",1048
"2021-08-03 02:23:16.056+00",1048
"2021-08-03 02:23:26.056+00",1048
"2021-08-03 02:23:36.056+00",1048
"2021-08-03 02:23:46.056+00",1048
"2021-08-03 02:23:56.056+00",1048
"2021-08-03 02:24:06.056+00",1048
"2021-08-03 02:24:16.056+00",1048
"2021-08-03 02:24:26.056+00",1048
"2021-08-03 02:24:36.056+00",1048
"2021-08-03 02:24:46.056+00",1048
"2021-08-03 02:24:56.056+00",1048
"2021-08-03 02:25:06.056+00",nan
"2021-08-03 02:31:06.056+00",1069.5
"2021-08-03 02:31:16.056+00",1096.5
"2021-08-03 02:31:26.056+00",1073
"2021-08-03 02:31:36.056+00",1046.5
"2021-08-03 02:31:46.056+00",1073
"2021-08-03 02:31:56.056+00",1082.5
"2021-08-03 02:32:06.056+00",1113
"2021-08-03 02:32:16.056+00",1046
"2021-08-03 02:32:26.056+00",1113
"2021-08-03 02:32:36.056+00",1085.5
"2021-08-03 02:32:46.056+00",1107
"2021-08-03 02:32:56.056+00",1061.5
"2021-08-03 02:33:06.056+00",1115.5
"2021-08-03 02:33:16.056+00",1082.5
"2021-08-03 02:33:26.056+00",1081.5
"2021-08-03 02:33:36.056+00",1071.5
"2021-08-03 02:33:46.056+00",1090
"2021-08-03 02:33:56.056+00",1079
"2021-08-03 02:34:06.056+00",1085.5
"2021-08-03 02:34:16.056+00",1077
"2021-08-03 02:34:26.056+00",1085.5
"2021-08-03 02:34:36.056+00",1090
"2021-08-03 02:34:46.056+00",1077.5
"2021-08-03 02:34:56.056+00",1091
"2021-08-03 02:35:06.056+00",1061
"2021-08-03 02:35:16.056+00",1085
"2021-08-03 02:35:26.056+00",1089.5
"2021-08-03 02:35:36.056+00",1087
"2021-08-03 02:35:46.056+00",1058
"2021-08-03 02:35:56.056+00",1098.5
"2021-08-03 02:36:06.056+00",1098.5
"2021-08-03 02:36:16.056+00",1098.5
"2021-08-03 02:36:26.056+00",1098.5
"2021-08-03 02:36:36.056+00",1098.5
"2021-08-03 02:36:46.056+00",1098.5
"2021-08-03 02:36:56.056+00",1098.5
"2021-08-03 02:37:06.056+00",1098.5
"2021-08-03 02:37:16.056+00",1098.5
"2021-08-03 02:37:26.056+00",1098.5
"2021-08-03 02:37:36.056+00",1098.5
"2021-08-03 02:37:46.056+00",1098.5
"2021-08-03 02:37:56.056+00",1098.5
"2021-08-03 02:38:06.056+00",1098.5
"2021-08-03 02:38:16.056+00",1098.5
"2021-08-03 02:38:26.056+00",1098.5
"2021-08-03 02:38:36.056+00",1098.5
"2021-08-03 02:38:46.056+00",1098.5
"2021-08-03 02:38:56.056+00",1098.5
"2021-08-03 02:39:06.056+00",1098.5
"2021-08-03 02:39:16.056+00",1098.5
"2021-08-03 02:39:26.056+00",1098.5
"2021-08-03 02:39:36.056+00",1098.5
"2021-08-03 02:39:46.056+00",1098.5
"2021-08-03 02:39:56.056+00",1098.5
"2021-08-03 02:40:06.056+00",1098.5
"2021-08-03 02:40:16.056+00",1098.5
"2021-08-03 02:40:26.056+00",1098.5
"2021-08-03 02:40:36.056+00",1098.5
"2021-08-03 02:40:46.056+00",1098.5
"2021-08-03 02:40:56.056+00",nan
"2021-08-03 02:48:36.056+00",7567
"2021-08-03 02:48:46.056+00",7401
"2021-08-03 02:48:56.056+00",7586.5
"2021-08-03 02:49:06.056+00",7447
"2021-08-03 02:49:16.056+00",7609
"2021-08-03 02:49:26.066+00",7391.5
"2021-08-03 02:49:36.056+00",7577
"2021-08-03 02:49:46.056+00",7267
"2021-08-03 02:49:56.056+00",7475.5
"2021-08-03 02:50:06.056+00",7458
"2021-08-03 02:50:16.056+00",7493
"2021-08-03 02:50:26.056+00",7287
"2021-08-03 02:50:36.056+00",7484
"2021-08-03 02:50:46.056+00",7535
"2021-08-03 02:50:56.056+00",7683.5
"2021-08-03 02:51:06.056+00",7405
"2021-08-03 02:51:16.056+00",7541.5
"2021-08-03 02:51:26.056+00",7509.5
"2021-08-03 02:51:36.056+00",7589.5
"2021-08-03 02:51:46.056+00",7480.5
"2021-08-03 02:51:56.056+00",7548.5
"2021-08-03 02:52:06.056+00",7505.5
"2021-08-03 02:52:16.056+00",7446.5
"2021-08-03 02:52:26.056+00",7563
"2021-08-03 02:52:36.056+00",7485
"2021-08-03 02:52:46.056+00",7414
"2021-08-03 02:52:56.06+00",7566.5
"2021-08-03 02:53:06.072+00",7347.5
"2021-08-03 02:53:16.056+00",7476
"2021-08-03 02:53:26.056+00",7495
"2021-08-03 02:53:36.056+00",7495
"2021-08-03 02:53:46.056+00",7495
"2021-08-03 02:53:56.056+00",7495
"2021-08-03 02:54:06.056+00",7495
"2021-08-03 02:54:16.056+00",7495
"2021-08-03 02:54:26.056+00",7495
"2021-08-03 02:54:36.056+00",7495
"2021-08-03 02:54:46.056+00",7495
"2021-08-03 02:54:56.056+00",7495
"2021-08-03 02:55:06.056+00",7495
"2021-08-03 02:55:16.056+00",7495
"2021-08-03 02:55:26.056+00",7495
"2021-08-03 02:55:36.056+00",7495
"2021-08-03 02:55:46.056+00",7495
"2021-08-03 02:55:56.056+00",7495
"2021-08-03 02:56:06.056+00",7495
"2021-08-03 02:56:16.056+00",7495
"2021-08-03 02:56:26.056+00",7495
"2021-08-03 02:56:36.056+00",7495
"2021-08-03 02:56:46.056+00",7495
"2021-08-03 02:56:56.056+00",7495
"2021-08-03 02:57:06.056+00",7495
"2021-08-03 02:57:16.056+00",7495
"2021-08-03 02:57:26.056+00",7495
"2021-08-03 02:57:36.056+00",7495
"2021-08-03 02:57:46.056+00",7495
"2021-08-03 02:57:56.056+00",7495
"2021-08-03 02:58:06.056+00",7495
"2021-08-03 02:58:16.056+00",7495
"2021-08-03 02:58:26.056+00",nan
"2021-08-03 03:00:26.056+00",7432
"2021-08-03 03:00:36.056+00",7462.5
"2021-08-03 03:00:46.056+00",7491
"2021-08-03 03:00:56.056+00",7556.5
"2021-08-03 03:01:06.056+00",7464
"2021-08-03 03:01:16.056+00",7541
"2021-08-03 03:01:26.056+00",7378
"2021-08-03 03:01:36.056+00",7422
"2021-08-03 03:01:46.056+00",7467
"2021-08-03 03:01:56.056+00",7587
"2021-08-03 03:02:06.056+00",7482
"2021-08-03 03:02:16.056+00",7592.5
"2021-08-03 03:02:26.056+00",7468
"2021-08-03 03:02:36.056+00",7485
"2021-08-03 03:02:46.056+00",7444
"2021-08-03 03:02:56.056+00",7573
"2021-08-03 03:03:06.056+00",7463
"2021-08-03 03:03:16.056+00",7487.5
"2021-08-03 03:03:26.056+00",7440.5
"2021-08-03 03:03:36.056+00",7512.5
"2021-08-03 03:03:46.056+00",7386.5
"2021-08-03 03:03:56.056+00",7549.5
"2021-08-03 03:04:06.056+00",7463.5
"2021-08-03 03:04:16.056+00",7494.5
"2021-08-03 03:04:26.056+00",7561
"2021-08-03 03:04:36.056+00",7562.5
"2021-08-03 03:04:46.056+00",7528
"2021-08-03 03:04:56.056+00",7604.5
"2021-08-03 03:05:06.056+00",7461.5
"2021-08-03 03:05:16.056+00",7495.5
"2021-08-03 03:05:26.056+00",7495.5
"2021-08-03 03:05:36.056+00",7495.5
"2021-08-03 03:05:46.056+00",7495.5
"2021-08-03 03:05:56.056+00",7495.5
"2021-08-03 03:06:06.056+00",7495.5
"2021-08-03 03:06:16.056+00",7495.5
"2021-08-03 03:06:26.056+00",7495.5
"2021-08-03 03:06:36.056+00",7495.5
"2021-08-03 03:06:46.056+00",7495.5
"2021-08-03 03:06:56.056+00",7495.5
"2021-08-03 03:07:06.056+00",7495.5
"2021-08-03 03:07:16.056+00",7495.5
"2021-08-03 03:07:26.056+00",7495.5
"2021-08-03 03:07:36.056+00",7495.5
"2021-08-03 03:07:46.056+00",7495.5
"2021-08-03 03:07:56.056+00",7495.5
"2021-08-03 03:08:06.056+00",7495.5
"2021-08-03 03:08:16.056+00",7495.5
"2021-08-03 03:08:26.056+00",7495.5
"2021-08-03 03:08:36.056+00",7495.5
"2021-08-03 03:08:46.056+00",7495.5
"2021-08-03 03:08:56.056+00",7495.5
"2021-08-03 03:09:06.056+00",7495.5
"2021-08-03 03:09:16.056+00",7495.5
"2021-08-03 03:09:26.056+00",7495.5
"2021-08-03 03:09:36.056+00",7495.5
"2021-08-03 03:09:46.056+00",7495.5
"2021-08-03 03:09:56.056+00",7495.5
"2021-08-03 03:10:06.056+00",7495.5
"2021-08-03 03:10:16.056+00",nan
"2021-08-03 03:14:46.056+00",14749.5
"2021-08-03 03:14:56.056+00",14630
"2021-08-03 03:15:06.056+00",14697
"2021-08-03 03:15:16.056+00",14796
