"time","mem_used_mb"
"2021-08-03 02:10:06.056+00",9
"2021-08-03 02:10:16.056+00",9
"2021-08-03 02:10:26.056+00",9
"2021-08-03 02:10:36.056+00",9
"2021-08-03 02:10:46.056+00",9
"2021-08-03 02:10:56.056+00",9
"2021-08-03 02:11:06.056+00",9
"2021-08-03 02:11:16.056+00",9
"2021-08-03 02:11:26.056+00",9
"2021-08-03 02:11:36.056+00",9
"2021-08-03 02:11:46.056+00",9
"2021-08-03 02:11:56.056+00",9
"2021-08-03 02:12:06.056+00",9
"2021-08-03 02:12:16.056+00",9
"2021-08-03 02:12:26.056+00",9
"2021-08-03 02:12:36.056+00",9
"2021-08-03 02:12:46.056+00",9
"2021-08-03 02:12:56.056+00",9
"2021-08-03 02:13:06.056+00",9
"2021-08-03 02:13:16.056+00",9
"2021-08-03 02:13:26.056+00",9
"2021-08-03 02:13:36.056+00",9
"2021-08-03 02:13:46.056+00",9
"2021-08-03 02:13:56.056+00",9
"2021-08-03 02:14:06.056+00",9
"2021-08-03 02:14:16.056+00",9
"2021-08-03 02:14:26.056+00",9
"2021-08-03 02:14:36.056+00",9
"2021-08-03 02:14:46.056+00",9
"2021-08-03 02:14:56.056+00",9
"2021-08-03 02:15:06.056+00",9
"2021-08-03 02:15:16.056+00",9
"2021-08-03 02:15:26.056+00",11
"2021-08-03 02:15:36.056+00",14
"2021-08-03 02:15:46.056+00",16
"2021-08-03 02:15:56.056+00",17
"2021-08-03 02:16:06.056+00",19
"2021-08-03 02:16:16.056+00",19
"2021-08-03 02:16:26.056+00",20
"2021-08-03 02:16:36.056+00",22
"2021-08-03 02:16:46.056+00",22
"2021-08-03 02:16:56.056+00",23
"2021-08-03 02:17:06.056+00",24
"2021-08-03 02:17:16.056+00",25
"2021-08-03 02:17:26.056+00",26
"2021-08-03 02:17:36.056+00",27
"2021-08-03 02:17:46.056+00",28
"2021-08-03 02:17:56.056+00",29
"2021-08-03 02:18:06.056+00",30
"2021-08-03 02:18:16.059+00",30
"2021-08-03 02:18:26.056+00",32
"2021-08-03 02:18:36.056+00",32
"2021-08-03 02:18:46.056+00",33
"2021-08-03 02:18:56.056+00",34
"2021-08-03 02:19:06.056+00",35
"2021-08-03 02:19:16.056+00",36
"2021-08-03 02:19:26.056+00",37
"2021-08-03 02:19:36.056+00",37
"2021-08-03 02:19:46.056+00",39
"2021-08-03 02:19:56.056+00",39
"2021-08-03 02:20:06.056+00",40
"2021-08-03 02:20:16.056+00",40
"2021-08-03 02:20:26.056+00",40
"2021-08-03 02:20:36.056+00",40
"2021-08-03 02:20:46.056+00",40
"2021-08-03 02:20:56.056+00",40
"2021-08-03 02:21:06.056+00",40
"2021-08-03 02:21:16.056+00",40
"2021-08-03 02:21:26.056+00",40
"2021-08-03 02:21:36.056+00",40
"2021-08-03 02:21:46.056+00",40
"2021-08-03 02:21:56.056+00",40
"2021-08-03 02:22:06.056+00",40
"2021-08-03 02:22:16.056+00",40
"2021-08-03 02:22:26.056+00",40
"2021-08-03 02:22:36.056+00",40
"2021-08-03 02:22:46.056+00",40
"2021-08-03 02:22:56.056+00",40
"2021-08-03 02:23:06.056+00",40
"2021-08-03 02:23:16.056+00",40
"2021-08-03 02:23:26.056+00",40
"2021-08-03 02:23:36.056+00",40
"2021-08-03 02:23:46.056+00",40
"2021-08-03 02:23:56.056+00",40
"2021-08-03 02:24:06.056+00",40
"2021-08-03 02:24:16.056+00",40
"2021-08-03 02:24:26.056+00",40
"2021-08-03 02:24:36.056+00",40
"2021-08-03 02:24:46.056+00",40
"2021-08-03 02:24:56.056+00",40
"2021-08-03 02:25:06.056+00",40
"2021-08-03 02:25:16.056+00",40
"2021-08-03 02:25:26.056+00",40
"2021-08-03 02:25:36.056+00",40
"2021-08-03 02:25:46.056+00",40
"2021-08-03 02:25:56.056+00",40
"2021-08-03 02:26:06.056+00",40
"2021-08-03 02:26:16.065+00",40
"2021-08-03 02:26:26.056+00",40
"2021-08-03 02:26:36.056+00",40
"2021-08-03 02:26:46.056+00",40
"2021-08-03 02:26:56.056+00",40
"2021-08-03 02:27:06.056+00",40
"2021-08-03 02:27:16.056+00",40
"2021-08-03 02:27:26.056+00",40
"2021-08-03 02:27:36.056+00",40
"2021-08-03 02:27:46.056+00",40
"2021-08-03 02:27:56.056+00",40
"2021-08-03 02:28:06.056+00",40
"2021-08-03 02:28:16.056+00",40
"2021-08-03 02:28:26.056+00",40
"2021-08-03 02:28:36.056+00",40
"2021-08-03 02:28:46.056+00",40
"2021-08-03 02:28:56.056+00",40
"2021-08-03 02:29:06.056+00",40
"2021-08-03 02:29:16.056+00",40
"2021-08-03 02:29:26.056+00",40
"2021-08-03 02:29:36.056+00",40
"2021-08-03 02:29:46.056+00",40
"2021-08-03 02:29:56.056+00",40
"2021-08-03 02:30:06.056+00",40
"2021-08-03 02:30:16.056+00",40
"2021-08-03 02:30:26.056+00",40
"2021-08-03 02:30:36.056+00",40
