"time","shuffle_read_bytes_total","executor"
"2021-08-03 02:10:14.027+00",226768,"5"
"2021-08-03 02:10:14.027+00",302233,"3"
"2021-08-03 02:10:14.027+00",264504,"2"
"2021-08-03 02:10:14.027+00",0,"1"
"2021-08-03 02:10:14.027+00",340310,"0"
"2021-08-03 02:10:14.027+00",229236,"4"
"2021-08-03 02:10:44.027+00",302233,"3"
"2021-08-03 02:10:44.027+00",340310,"0"
"2021-08-03 02:10:44.027+00",226768,"5"
"2021-08-03 02:10:44.027+00",264504,"2"
"2021-08-03 02:10:44.027+00",0,"1"
"2021-08-03 02:10:44.027+00",229236,"4"
"2021-08-03 02:11:14.027+00",226768,"5"
"2021-08-03 02:11:14.027+00",264504,"2"
"2021-08-03 02:11:14.027+00",302233,"3"
"2021-08-03 02:11:14.027+00",340310,"0"
"2021-08-03 02:11:14.027+00",0,"1"
"2021-08-03 02:11:14.027+00",229236,"4"
"2021-08-03 02:11:44.027+00",0,"1"
"2021-08-03 02:11:44.027+00",226768,"5"
"2021-08-03 02:11:44.027+00",302233,"3"
"2021-08-03 02:11:44.027+00",340310,"0"
"2021-08-03 02:11:44.027+00",229236,"4"
"2021-08-03 02:11:44.027+00",264504,"2"
"2021-08-03 02:12:14.027+00",226768,"5"
"2021-08-03 02:12:14.027+00",0,"1"
"2021-08-03 02:12:14.027+00",302233,"3"
"2021-08-03 02:12:14.027+00",340310,"0"
"2021-08-03 02:12:14.027+00",229236,"4"
"2021-08-03 02:12:14.027+00",264504,"2"
"2021-08-03 02:12:44.027+00",226768,"5"
"2021-08-03 02:12:44.027+00",229236,"4"
"2021-08-03 02:12:44.027+00",264504,"2"
"2021-08-03 02:12:44.027+00",0,"1"
"2021-08-03 02:12:44.027+00",302233,"3"
"2021-08-03 02:12:44.027+00",340310,"0"
"2021-08-03 02:13:14.027+00",302233,"3"
"2021-08-03 02:13:14.027+00",226768,"5"
"2021-08-03 02:13:14.027+00",0,"1"
"2021-08-03 02:13:14.027+00",340310,"0"
"2021-08-03 02:13:14.027+00",229236,"4"
"2021-08-03 02:13:14.027+00",264504,"2"
"2021-08-03 02:13:44.032+00",302233,"3"
"2021-08-03 02:13:44.032+00",226768,"5"
"2021-08-03 02:13:44.032+00",0,"1"
