"time","shuffle_write_bytes_total","executor"
"2021-08-03 02:10:14.027+00",290705,"3"
"2021-08-03 02:10:14.027+00",290943,"4"
"2021-08-03 02:10:14.027+00",0,"1"
"2021-08-03 02:10:14.027+00",291352,"0"
"2021-08-03 02:10:14.027+00",289747,"2"
"2021-08-03 02:10:14.027+00",290741,"5"
"2021-08-03 02:10:44.027+00",290943,"4"
"2021-08-03 02:10:44.027+00",0,"1"
"2021-08-03 02:10:44.027+00",291352,"0"
"2021-08-03 02:10:44.027+00",290705,"3"
"2021-08-03 02:10:44.027+00",289747,"2"
"2021-08-03 02:10:44.027+00",290741,"5"
"2021-08-03 02:11:14.027+00",290741,"5"
"2021-08-03 02:11:14.027+00",291352,"0"
"2021-08-03 02:11:14.027+00",290705,"3"
"2021-08-03 02:11:14.027+00",290943,"4"
"2021-08-03 02:11:14.027+00",0,"1"
"2021-08-03 02:11:14.027+00",289747,"2"
"2021-08-03 02:11:44.027+00",290705,"3"
"2021-08-03 02:11:44.027+00",291352,"0"
"2021-08-03 02:11:44.027+00",290943,"4"
"2021-08-03 02:11:44.027+00",289747,"2"
"2021-08-03 02:11:44.027+00",0,"1"
"2021-08-03 02:11:44.027+00",290741,"5"
"2021-08-03 02:12:14.027+00",290943,"4"
"2021-08-03 02:12:14.027+00",289747,"2"
"2021-08-03 02:12:14.027+00",290705,"3"
"2021-08-03 02:12:14.027+00",291352,"0"
"2021-08-03 02:12:14.027+00",0,"1"
"2021-08-03 02:12:14.027+00",290741,"5"
"2021-08-03 02:12:44.027+00",290741,"5"
"2021-08-03 02:12:44.027+00",291352,"0"
"2021-08-03 02:12:44.027+00",290943,"4"
"2021-08-03 02:12:44.027+00",289747,"2"
"2021-08-03 02:12:44.027+00",290705,"3"
"2021-08-03 02:12:44.027+00",0,"1"
"2021-08-03 02:13:14.027+00",290705,"3"
"2021-08-03 02:13:14.027+00",290741,"5"
"2021-08-03 02:13:14.027+00",289747,"2"
"2021-08-03 02:13:14.027+00",290943,"4"
"2021-08-03 02:13:14.027+00",0,"1"
"2021-08-03 02:13:14.027+00",291352,"0"
"2021-08-03 02:13:44.032+00",0,"1"
"2021-08-03 02:13:44.032+00",289747,"2"
"2021-08-03 02:13:44.032+00",290943,"4"
"2021-08-03 02:13:44.032+00",291352,"0"
"2021-08-03 02:13:44.032+00",290741,"5"
"2021-08-03 02:13:44.032+00",290705,"3"
"2021-08-03 02:14:14.027+00",290705,"3"
"2021-08-03 02:14:14.027+00",291352,"0"
"2021-08-03 02:14:14.027+00",290741,"5"
"2021-08-03 02:14:14.027+00",289747,"2"
"2021-08-03 02:14:14.027+00",0,"1"
"2021-08-03 02:14:14.027+00",290943,"4"
"2021-08-03 02:14:44.027+00",0,"1"
"2021-08-03 02:14:44.027+00",290705,"3"
"2021-08-03 02:14:44.027+00",291352,"0"
"2021-08-03 02:14:44.027+00",290943,"4"
"2021-08-03 02:14:44.027+00",289747,"2"
"2021-08-03 02:14:44.027+00",290741,"5"
"2021-08-03 02:15:14.027+00",311379,"5"
"2021-08-03 02:15:14.027+00",310247,"2"
"2021-08-03 02:15:14.027+00",311487,"4"
"2021-08-03 02:15:14.027+00",0,"1"
"2021-08-03 02:15:14.027+00",311003,"3"
"2021-08-03 02:15:14.027+00",311634,"0"
"2021-08-03 02:15:44.027+00",451535,"4"
"2021-08-03 02:15:44.027+00",449111,"5"
"2021-08-03 02:15:44.027+00",450129,"2"
"2021-08-03 02:15:44.027+00",451021,"0"
"2021-08-03 02:15:44.027+00",450539,"3"
"2021-08-03 02:15:44.027+00",0,"1"
"2021-08-03 02:16:14.027+00",591926,"4"
"2021-08-03 02:16:14.027+00",589293,"2"
"2021-08-03 02:16:14.027+00",591318,"3"
"2021-08-03 02:16:14.027+00",0,"1"
"2021-08-03 02:16:14.027+00",588925,"5"
"2021-08-03 02:16:14.027+00",590064,"0"
"2021-08-03 02:16:44.027+00",732329,"4"
"2021-08-03 02:16:44.027+00",728652,"5"
"2021-08-03 02:16:44.027+00",732018,"3"
"2021-08-03 02:16:44.027+00",728088,"0"
"2021-08-03 02:16:44.027+00",728615,"2"
"2021-08-03 02:16:44.027+00",0,"1"
"2021-08-03 02:17:14.027+00",868167,"5"
"2021-08-03 02:17:14.027+00",868587,"2"
"2021-08-03 02:17:14.027+00",871250,"3"
"2021-08-03 02:17:14.027+00",0,"1"
"2021-08-03 02:17:14.027+00",870864,"4"
"2021-08-03 02:17:14.027+00",866580,"0"
"2021-08-03 02:17:44.027+00",1007230,"5"
"2021-08-03 02:17:44.027+00",1010552,"3"
"2021-08-03 02:17:44.027+00",1004955,"0"
"2021-08-03 02:17:44.027+00",1010055,"4"
"2021-08-03 02:17:44.027+00",1007604,"2"
"2021-08-03 02:17:44.027+00",0,"1"
"2021-08-03 02:18:14.027+00",0,"1"
"2021-08-03 02:18:14.027+00",1146306,"5"
"2021-08-03 02:18:14.027+00",1146593,"2"
"2021-08-03 02:18:14.027+00",1148723,"4"
"2021-08-03 02:18:14.027+00",1150345,"3"
"2021-08-03 02:18:14.027+00",1144305,"0"
"2021-08-03 02:18:44.027+00",0,"1"
"2021-08-03 02:18:44.027+00",1289797,"3"
"2021-08-03 02:18:44.027+00",1285897,"5"
"2021-08-03 02:18:44.027+00",1282898,"0"
"2021-08-03 02:18:44.027+00",1287856,"4"
"2021-08-03 02:18:44.027+00",1285510,"2"
"2021-08-03 02:19:14.027+00",1425126,"5"
"2021-08-03 02:19:14.027+00",0,"1"
"2021-08-03 02:19:14.027+00",1427608,"3"
"2021-08-03 02:19:14.027+00",1425216,"2"
"2021-08-03 02:19:14.027+00",1427860,"4"
"2021-08-03 02:19:14.027+00",1420713,"0"
"2021-08-03 02:19:44.027+00",0,"1"
