"time","processing_delay"
"2021-08-03 02:10:06.056+00",189
"2021-08-03 02:10:16.056+00",189
"2021-08-03 02:10:26.056+00",189
"2021-08-03 02:10:36.056+00",189
"2021-08-03 02:10:46.056+00",189
"2021-08-03 02:10:56.056+00",189
"2021-08-03 02:11:06.056+00",nan
"2021-08-03 02:15:16.056+00",153
"2021-08-03 02:15:26.056+00",186
"2021-08-03 02:15:36.056+00",157
"2021-08-03 02:15:46.056+00",153
"2021-08-03 02:15:56.056+00",163
"2021-08-03 02:16:06.056+00",155
"2021-08-03 02:16:16.056+00",149
"2021-08-03 02:16:26.056+00",150
"2021-08-03 02:16:36.056+00",152
"2021-08-03 02:16:46.056+00",155
"2021-08-03 02:16:56.056+00",148
"2021-08-03 02:17:06.056+00",160
"2021-08-03 02:17:16.056+00",175
"2021-08-03 02:17:26.056+00",150
"2021-08-03 02:17:36.056+00",154
"2021-08-03 02:17:46.056+00",151
"2021-08-03 02:17:56.056+00",146
"2021-08-03 02:18:06.056+00",158
"2021-08-03 02:18:16.059+00",150
"2021-08-03 02:18:26.056+00",154
"2021-08-03 02:18:36.056+00",152
"2021-08-03 02:18:46.056+00",149
"2021-08-03 02:18:56.056+00",153
"2021-08-03 02:19:06.056+00",153
"2021-08-03 02:19:16.056+00",157
"2021-08-03 02:19:26.056+00",163
"2021-08-03 02:19:36.056+00",151
"2021-08-03 02:19:46.056+00",153
"2021-08-03 02:19:56.056+00",180
"2021-08-03 02:20:06.056+00",157
"2021-08-03 02:20:16.056+00",157
"2021-08-03 02:20:26.056+00",157
"2021-08-03 02:20:36.056+00",157
"2021-08-03 02:20:46.056+00",157
"2021-08-03 02:20:56.056+00",157
"2021-08-03 02:21:06.056+00",157
"2021-08-03 02:21:16.056+00",157
"2021-08-03 02:21:26.056+00",157
"2021-08-03 02:21:36.056+00",157
"2021-08-03 02:21:46.056+00",157
"2021-08-03 02:21:56.056+00",157
"2021-08-03 02:22:06.056+00",157
"2021-08-03 02:22:16.056+00",157
"2021-08-03 02:22:26.056+00",157
"2021-08-03 02:22:36.056+00",157
"2021-08-03 02:22:46.056+00",157
"2021-08-03 02:22:56.056+00",157
"2021-08-03 02:23:06.056+00",157
"2021-08-03 02:23:16.056+00",157
"2021-08-03 02:23:26.056+00",157
"2021-08-03 02:23:36.056+00",157
"2021-08-03 02:23:46.056+00",157
"2021-08-03 02:23:56.056+00",157
"2021-08-03 02:24:06.056+00",157
"2021-08-03 02:24:16.056+00",157
"2021-08-03 02:24:26.056+00",157
"2021-08-03 02:24:36.056+00",157
"2021-08-03 02:24:46.056+00",157
"2021-08-03 02:24:56.056+00",157
"2021-08-03 02:25:06.056+00",nan
"2021-08-03 02:31:06.056+00",70
"2021-08-03 02:31:16.056+00",67
"2021-08-03 02:31:26.056+00",64
"2021-08-03 02:31:36.056+00",71
"2021-08-03 02:31:46.056+00",62
"2021-08-03 02:31:56.056+00",61
"2021-08-03 02:32:06.056+00",62
"2021-08-03 02:32:16.056+00",65
"2021-08-03 02:32:26.056+00",66
"2021-08-03 02:32:36.056+00",69
"2021-08-03 02:32:46.056+00",76
"2021-08-03 02:32:56.056+00",66
"2021-08-03 02:33:06.056+00",64
"2021-08-03 02:33:16.056+00",71
"2021-08-03 02:33:26.056+00",64
"2021-08-03 02:33:36.056+00",78
"2021-08-03 02:33:46.056+00",66
"2021-08-03 02:33:56.056+00",64
"2021-08-03 02:34:06.056+00",70
"2021-08-03 02:34:16.056+00",84
"2021-08-03 02:34:26.056+00",93
"2021-08-03 02:34:36.056+00",89
"2021-08-03 02:34:46.056+00",86
"2021-08-03 02:34:56.056+00",77
"2021-08-03 02:35:06.056+00",74
"2021-08-03 02:35:16.056+00",89
"2021-08-03 02:35:26.056+00",72
"2021-08-03 02:35:36.056+00",79
"2021-08-03 02:35:46.056+00",71
"2021-08-03 02:35:56.056+00",80
"2021-08-03 02:36:06.056+00",80
"2021-08-03 02:36:16.056+00",80
"2021-08-03 02:36:26.056+00",80
"2021-08-03 02:36:36.056+00",80
"2021-08-03 02:36:46.056+00",80
"2021-08-03 02:36:56.056+00",80
"2021-08-03 02:37:06.056+00",80
"2021-08-03 02:37:16.056+00",80
"2021-08-03 02:37:26.056+00",80
"2021-08-03 02:37:36.056+00",80
"2021-08-03 02:37:46.056+00",80
"2021-08-03 02:37:56.056+00",80
"2021-08-03 02:38:06.056+00",80
"2021-08-03 02:38:16.056+00",80
"2021-08-03 02:38:26.056+00",80
"2021-08-03 02:38:36.056+00",80
"2021-08-03 02:38:46.056+00",80
"2021-08-03 02:38:56.056+00",80
"2021-08-03 02:39:06.056+00",80
"2021-08-03 02:39:16.056+00",80
"2021-08-03 02:39:26.056+00",80
"2021-08-03 02:39:36.056+00",80
"2021-08-03 02:39:46.056+00",80
"2021-08-03 02:39:56.056+00",80
"2021-08-03 02:40:06.056+00",80
"2021-08-03 02:40:16.056+00",80
"2021-08-03 02:40:26.056+00",80
"2021-08-03 02:40:36.056+00",80
"2021-08-03 02:40:46.056+00",80
"2021-08-03 02:40:56.056+00",nan
"2021-08-03 02:48:36.056+00",754
"2021-08-03 02:48:46.056+00",1032
"2021-08-03 02:48:56.056+00",1079
"2021-08-03 02:49:06.056+00",788
"2021-08-03 02:49:16.056+00",775
"2021-08-03 02:49:26.066+00",776
"2021-08-03 02:49:36.056+00",782
"2021-08-03 02:49:46.056+00",815
"2021-08-03 02:49:56.056+00",786
"2021-08-03 02:50:06.056+00",791
"2021-08-03 02:50:16.056+00",767
"2021-08-03 02:50:26.056+00",741
"2021-08-03 02:50:36.056+00",766
"2021-08-03 02:50:46.056+00",791
"2021-08-03 02:50:56.056+00",801
"2021-08-03 02:51:06.056+00",786
"2021-08-03 02:51:16.056+00",781
"2021-08-03 02:51:26.056+00",782
"2021-08-03 02:51:36.056+00",781
"2021-08-03 02:51:46.056+00",790
"2021-08-03 02:51:56.056+00",787
"2021-08-03 02:52:06.056+00",800
"2021-08-03 02:52:16.056+00",793
"2021-08-03 02:52:26.056+00",804
"2021-08-03 02:52:36.056+00",776
"2021-08-03 02:52:46.056+00",792
"2021-08-03 02:52:56.06+00",796
"2021-08-03 02:53:06.072+00",786
"2021-08-03 02:53:16.056+00",788
"2021-08-03 02:53:26.056+00",788
"2021-08-03 02:53:36.056+00",788
"2021-08-03 02:53:46.056+00",788
"2021-08-03 02:53:56.056+00",788
"2021-08-03 02:54:06.056+00",788
"2021-08-03 02:54:16.056+00",788
"2021-08-03 02:54:26.056+00",788
"2021-08-03 02:54:36.056+00",788
"2021-08-03 02:54:46.056+00",788
"2021-08-03 02:54:56.056+00",788
