"time","scheduling_delay"
"2021-08-03 02:10:06.056+00",0
"2021-08-03 02:10:16.056+00",0
"2021-08-03 02:10:26.056+00",0
"2021-08-03 02:10:36.056+00",0
"2021-08-03 02:10:46.056+00",0
"2021-08-03 02:10:56.056+00",0
"2021-08-03 02:11:06.056+00",nan
"2021-08-03 02:15:16.056+00",0
"2021-08-03 02:15:26.056+00",0
"2021-08-03 02:15:36.056+00",1
"2021-08-03 02:15:46.056+00",1
"2021-08-03 02:15:56.056+00",1
"2021-08-03 02:16:06.056+00",1
"2021-08-03 02:16:16.056+00",0
"2021-08-03 02:16:26.056+00",1
"2021-08-03 02:16:36.056+00",0
"2021-08-03 02:16:46.056+00",0
"2021-08-03 02:16:56.056+00",0
"2021-08-03 02:17:06.056+00",0
"2021-08-03 02:17:16.056+00",0
"2021-08-03 02:17:26.056+00",0
"2021-08-03 02:17:36.056+00",0
"2021-08-03 02:17:46.056+00",0
"2021-08-03 02:17:56.056+00",1
"2021-08-03 02:18:06.056+00",0
"2021-08-03 02:18:16.059+00",0
"2021-08-03 02:18:26.056+00",0
"2021-08-03 02:18:36.056+00",0
"2021-08-03 02:18:46.056+00",0
"2021-08-03 02:18:56.056+00",0
"2021-08-03 02:19:06.056+00",0
"2021-08-03 02:19:16.056+00",0
"2021-08-03 02:19:26.056+00",0
"2021-08-03 02:19:36.056+00",1
"2021-08-03 02:19:46.056+00",1
"2021-08-03 02:19:56.056+00",1
"2021-08-03 02:20:06.056+00",0
"2021-08-03 02:20:16.056+00",0
"2021-08-03 02:20:26.056+00",0
"2021-08-03 02:20:36.056+00",0
"2021-08-03 02:20:46.056+00",0
"2021-08-03 02:20:56.056+00",0
"2021-08-03 02:21:06.056+00",0
"2021-08-03 02:21:16.056+00",0
"2021-08-03 02:21:26.056+00",0
"2021-08-03 02:21:36.056+00",0
"2021-08-03 02:21:46.056+00",0
"2021-08-03 02:21:56.056+00",0
"2021-08-03 02:22:06.056+00",0
"2021-08-03 02:22:16.056+00",0
"2021-08-03 02:22:26.056+00",0
"2021-08-03 02:22:36.056+00",0
"2021-08-03 02:22:46.056+00",0
"2021-08-03 02:22:56.056+00",0
"2021-08-03 02:23:06.056+00",0
"2021-08-03 02:23:16.056+00",0
"2021-08-03 02:23:26.056+00",0
"2021-08-03 02:23:36.056+00",0
"2021-08-03 02:23:46.056+00",0
"2021-08-03 02:23:56.056+00",0
"2021-08-03 02:24:06.056+00",0
"2021-08-03 02:24:16.056+00",0
"2021-08-03 02:24:26.056+00",0
"2021-08-03 02:24:36.056+00",0
"2021-08-03 02:24:46.056+00",0
"2021-08-03 02:24:56.056+00",0
"2021-08-03 02:25:06.056+00",nan
"2021-08-03 02:31:06.056+00",0
"2021-08-03 02:31:16.056+00",0
"2021-08-03 02:31:26.056+00",0
"2021-08-03 02:31:36.056+00",0
"2021-08-03 02:31:46.056+00",0
"2021-08-03 02:31:56.056+00",0
"2021-08-03 02:32:06.056+00",1
"2021-08-03 02:32:16.056+00",0
"2021-08-03 02:32:26.056+00",0
