"time","total_received_records"
"2021-08-03 02:10:06.056+00",65431
"2021-08-03 02:10:16.056+00",65431
"2021-08-03 02:10:26.056+00",65431
"2021-08-03 02:10:36.056+00",65431
"2021-08-03 02:10:46.056+00",65431
"2021-08-03 02:10:56.056+00",65431
"2021-08-03 02:11:06.056+00",nan
"2021-08-03 02:15:16.056+00",2627
"2021-08-03 02:15:26.056+00",13220
"2021-08-03 02:15:36.056+00",23942
"2021-08-03 02:15:46.056+00",34854
"2021-08-03 02:15:56.056+00",45622
"2021-08-03 02:16:06.056+00",56393
"2021-08-03 02:16:16.056+00",67214
"2021-08-03 02:16:26.056+00",78080
"2021-08-03 02:16:36.056+00",88877
"2021-08-03 02:16:46.056+00",99716
"2021-08-03 02:16:56.056+00",110489
"2021-08-03 02:17:06.056+00",121255
"2021-08-03 02:17:16.056+00",131941
"2021-08-03 02:17:26.056+00",142607
"2021-08-03 02:17:36.056+00",153367
"2021-08-03 02:17:46.056+00",164109
"2021-08-03 02:17:56.056+00",174884
"2021-08-03 02:18:06.056+00",185719
"2021-08-03 02:18:16.059+00",196495
"2021-08-03 02:18:26.056+00",207215
"2021-08-03 02:18:36.056+00",217987
"2021-08-03 02:18:46.056+00",228729
"2021-08-03 02:18:56.056+00",239400
"2021-08-03 02:19:06.056+00",250194
"2021-08-03 02:19:16.056+00",260902
"2021-08-03 02:19:26.056+00",271676
"2021-08-03 02:19:36.056+00",282447
"2021-08-03 02:19:46.056+00",293284
"2021-08-03 02:19:56.056+00",303807
"2021-08-03 02:20:06.056+00",314560
"2021-08-03 02:20:16.056+00",314560
"2021-08-03 02:20:26.056+00",314560
"2021-08-03 02:20:36.056+00",314560
"2021-08-03 02:20:46.056+00",314560
"2021-08-03 02:20:56.056+00",314560
"2021-08-03 02:21:06.056+00",314560
"2021-08-03 02:21:16.056+00",314560
"2021-08-03 02:21:26.056+00",314560
"2021-08-03 02:21:36.056+00",314560
"2021-08-03 02:21:46.056+00",314560
"2021-08-03 02:21:56.056+00",314560
"2021-08-03 02:22:06.056+00",314560
"2021-08-03 02:22:16.056+00",314560
"2021-08-03 02:22:26.056+00",314560
"2021-08-03 02:22:36.056+00",314560
"2021-08-03 02:22:46.056+00",314560
"2021-08-03 02:22:56.056+00",314560
"2021-08-03 02:23:06.056+00",314560
"2021-08-03 02:23:16.056+00",314560
"2021-08-03 02:23:26.056+00",314560
"2021-08-03 02:23:36.056+00",314560
"2021-08-03 02:23:46.056+00",314560
"2021-08-03 02:23:56.056+00",314560
"2021-08-03 02:24:06.056+00",314560
"2021-08-03 02:24:16.056+00",314560
"2021-08-03 02:24:26.056+00",314560
"2021-08-03 02:24:36.056+00",314560
"2021-08-03 02:24:46.056+00",314560
"2021-08-03 02:24:56.056+00",314560
"2021-08-03 02:25:06.056+00",nan
"2021-08-03 02:31:06.056+00",6920
"2021-08-03 02:31:16.056+00",17654
"2021-08-03 02:31:26.056+00",28478
"2021-08-03 02:31:36.056+00",39167
"2021-08-03 02:31:46.056+00",49828
"2021-08-03 02:31:56.056+00",60613
"2021-08-03 02:32:06.056+00",71382
"2021-08-03 02:32:16.056+00",81893
"2021-08-03 02:32:26.056+00",92756
"2021-08-03 02:32:36.056+00",103541
"2021-08-03 02:32:46.056+00",114165
"2021-08-03 02:32:56.056+00",124865
"2021-08-03 02:33:06.056+00",135608
"2021-08-03 02:33:16.056+00",146360
"2021-08-03 02:33:26.056+00",157124
"2021-08-03 02:33:36.056+00",167838
"2021-08-03 02:33:46.056+00",178616
"2021-08-03 02:33:56.056+00",189371
"2021-08-03 02:34:06.056+00",200086
"2021-08-03 02:34:16.056+00",210861
"2021-08-03 02:34:26.056+00",221622
"2021-08-03 02:34:36.056+00",232477
"2021-08-03 02:34:46.056+00",243076
"2021-08-03 02:34:56.056+00",253793
"2021-08-03 02:35:06.056+00",264442
"2021-08-03 02:35:16.056+00",275190
"2021-08-03 02:35:26.056+00",285953
"2021-08-03 02:35:36.056+00",296652
"2021-08-03 02:35:46.056+00",307325
"2021-08-03 02:35:56.056+00",318238
"2021-08-03 02:36:06.056+00",318238
"2021-08-03 02:36:16.056+00",318238
"2021-08-03 02:36:26.056+00",318238
"2021-08-03 02:36:36.056+00",318238
"2021-08-03 02:36:46.056+00",318238
"2021-08-03 02:36:56.056+00",318238
"2021-08-03 02:37:06.056+00",318238
"2021-08-03 02:37:16.056+00",318238
"2021-08-03 02:37:26.056+00",318238
"2021-08-03 02:37:36.056+00",318238
"2021-08-03 02:37:46.056+00",318238
"2021-08-03 02:37:56.056+00",318238
"2021-08-03 02:38:06.056+00",318238
"2021-08-03 02:38:16.056+00",318238
"2021-08-03 02:38:26.056+00",318238
"2021-08-03 02:38:36.056+00",318238
"2021-08-03 02:38:46.056+00",318238
"2021-08-03 02:38:56.056+00",318238
"2021-08-03 02:39:06.056+00",318238
"2021-08-03 02:39:16.056+00",318238
"2021-08-03 02:39:26.056+00",318238
"2021-08-03 02:39:36.056+00",318238
"2021-08-03 02:39:46.056+00",318238
"2021-08-03 02:39:56.056+00",318238
"2021-08-03 02:40:06.056+00",318238
"2021-08-03 02:40:16.056+00",318238
"2021-08-03 02:40:26.056+00",318238
"2021-08-03 02:40:36.056+00",318238
"2021-08-03 02:40:46.056+00",318238
"2021-08-03 02:40:56.056+00",nan
"2021-08-03 02:48:36.056+00",61907
"2021-08-03 02:48:46.056+00",136621
"2021-08-03 02:48:56.056+00",211978
"2021-08-03 02:49:06.056+00",287411
"2021-08-03 02:49:16.056+00",363001
"2021-08-03 02:49:26.066+00",438502
"2021-08-03 02:49:36.056+00",514054
"2021-08-03 02:49:46.056+00",588779
"2021-08-03 02:49:56.056+00",664156
"2021-08-03 02:50:06.056+00",739198
"2021-08-03 02:50:16.056+00",814239
"2021-08-03 02:50:26.056+00",888109
"2021-08-03 02:50:36.056+00",963052
"2021-08-03 02:50:46.056+00",1038230
"2021-08-03 02:50:56.056+00",1114037
"2021-08-03 02:51:06.056+00",1189301
"2021-08-03 02:51:16.056+00",1264273
"2021-08-03 02:51:26.056+00",1339354
"2021-08-03 02:51:36.056+00",1414400
"2021-08-03 02:51:46.056+00",1489729
"2021-08-03 02:51:56.056+00",1565186
"2021-08-03 02:52:06.056+00",1640624
"2021-08-03 02:52:16.056+00",1715344
"2021-08-03 02:52:26.056+00",1790601
"2021-08-03 02:52:36.056+00",1865544
"2021-08-03 02:52:46.056+00",1940293
"2021-08-03 02:52:56.06+00",2015569
"2021-08-03 02:53:06.072+00",2090517
"2021-08-03 02:53:16.056+00",2165466
"2021-08-03 02:53:26.056+00",2240210
"2021-08-03 02:53:36.056+00",2240210
"2021-08-03 02:53:46.056+00",2240210
"2021-08-03 02:53:56.056+00",2240210
"2021-08-03 02:54:06.056+00",2240210
"2021-08-03 02:54:16.056+00",2240210
"2021-08-03 02:54:26.056+00",2240210
"2021-08-03 02:54:36.056+00",2240210
"2021-08-03 02:54:46.056+00",2240210
"2021-08-03 02:54:56.056+00",2240210
"2021-08-03 02:55:06.056+00",2240210
"2021-08-03 02:55:16.056+00",2240210
"2021-08-03 02:55:26.056+00",2240210
"2021-08-03 02:55:36.056+00",2240210
"2021-08-03 02:55:46.056+00",2240210
"2021-08-03 02:55:56.056+00",2240210
"2021-08-03 02:56:06.056+00",2240210
"2021-08-03 02:56:16.056+00",2240210
"2021-08-03 02:56:26.056+00",2240210
"2021-08-03 02:56:36.056+00",2240210
"2021-08-03 02:56:46.056+00",2240210
"2021-08-03 02:56:56.056+00",2240210
"2021-08-03 02:57:06.056+00",2240210
"2021-08-03 02:57:16.056+00",2240210
"2021-08-03 02:57:26.056+00",2240210
"2021-08-03 02:57:36.056+00",2240210
"2021-08-03 02:57:46.056+00",2240210
"2021-08-03 02:57:56.056+00",2240210
"2021-08-03 02:58:06.056+00",2240210
"2021-08-03 02:58:16.056+00",2240210
"2021-08-03 02:58:26.056+00",nan
"2021-08-03 03:00:26.056+00",39380
"2021-08-03 03:00:36.056+00",113735
"2021-08-03 03:00:46.056+00",188760
"2021-08-03 03:00:56.056+00",264111
"2021-08-03 03:01:06.056+00",338967
"2021-08-03 03:01:16.056+00",414223
"2021-08-03 03:01:26.056+00",488591
"2021-08-03 03:01:36.056+00",562981
"2021-08-03 03:01:46.056+00",637519
"2021-08-03 03:01:56.056+00",713066
"2021-08-03 03:02:06.056+00",787562
"2021-08-03 03:02:16.056+00",863047
"2021-08-03 03:02:26.056+00",937917
"2021-08-03 03:02:36.056+00",1012149
"2021-08-03 03:02:46.056+00",1086781
"2021-08-03 03:02:56.056+00",1162180
"2021-08-03 03:03:06.056+00",1237066
"2021-08-03 03:03:16.056+00",1312069
"2021-08-03 03:03:26.056+00",1386234
"2021-08-03 03:03:36.056+00",1460462
"2021-08-03 03:03:46.056+00",1535228
"2021-08-03 03:03:56.056+00",1609917
"2021-08-03 03:04:06.056+00",1684601
"2021-08-03 03:04:16.056+00",1759457
"2021-08-03 03:04:26.056+00",1834697
"2021-08-03 03:04:36.056+00",1909248
