time	bullet_processing_time	standalone_processing_time
0	14	0
5	14	119
10	606	119
15	606	212
20	533	212
25	533	213
30	496	213
35	496	209
40	1474	209
45	1474	213
50	209	213
55	209	232
60	429	232
65	429	209
70	411	209
75	411	209
80	1693	209
85	1693	210
90	3085	210
95	3085	208
100	205	208
105	205	208
110	414	208
115	414	228
120	1277	228
125	1277	206
130	183	206
135	183	234
140	429	234
145	429	204
150	451	204
155	451	208
160	1245	208
165	1245	214
170	300	214
175	300	207
180	391	207
185	391	214
190	382	214
195	382	214
200	1180	214
205	1180	212
210	1115	212
215	1115	208
220	411	208
225	411	206
230	432	206
235	432	205
240	1247	205
245	1247	206
250	719	206
255	719	235
260	417	235
265	417	209
270	640	209
275	640	208
280	1525	208
285	1525	206
290	407	206
295	407	205
300	384	205
