time	bullet_processing_time	standalone_processing_time
0	45	0
5	45	153
10	33	153
15	33	186
20	1068	186
25	1068	157
30	517	157
35	517	153
40	384	153
45	384	163
50	457	163
55	457	155
60	1721	155
65	1721	149
70	355	149
75	355	150
80	490	150
85	490	152
90	439	152
95	439	155
100	2680	155
105	2680	148
110	1077	148
115	1077	160
120	393	160
125	393	175
130	557	175
135	557	150
140	1316	150
145	1316	154
150	450	154
155	450	151
160	467	151
165	467	146
170	506	146
175	506	158
180	1298	158
185	1298	150
190	439	150
195	439	154
200	443	154
205	443	152
210	463	152
215	463	149
220	2695	149
225	2695	153
230	401	153
235	401	153
240	514	153
245	514	157
250	538	157
255	538	163
260	1416	163
265	1416	151
270	491	151
275	491	153
280	484	153
285	484	180
290	447	180
295	447	157
300	1427	157
