time	bullet_1_spark_process_records	bullet_1_kafka_produce_requests	standalone_1_spark_process_records	standalone_1_kafka_produce_requests
0	16001	15658.30533	0	15670.6
5	16001	15658.30533	0	15670.6
10	15999	15652.4	9760.17239	15670.54
15	15999	15652.4	13038.02239	15670.54
20	9594	15646.59518	13052.8	15666.8
25	9594	15646.59518	13052.8	15666.8
30	19205	15639.62	11924	15656.64
35	19205	15639.62	11924	15656.64
40	19376	15641.89554	11827.3	15669.82
45	19376	15641.89554	11827.3	15669.82
50	15826	15643.44	11754.5	15661.38
55	15826	15643.44	11754.5	15661.38
60	9583	15657.8	11854.9	15664.46
65	9583	15657.8	11854.9	15664.46
70	16201	15659.44	11912	15661.12
75	16201	15659.44	11912	15661.12
80	14788	15663.09455	11863	15666.4
85	14788	15663.09455	11863	15666.4
90	18298	15669.32	11963.7	15644.56
95	18298	15669.32	11963.7	15644.56
100	14812	15667.63306	11935.3	15644.36
105	14812	15667.63306	11935.3	15644.36
110	17699	15662.38	11892.5	15659.18
115	17699	15662.38	11892.5	15659.18
120	21320	15652.5	11991.5	15659.44
125	21320	15652.5	11991.5	15659.44
130	15297	15651.14139	11963.3	15656.04
135	15297	15651.14139	11963.3	15656.04
140	9558	15651.82	12011.3	15664.24
145	9558	15651.82	12011.3	15664.24
150	19943	15633.61741	11925	15677.68
155	19943	15633.61741	11925	15677.68
160	18500	15636.82	11980.6	15661.19487
165	18500	15636.82	11980.6	15661.19487
170	16001	15643.53129	11894.5	15668.76
175	16001	15643.53129	11894.5	15668.76
180	7077	15634.8	11876.5	15687.12
185	7077	15634.8	11876.5	15687.12
190	16363	15618.78	11892.5	15673.44
195	16363	15618.78	11892.5	15673.44
200	16874	15623.62	11802.5	15667.16
205	16874	15623.62	11802.5	15667.16
210	16053	15602.76	11951.24388	15672.02817
215	16053	15602.76	11951.24388	15672.02817
220	14808	15611.70234	11959.86388	15674.02
225	14808	15611.70234	11959.86388	15674.02
230	21888	15626.78	11962	15658.62
235	21888	15626.78	11962	15658.62
240	20174	15644.22	11948.8	15674.14
245	20174	15644.22	11948.8	15674.14
250	14763	15658.66048	11901.2	15672.18
255	14763	15658.66048	11901.2	15672.18
260	9599	15420.84	12000.4	15674.1
265	9599	15420.84	12000.4	15674.1
270	19106	15484.16	11975.5	15667.58
275	19106	15484.16	11975.5	15667.58
280	18443	15503.88	11949	15664.74012
285	18443	15503.88	11949	15664.74012
290	16000	15470.2	12026.5	15664.18
295	16000	15470.2	12026.5	15664.18
300	9493	15473.3284	0	15676.42
