time	bullet_processing_time	standalone_processing_time
0	18	0
5	20	392
10	20	392
15	1621	1765
20	1621	1765
25	1333	1948
30	1333	1948
35	521	2003
40	521	2003
45	682	1998
50	682	1998
55	1875	1988
60	1875	1988
65	2208	1966
70	2208	1966
75	1180	2003
80	1180	2003
85	2246	1981
90	2246	1981
95	6115	2003
100	6115	2003
105	798	2018
110	798	2018
115	317	1993
120	317	1993
125	702	1977
130	702	1977
135	1144	2010
140	1144	2010
145	1578	2001
150	1578	2001
155	585	1988
160	585	1988
165	727	2009
170	727	2009
175	5083	2010
180	5083	2010
185	1445	2001
190	1445	2001
195	1843	2018
200	1843	2018
205	1789	2000
210	1789	2000
215	4706	2002
220	4706	2002
225	1610	2010
230	1610	2010
235	261	2008
240	261	2008
245	684	1981
250	684	1981
255	1180	2005
260	1180	2005
265	1325	2003
270	1325	2003
275	520	2002
280	520	2002
285	725	1983
290	725	1983
295	1438	1998
300	1438	1998
