time	bullet_processing_time	standalone_processing_time
0	18	0
5	18	1480
10	17	1480
15	17	1505
20	2829	1505
25	2829	1466
30	1778	1466
35	1778	1477
40	2506	1477
45	2506	1507
50	2846	1507
55	2846	1485
60	6534	1485
65	6534	1528
70	3084	1528
75	3084	1537
80	2837	1537
85	2837	1452
90	3028	1452
95	3028	1507
100	1820	1507
105	1820	1490
110	3741	1490
115	3741	1467
120	4532	1467
125	4532	1478
130	5003	1478
135	5003	1505
140	4670	1505
145	4670	1510
150	3494	1510
155	3494	1484
160	2132	1484
165	2132	1523
170	3497	1523
175	3497	1490
180	3013	1490
185	3013	1516
190	1796	1516
195	1796	1490
200	5935	1490
205	5935	1514
210	1816	1514
215	1816	1518
220	2653	1518
225	2653	1514
230	2109	1514
235	2109	1528
240	1522	1528
245	1522	1878
250	2648	1878
255	2648	1518
260	4675	1518
265	4675	1535
270	1428	1535
275	1428	1508
280	3290	1508
285	3290	1774
290	3337	1774
295	3337	1528
300	3021	1528
