time	worker-0	worker-1	worker-2	worker-3	worker-4	worker-5
0	0.292666888	0.908900593	0.246049612	0.240322627	0.324539752	0.263448895
5	0.292666888	0.932357779	0.246049612	0.243486186	0.41213113	0.278918513
10	0.286923461	1.069960454	0.246049612	0.202782397	0.41213113	0.278918513
15	0.464876499	1.069960454	0.444112607	0.396847862	0.41213113	0.278918513
20	0.464876499	1.071167731	0.444112607	0.396847862	0.633686866	0.473508545
25	0.464876499	1.071167731	0.444112607	0.508877908	0.633686866	0.473508545
30	0.592268502	1.072100605	0.43864868	0.508877908	0.633686866	0.473508545
35	0.592268502	0.916797898	0.575612054	0.508877908	0.808884261	0.624128634
40	0.617687846	1.070443551	0.575612054	0.540707788	0.804216045	0.624128634
45	0.773094967	1.070443551	0.648406052	0.631777934	0.804216045	0.583213446
50	0.773094967	1.071175661	0.648406052	0.631777934	0.894059042	0.647155463
55	0.642542849	1.071211235	0.648406052	0.614717466	0.894059042	0.647155463
60	0.697828166	1.071211235	0.629184684	0.637104956	0.891591784	0.375077146
65	0.697828166	1.069303764	0.629184684	0.637104956	0.836213162	0.618215386
70	0.697828166	1.067040667	0.629184684	0.637104956	0.771813477	0.618215386
75	0.581233722	1.068372876	0.393578631	0.575772109	0.771813477	0.561831065
80	0.604008071	0.90209152	0.521987644	0.575772109	0.587237853	0.52189225
85	0.604008071	1.070176483	0.521987644	0.399596371	0.647889565	0.52189225
90	0.559699319	1.070176483	0.477847829	0.477068285	0.647889565	0.467300665
95	0.491323346	0.944203333	0.488889835	0.477068285	0.647889565	0.483680403
100	0.399202241	0.854673288	0.488889835	0.449220275	0.433669223	0.465010916
105	0.399202241	1.070496352	0.38621899	0.287391416	0.509759293	0.293372541
110	0.399202241	1.072714037	0.38621899	0.387413518	0.555207068	0.352277204
115	0.480914488	1.072714037	0.38621899	0.387413518	0.555207068	0.29395967
120	0.49717123	1.073164752	0.421643087	0.33496541	0.554699946	0.461497748
125	0.49717123	1.073234035	0.492904798	0.471282382	0.466294642	0.489560011
130	0.585303703	1.075890413	0.492904798	0.471282382	0.681445999	0.489560011
135	0.585303703	1.076945172	0.544736922	0.597093759	0.681445999	0.601260978
140	0.70459718	1.076945172	0.605167595	0.597093759	0.770371516	0.601260978
145	0.72427003	0.664785852	0.605167595	0.675399217	0.861575844	0.608440913
150	0.72427003	1.074916423	0.687986071	0.555652812	0.861575844	0.663298816
155	0.766242385	1.074916423	0.687986071	0.692374392	0.867032868	0.663298816
160	0.725309292	1.073971129	0.687986071	0.722370878	0.902034618	0.416261266
165	0.725309292	1.073790569	0.645434556	0.722370878	0.902034618	0.611551038
170	0.725309292	1.072749957	0.645434556	0.665151186	0.880968418	0.611551038
175	0.66819156	1.072749957	0.645434556	0.665151186	0.880968418	0.611551038
180	0.66819156	1.069309443	0.605761915	0.665151186	0.880968418	0.589030824
185	0.649595488	1.067864763	0.605761915	0.591658246	0.839743371	0.589030824
190	0.608155156	0.899603341	0.579514137	0.591658246	0.770868326	0.589030824
195	0.608155156	1.0674054	0.548721885	0.414056445	0.770868326	0.531827334
200	0.567666992	0.896152064	0.516795701	0.404314924	0.6272557	0.531827334
205	0.457850221	1.068812376	0.516795701	0.457762756	0.6272557	0.418055917
210	0.532074632	1.068394732	0.494058717	0.457762756	0.6272557	0.466358749
215	0.448875896	1.068394732	0.465982943	0.411488566	0.558054288	0.466358749
220	0.484372336	1.068152505	0.465982943	0.411488566	0.558054288	0.466358749
225	0.484372336	1.069585865	0.422625025	0.411488566	0.55400309	0.416992746
230	0.489531186	1.071946083	0.345350387	0.400099579	0.525456013	0.416992746
235	0.469193865	1.071598931	0.460666406	0.400099579	0.525456013	0.416992746
240	0.527341428	1.071598931	0.457982899	0.400099579	0.525456013	0.408031185
245	0.553148347	0.869952291	0.457982899	0.416029935	0.639153774	0.479221669
250	0.553148347	1.071379608	0.538621075	0.487582695	0.639153774	0.479221669
255	0.620463099	1.071379608	0.538621075	0.563073571	0.639153774	0.598638013
260	0.571234496	1.071379608	0.595840097	0.563073571	0.801582713	0.598638013
265	0.706177092	1.070299293	0.595840097	0.605462888	0.801582713	0.598638013
270	0.700782462	1.070299293	0.607405476	0.611134367	0.819560681	0.670025295
275	0.700782462	1.070299293	0.641778597	0.694032474	0.891973481	0.670025295
280	0.751073996	1.070299293	0.641778597	0.694032474	0.891973481	0.670025295
285	0.686224168	1.06950954	0.641778597	0.642940429	0.624633541	0.532053236
290	0.666564646	1.06950954	0.601346171	0.641970842	0.803679789	0.652737066
295	0.666564646	1.069017753	0.575193516	0.641970842	0.803679789	0.653606341
300	0.633255742	1.065510128	0.575193516	0.627327527	0.829492093	0.653606341
