time	bullet_processing_time	standalone_processing_time
0	18	0
5	14	0
10	14	0
15	680	1838
20	680	1838
25	600	1345
30	600	1345
35	1977	2544
40	1977	2544
45	1634	2565
50	1634	2565
55	285	2020
60	285	2020
65	1674	2542
70	1674	2542
75	1326	2017
80	1326	2017
85	484	2524
90	484	2524
95	1012	2015
100	1012	2015
105	265	2480
110	265	2480
115	2027	2514
120	2027	2514
125	1192	2506
130	1192	2506
135	508	2000
140	508	2000
145	1307	2534
150	1307	2534
155	1402	1993
160	1402	1993
165	1470	2504
170	1470	2504
175	334	2447
180	334	2447
185	486	2476
190	486	2476
195	2226	2450
200	2226	2450
205	1414	1993
210	1414	1993
215	2005	1996
220	2005	1996
225	1106	1980
230	1106	1980
235	1260	2516
240	1260	2516
245	1280	1960
250	1280	1960
255	510	2007
260	510	2007
265	498	1980
270	498	1980
275	2236	2502
280	2236	2502
285	2182	2495
290	2182	2495
295	1239	2476
300	1239	2476
