time	bullet_processing_time	standalone_processing_time
0	18	0
5	17	62
10	17	62
15	713	112
20	713	112
25	2646	75
30	2646	75
35	2066	72
40	2066	72
45	1674	79
50	1674	79
55	1173	79
60	1173	79
65	402	79
70	402	79
75	1940	85
80	1940	85
85	751	81
90	751	81
95	1388	139
100	1388	139
105	1314	86
110	1314	86
115	1241	93
120	1241	93
125	1912	93
130	1912	93
135	1792	96
140	1792	96
145	435	94
150	435	94
155	2259	102
160	2259	102
165	211	144
170	211	144
175	874	100
180	874	100
185	501	105
190	501	105
195	1411	101
200	1411	101
205	1402	112
210	1402	112
215	407	108
220	407	108
225	370	103
230	370	103
235	3006	111
240	3006	111
245	206	118
250	206	118
255	393	116
260	393	116
265	473	118
270	473	118
275	1733	127
280	1733	127
285	2107	127
290	2107	127
295	445	115
300	445	115
