time	bullet_1_spark_process_records	bullet_1_kafka_produce_requests	 standalone_1_spark_process_records	standalone_1_kafka_produce_requests
0	15999.9	15645.2	239.7	15723.78343
5	15999.1	15645.2	6623.80504	15723.78343
10	15999.1	15645.76	8681.2	15729.52
15	16002.1	15645.76	11865	15729.52
20	16002.1	15639.4	11865	15730.9
25	9599.9	15639.4	11245	15730.9
30	9599.9	15637.98	11245	15726.08
35	16693.1	15637.98	11553.4	15726.08
40	16693.1	15649.22	11553.4	15726.02
45	20340.8	15649.22	11532.6	15726.02
50	20340.8	15653.1	11532.6	15707.14
55	15959.7	15653.1	11526.2	15707.14
60	15959.7	15650.24	11526.2	15715.58
65	9404.1	15650.24	11451.68382	15715.58
70	9404.1	15655.6	11451.68382	15703.24
75	14398.9	15655.6	11429.88598	15703.24
80	14398.9	15654.66	11429.88598	15699.48
85	19202.2	15654.66	11432.51626	15699.48
90	19202.2	15649.94	11432.51626	15698.8
95	19716.1	15649.94	11464.5	15698.8
100	19716.1	15655.46	11464.5	15706.44
105	9366.5	15655.46	11376.8	15706.44
110	9366.5	15657.08	11376.8	15700.56994
115	23154	15657.08	11513	15700.56994
120	23154	15659.7	11513	15707.84
125	18164.4	15659.7	11462.8	15707.84
130	18164.4	15665.92	11462.8	15718.52
135	16001	15665.92	11473.3	15718.52
140	16001	15666.1	11473.3	15709.98
145	6456.6	15666.1	11333.5	15709.98
150	6456.6	15659.0141	11333.5	15702.6
155	9466.5	15659.0141	11538	15702.6
160	9466.5	15663.26	11538	15702.89029
165	22743.9	15663.26	11499	15702.89029
170	22743.9	15662.2	11499	15689.6
175	23473.1	15662.2	11494.1	15689.6
180	23473.1	15654.7	11494.1	15685.9
185	11460.1	15654.7	11538.2	15685.9
190	11460.1	15657.1	11538.2	15683
195	14274.3	15657.1	11501	15683
200	14274.3	15659.42594	11501	15695.78
205	13148.9	15659.42594	11374.2	15695.78
210	13148.9	15657.14	11374.2	15694.82
215	22044.6	15657.14	11470.5	15694.82
220	22044.6	15654.22	11470.5	15705.46
225	13466.6	15654.22	11560.3	15705.46
230	13466.6	15663.92	11560.3	15700.16
235	17063.6	15663.92	11479.8	15700.16
240	17063.6	15656.3	11479.8	15702.1
245	20564.2	15656.3	11478.4	15702.1
250	20564.2	15656.16	11478.4	15695.6
255	18233.5	15656.16	11382.8	15695.6
260	18233.5	15651.36	11382.8	15695.98
265	9201.7	15651.36	11485.1	15695.98
270	9201.7	15641.76	11485.1	15684.0316
275	16506.5	15641.76	11460	15684.0316
280	16506.5	15639.52	11460	15683.9
285	21894.3	15639.52	11549.5	15683.9
290	21894.3	15644.78	11549.5	15685.74
295	12800.8	15644.78	9242.9	15685.74
300	12800.8	15650.38	9242.9	15689.88
