time	bullet_2_spark_process_records	bullet_2_kafka_produce_requests	standalone_2_spark_process_records	standalone_2_kafka_produce_requests
0	14769.9	14740.38	7225.36248	14719.96
5	14769.9	14740.38	9816.21248	14711.18
10	14673.3	14730.52	14687.6	14711.18
15	14673.3	14730.52	14687.6	14735.66
20	11753.7	14721.52	14701.1	14735.66
25	11753.7	14721.52	14701.1	14736.48
30	11774.9	14729.36	14757.8	14736.48
35	11774.9	14729.36	14757.8	14733.72
40	18319.2	14733.42	14757.8	14733.72
45	18319.2	14733.42	14757.8	14719.12
50	17379.5	14744.88	14672.7	14719.12
55	17379.5	14744.88	14672.7	14712.28
60	15227	14747.46	14658.8	14712.28
65	15227	14747.46	14658.8	14711.74
70	5195.2	14737.34	14744.8	14711.74
75	5195.2	14737.34	14744.8	14696.58
80	14679	14711.88	14707.9	14696.58
85	14679	14711.88	14707.9	14682.36
90	18800	14708.1	14650.7	14682.36
95	18800	14708.1	14650.7	14698.18
100	19700.4	14722.92	14707.4	14698.18
105	19700.4	14722.92	14707.4	14689.16
110	8222.3	14741.94	14676.4	14689.16
115	8222.3	14741.94	14676.4	14673.14
120	13368	14749.66	14630.3	14673.14
125	13368	14749.66	14630.3	14676.24
130	20817	14750.82	14699.8	14676.24
135	20817	14750.82	14699.8	14685.42
140	16311.6	14733.28	14705.8	14685.42
145	16311.6	14733.28	14705.8	14686.76
150	8780.1	14721.22	14748.2	14686.76
155	8780.1	14721.22	14748.2	14700.8
160	14707.6	14700.48	14726.6	14700.8
165	14707.6	14700.48	14726.6	14701.18
170	20608.1	14699.7	14641.5	14701.18
175	20608.1	14699.7	14641.5	14692.46
180	14734.9	14708.94911	14642.6	14692.46
185	14734.9	14708.94911	14642.6	14672.56
190	5820.6	14705.14	14627.6	14672.56
195	5820.6	14705.14	14627.6	14667.44
200	22607.8	14702.48	14692.7	14667.44
205	22607.8	14702.48	14692.7	14656.06
210	15689.9	14707.62	14665.4	14656.06
215	15689.9	14707.62	14665.4	14651.88
220	14743.37699	14698.16	14602.2	14651.88
225	14743.37699	14698.16	14602.2	14648.72
230	8762.328699	14682.08821	14676.5	14648.72
235	8762.328699	14682.08821	14676.5	14659.2
240	20550.8	14695.92	15101.2	14659.2
245	20550.8	14695.92	15101.2	14660.98
250	14693.9	14689.6	14238.4	14660.98
255	14693.9	14689.6	14238.4	14650.65397
260	14898.7	14695.16	14675.9	14650.65397
265	14898.7	14695.16	14675.9	14645.24
270	8628.1	14712.18	14581.4	14645.24
275	8628.1	14712.18	14581.4	14646.22
280	18316.3	14734.79956	14632.7	14646.22
285	18316.3	14734.79956	14632.7	14644.66
290	17089.9	14723.96	14663.3	14644.66
295	17089.9	14723.96	14663.3	14636.1
300	14635.9	14727.53629	0	14636.1
